name	state	popestimate2020	popestimate2021	npopchg2020	npopchg2021	age_median	income_median	rooms_median	value_median	rent_median	housing_total
Pinellas County	Florida	958752	956615	-355	-2137	48.4	56419	4.8	219800	1165	510798
Polk County	Florida	729233	753520	4187	24287	40.2	51535	5.4	162400	1014	300596
St. Johns County	Florida	276916	292466	3491	15550	43.7	83803	6.0	326300	1355	111492
St. Lucie County	Florida	331275	343579	2049	12304	45.5	55237	5.6	209700	1214	143823
Santa Rosa County	Florida	189133	193998	1133	4865	40.0	70663	6.0	214900	1163	73023
Sarasota County	Florida	435664	447057	1658	11393	56.6	64644	5.0	269300	1342	244910
Ponce Municipio						42.0	17263	4.9	98300	395	65816
San Juan Municipio						43.8	23642	4.7	151500	505	190822
Seminole County	Florida	471058	470093	202	-965	39.3	70297	5.8	263700	1323	192073
Sumter County	Florida	130897	135638	1145	4741	68.0	59618	5.2	267100	935	72655
Volusia County	Florida	554901	564412	1358	9511	46.5	52407	5.4	194900	1097	262438
Bartow County	Georgia	109311	110843	410	1532	38.2	61226	5.8	178500	935	41684
Bibb County	Georgia	157104	156762	-242	-342	36.3	41317	5.5	125300	834	70138
Anchorage Municipality	Alaska	290637	288121	-610	-2516	33.9	84813	5.2	320100	1310	118293
DeKalb County	Georgia	763831	757718	-551	-6113	35.9	65116	5.8	235300	1224	314430
Douglas County	Georgia	144497	145814	260	1317	36.6	67651	6.3	171300	1143	53038
Fayette County	Georgia	119441	120574	247	1133	43.4	93777	7.4	293400	1396	43000
Forsyth County	Georgia	252786	260206	1503	7420	38.8	112834	7.7	362300	1432	83965
Fulton County	Georgia	1069023	1065334	2313	-3689	35.7	72741	5.4	326700	1263	479696
Gwinnett County	Georgia	957801	964546	739	6745	35.5	72787	6.4	235700	1331	312887
Hall County	Georgia	203589	207369	453	3780	37.2	63651	6.0	212700	987	74544
Lowndes County	Georgia	118316	119276	65	960	30.6	46113	5.5	145900	813	48525
Henry County	Georgia	241818	245235	1106	3417	37.1	71110	6.6	189600	1203	82938
Houston County	Georgia	164242	166829	609	2587	35.6	65870	5.9	157200	936	63867
Muscogee County	Georgia	206960	205617	38	-1343	34.4	47418	5.6	142900	925	85012
Newton County	Georgia	112780	115355	297	2575	36.5	59178	6.3	159200	1071	39737
Paulding County	Georgia	169660	173780	999	4120	36.3	74154	6.5	184000	1198	58077
Richmond County	Georgia	206328	205673	-279	-655	34.4	43882	5.6	115300	908	89055
Whitfield County	Georgia	102727	102848	-137	121	36.2	50055	5.6	142800	737	40236
Hawaii County	Hawaii	200746	202906	117	2160	42.8	65401	4.9	364100	1214	88624
Honolulu County	Hawaii	1013227	1000890	-3281	-12337	38.2	87722	4.6	702300	1779	352788
Ada County	Idaho	497984	511931	3017	13947	37.2	69952	6.0	298600	1062	187116
Bonneville County	Idaho	124626	127930	662	3304	33.0	61435	6.6	202100	814	43734
Maui County	Hawaii	164655	164221	-99	-434	41.8	84363	4.3	657400	1543	73535
Canyon County	Idaho	232714	243115	1609	10401	33.8	56916	5.9	211600	937	78323
Kootenai County	Idaho	172646	179789	1284	7143	40.3	60903	5.9	294100	1037	72799
Champaign County	Illinois	205469	205943	-396	474	30.4	53936	5.2	166600	873	93679
Cook County	Illinois	5262741	5173146	-12800	-89595	37.0	67886	5.2	255500	1160	2198489
DeKalb County	Illinois	100233	100414	-187	181	31.3	62353	5.6	182300	917	41245
DuPage County	Illinois	931153	924885	-1724	-6268	39.5	94930	6.2	315600	1365	361221
Kane County	Illinois	516155	515588	-367	-567	37.7	83374	6.3	245500	1187	189301
Kankakee County	Illinois	107236	106601	-266	-635	38.2	59370	5.7	152800	906	45626
Kendall County	Illinois	132291	134867	422	2576	35.5	96854	6.9	243700	1487	42378
Lake County	Illinois	713217	711239	-1125	-1978	38.5	92654	6.3	271700	1216	264681
LaSalle County	Illinois	109359	108965	-299	-394	42.1	60069	5.8	130600	785	50120
McHenry County	Illinois	309770	311122	-459	1352	40.2	90014	6.6	234000	1200	118900
McLean County	Illinois	170870	170889	-84	19	33.3	68037	5.8	166400	842	72580
Macon County	Illinois	103647	102432	-351	-1215	41.1	53725	5.6	103100	690	50364
Madison County	Illinois	265498	264490	-361	-1008	40.3	64045	5.7	138500	835	119660
Peoria County	Illinois	181225	179432	-605	-1793	37.6	55729	5.6	130700	813	83680
Rock Island County	Illinois	144267	142909	-405	-1358	40.1	55980	5.6	123100	753	66183
St. Clair County	Illinois	256789	254796	-611	-1993	39.1	57473	5.7	134800	881	120618
Sangamon County	Illinois	196012	194734	-331	-1278	40.6	61743	5.7	144100	829	91952
Tazewell County	Illinois	131018	130413	-325	-605	41.3	66220	5.7	142300	751	58941
Will County	Illinois	695903	697252	-452	1349	38.1	90800	6.5	239400	1183	245246
Winnebago County	Illinois	284858	283119	-492	-1739	39.8	55310	5.7	121400	817	125703
Allen County	Indiana	385892	388608	482	2716	36.0	57104	6.0	136700	789	159424
Clark County	Indiana	121282	122738	189	1456	39.1	57111	5.4	152000	868	51138
Delaware County	Indiana	111669	111871	-234	202	35.7	45910	5.6	96600	725	52677
Elkhart County	Indiana	206842	206921	-205	79	35.6	58509	6.0	149300	820	79389
Hamilton County	Indiana	348868	356650	1401	7782	37.6	98880	7.2	282700	1188	129573
Hendricks County	Indiana	175528	179355	740	3827	37.9	84754	6.5	205300	1097	62846
Johnson County	Indiana	162180	164298	415	2118	37.6	72928	6.2	178500	986	61690
Lake County	Indiana	498597	498558	-103	-39	39.1	57530	5.6	156100	885	213679
LaPorte County	Indiana	112222	112390	-195	168	40.3	57010	5.7	139900	763	49231
Madison County	Indiana	130065	130782	-64	717	40.5	51476	5.7	103800	798	59173
Marion County	Indiana	976770	971102	-433	-5668	34.4	51219	5.4	145200	910	424711
Monroe County	Indiana	139517	139875	-201	358	29.9	52229	5.3	189900	949	62073
Porter County	Indiana	173256	174243	41	987	39.4	72255	6.0	193500	947	69271
St. Joseph County	Indiana	272549	272212	-363	-337	36.7	54433	5.9	134800	825	117050
Tippecanoe County	Indiana	186247	187076	-4	829	28.4	51926	5.6	160900	880	77128
Vanderburgh County	Indiana	180158	179987	22	-171	38.6	51179	5.4	136100	815	84478
Vigo County	Indiana	106007	105994	-146	-13	36.4	47261	5.5	105200	761	47351
Black Hawk County	Iowa	130980	130368	-164	-612	35.4	54774	5.5	150200	818	58187
Johnson County	Iowa	152984	154748	130	1764	30.4	63062	5.6	238600	984	64901
Linn County	Iowa	230263	228939	-36	-1324	37.7	67301	5.9	161600	778	98022
Polk County	Iowa	492769	496844	368	4075	35.7	69747	5.5	190400	938	204110
Scott County	Iowa	174488	174170	-181	-318	38.4	63876	5.8	167900	812	74662
Woodbury County	Iowa	105829	105607	-112	-222	35.8	60768	5.9	131300	802	42455
Douglas County	Kansas	118814	119363	29	549	30.2	61020	5.4	212400	952	51039
Johnson County	Kansas	610536	613219	673	2683	37.8	91650	6.6	277500	1147	244796
Sedgwick County	Kansas	524246	523828	422	-418	35.5	57540	5.9	146300	837	220638
Shawnee County	Kansas	178608	178264	-301	-344	39.4	58652	5.7	135100	825	80126
Wyandotte County	Kansas	168873	167046	-372	-1827	33.9	48093	5.3	107000	884	68239
Boone County	Kentucky	136403	137412	435	1009	38.0	82838	6.4	194700	1029	49938
Daviess County	Kentucky	103291	103063	-21	-228	38.9	54881	5.6	143500	809	43348
Fayette County	Kentucky	322403	321793	-167	-610	34.8	58954	5.4	200900	920	142813
Hardin County	Kentucky	110719	111607	17	888	37.0	57101	5.7	157700	811	46970
Jefferson County	Kentucky	782123	777874	-846	-4249	38.4	58196	5.4	178100	901	347172
Kenton County	Kentucky	169183	169495	119	312	37.3	66541	5.9	167100	821	69790
Warren County	Kentucky	134933	137212	379	2279	32.9	54325	5.6	180000	822	54147
Ascension Parish	Louisiana	126984	128369	484	1385	36.0	82594	5.7	224300	1030	48380
Bossier Parish	Louisiana	128615	129144	-131	529	35.5	55448	5.5	176700	989	57540
Caddo Parish	Louisiana	237056	233092	-792	-3964	37.8	42003	5.4	150200	806	113427
Calcasieu Parish	Louisiana	216416	205282	-369	-11134	36.1	52866	5.5	160800	850	91644
East Baton Rouge Parish	Louisiana	455884	453301	-897	-2583	34.2	56076	5.3	201100	936	195178
Jefferson Parish	Louisiana	439845	433688	-936	-6157	39.5	54825	5.5	193600	986	188576
Lafayette Parish	Louisiana	242004	244205	251	2201	35.5	58761	5.4	189700	871	103855
Livingston Parish	Louisiana	142726	145830	444	3104	36.8	67365	5.7	173200	966	57636
Orleans Parish	Louisiana	383282	376971	-715	-6311	37.2	43258	5.0	250000	1025	192012
Ouachita Parish	Louisiana	160003	158768	-365	-1235	36.2	44934	5.4	150200	775	68905
Rapides Parish	Louisiana	129607	128654	-416	-953	37.5	48013	5.3	147200	825	58564
St. Tammany Parish	Louisiana	264933	269388	363	4455	40.4	70730	6.1	223300	1143	104300
Tangipahoa Parish	Louisiana	133549	135217	392	1668	35.5	48745	5.4	167900	828	56449
Terrebonne Parish	Louisiana	109319	108708	-261	-611	36.1	52224	5.5	155600	862	45546
Androscoggin County	Maine	111039	111034	-100	-5	40.7	55002	5.3	166600	771	50053
Cumberland County	Maine	303312	305231	243	1919	42.1	76014	5.6	288800	1193	145838
Kennebec County	Maine	123754	124486	112	732	44.1	55368	5.4	164000	777	62997
Penobscot County	Maine	152007	152765	-192	758	42.2	52128	5.4	148300	823	76088
York County	Maine	212089	214591	117	2502	45.3	68932	5.5	260800	1022	111067
Anne Arundel County	Maryland	588769	590336	508	1567	38.5	103225	6.6	370100	1690	226330
Baltimore County	Maryland	853073	849316	-1462	-3757	39.5	78724	6.2	267400	1328	337580
Carroll County	Maryland	172890	173873	-1	983	42.2	99569	7.1	343400	1121	63767
Cecil County	Maryland	103740	103905	15	165	40.7	79415	6.3	250400	1151	42690
Charles County	Maryland	166682	168698	65	2016	38.5	103678	7.0	326800	1686	61226
Frederick County	Maryland	272737	279835	1020	7098	39.0	100685	6.9	341800	1427	99179
Harford County	Maryland	261122	262977	198	1855	40.8	94003	6.9	302900	1294	100952
Howard County	Maryland	332722	334529	405	1807	38.7	124042	7.0	464500	1731	120834
Montgomery County	Maryland	1061243	1054827	-818	-6416	39.4	111812	6.3	491700	1784	390475
Prince George's County	Maryland	965601	955306	-1600	-10295	37.5	86994	6.2	319600	1494	334407
St. Mary's County	Maryland	113953	114468	176	515	36.5	95864	6.5	318500	1436	45867
Washington County	Maryland	154586	154937	-119	351	40.7	63510	6.0	221700	931	61621
Wicomico County	Maryland	103473	103980	-115	507	36.0	60366	5.8	185000	1059	42452
Baltimore city	Maryland	583132	576498	-2576	-6634	35.5	52164	5.5	167300	1094	293936
Norfolk County	Massachusetts	726025	724505	44	-1520	40.9	105320	6.0	491000	1682	280180
Plymouth County	Massachusetts	530979	533003	160	2024	42.7	92906	6.0	386600	1324	208056
Suffolk County	Massachusetts	795431	771245	-2505	-24186	33.0	74881	4.3	547300	1657	341231
Barnstable County	Massachusetts	228969	232411	-27	3442	53.7	76863	5.8	414000	1362	164064
Berkshire County	Massachusetts	128758	128657	-268	-101	47.2	62166	5.7	221000	894	69149
Bristol County	Massachusetts	579172	580164	-28	992	41.0	71450	5.6	317800	934	236043
Essex County	Massachusetts	809218	807074	-611	-2144	40.9	82225	5.7	436600	1298	313956
Hampden County	Massachusetts	464908	462718	-917	-2190	39.4	57623	5.4	216100	920	193713
Hampshire County	Massachusetts	162064	161572	-244	-492	36.6	73518	5.6	289300	1095	64114
Middlesex County	Massachusetts	1629422	1614742	-2580	-14680	38.5	106202	5.7	540300	1714	641278
Worcester County	Massachusetts	861461	862029	-650	568	40.2	77155	5.7	295300	1074	336533
Allegan County	Michigan	120596	120950	94	354	40.2	65071	6.1	174000	838	51551
Bay County	Michigan	103594	102985	-262	-609	43.6	48290	5.8	106400	679	48340
Calhoun County	Michigan	134113	133819	-197	-294	40.1	50219	5.7	115500	776	60889
Eaton County	Michigan	109106	108944	-69	-162	41.1	67440	6.1	160000	888	47647
Genesee County	Michigan	405648	404208	-563	-1440	40.5	50269	5.7	119500	781	192583
Berrien County	Michigan	154095	153101	-221	-994	42.3	52500	5.8	157500	757	77645
Ingham County	Michigan	284520	284034	-380	-486	32.4	55253	5.5	143900	906	124012
Jackson County	Michigan	160200	160050	-166	-150	41.6	54511	5.8	138900	800	69719
Kalamazoo County	Michigan	261629	261108	-41	-521	34.5	58836	5.8	168500	846	112585
Kent County	Michigan	658040	658046	66	6	35.4	65722	6.1	188500	928	257115
Livingston County	Michigan	193973	195014	107	1041	43.7	84274	6.5	256100	1067	77020
Monroe County	Michigan	154796	155274	-13	478	42.8	65453	6.3	167400	870	64760
Macomb County	Michigan	880349	876792	-868	-3557	41.0	64641	5.7	174000	977	367684
Muskegon County	Michigan	175817	176511	-7	694	39.3	53478	5.5	126400	780	74335
Oakland County	Michigan	1272408	1270017	-1987	-2391	41.0	81587	6.1	252800	1100	542094
Ottawa County	Michigan	296787	299157	587	2370	35.5	72418	6.3	209400	932	110548
St. Clair County	Michigan	160265	160053	-118	-212	44.0	58722	6.0	162300	840	72395
Washtenaw County	Michigan	371656	369390	-602	-2266	33.9	75730	5.7	278500	1161	151753
Wayne County	Michigan	1790225	1774816	-3336	-15409	37.9	49359	5.7	122700	896	814954
Anoka County	Minnesota	364299	367018	412	2719	38.6	84379	6.5	244500	1162	133277
Saginaw County	Michigan	189831	189591	-293	-240	41.0	49565	5.9	106200	783	87789
Carver County	Minnesota	107286	108626	364	1340	38.1	104011	7.3	333400	1170	38892
Dakota County	Minnesota	440317	442038	435	1721	38.0	88468	6.6	280300	1235	168252
Hennepin County	Minnesota	1281267	1267416	-298	-13851	36.7	81169	5.8	292100	1176	539223
Olmsted County	Minnesota	162991	163436	144	445	37.4	80403	6.4	233100	1028	66667
Ramsey County	Minnesota	551480	543257	-872	-8223	35.2	67238	5.5	239000	1060	221092
St. Louis County	Minnesota	199962	199182	-269	-780	41.0	57480	5.3	161100	794	105010
Scott County	Minnesota	151265	153268	337	2003	36.8	103261	7.2	317500	1216	52071
Stearns County	Minnesota	158349	158947	57	598	34.8	65244	6.0	193500	861	65095
Washington County	Minnesota	268191	272256	623	4065	39.5	97584	6.9	301000	1329	99696
Wright County	Minnesota	141759	144845	422	3086	37.1	87772	6.6	250800	988	52587
DeSoto County	Mississippi	185902	188633	588	2731	37.1	69990	6.2	177800	1073	68411
Harrison County	Mississippi	208613	209396	-8	783	36.5	48547	5.3	157900	910	93678
Hinds County	Mississippi	226636	222679	-1106	-3957	35.3	45380	5.4	121500	875	104356
Jackson County	Mississippi	143291	143987	39	696	38.9	53726	5.8	143000	902	62451
Madison County	Mississippi	109222	109813	77	591	37.4	71621	6.0	224300	929	43828
Rankin County	Mississippi	157052	158096	21	1044	38.0	68310	5.9	165200	1044	61134
Boone County	Missouri	183894	185840	284	1946	31.6	58740	5.7	198700	888	78373
Cass County	Missouri	108113	109638	289	1525	39.9	72522	6.1	196700	976	42312
Clay County	Missouri	253923	255518	588	1595	37.2	72047	6.0	185700	995	98719
Franklin County	Missouri	104769	105231	87	462	40.6	60129	5.7	171900	762	45507
Greene County	Missouri	299060	300865	145	1805	36.3	47053	5.4	151300	779	134450
Jackson County	Missouri	717243	716862	39	-381	36.8	56960	5.6	157200	936	325759
Jasper County	Missouri	122766	123155	5	389	36.2	49155	5.6	124200	770	51786
Jefferson County	Missouri	226929	227771	190	842	39.6	67606	5.9	167700	871	91528
Platte County	Missouri	107100	108569	382	1469	38.3	82448	6.3	238800	1073	42377
St. Charles County	Missouri	406258	409981	996	3723	39.0	87644	6.4	230100	1069	156396
St. Louis County	Missouri	1002838	997187	-1287	-5651	40.4	68661	5.9	206700	985	441593
St. Louis city	Missouri	300528	293310	-1050	-7218	36.0	45782	4.7	143700	840	176955
Flathead County	Montana	104773	108454	416	3681	42.2	57763	5.4	294600	884	49145
Gallatin County	Montana	119502	122713	542	3211	33.4	70124	5.4	388000	1131	51011
Missoula County	Montana	118238	119533	316	1295	36.0	56247	5.1	302200	908	54731
Yellowstone County	Montana	165045	167146	314	2101	38.7	62630	6.0	238700	910	72524
Douglas County	Nebraska	585010	585008	484	-2	34.9	66600	5.9	180000	960	236936
Lancaster County	Nebraska	322910	324514	302	1604	33.8	62464	5.8	190000	873	133081
Sarpy County	Nebraska	191114	193418	510	2304	34.8	83051	6.5	211400	1050	70084
Clark County	Nevada	2273386	2292476	7925	19090	37.5	61048	5.2	285100	1181	912465
Washoe County	Nevada	487388	493392	896	6004	38.5	68272	5.3	360500	1150	201401
Hillsborough County	New Hampshire	422705	424079	-232	1374	40.8	82099	5.7	287900	1217	172201
Merrimack County	New Hampshire	153922	155238	114	1316	43.1	77937	5.7	245400	1066	65284
Rockingham County	New Hampshire	314430	316947	254	2517	44.7	93962	6.0	344000	1274	133236
Strafford County	New Hampshire	131006	132416	117	1410	36.8	72682	5.5	243500	1132	54409
Atlantic County	New Jersey	274191	274966	-343	775	41.8	63680	5.8	216600	1129	128472
