name	state	popestimate2020	popestimate2021	npopchg2021	age_median	income_median	rooms_median	value_median	rent_median	housing_total
Norman city	Oklahoma	127321	128097	776	30.9	58111	5.4	184300	882	53310
Oklahoma City city	Oklahoma	682760	687725	4965	34.4	56456	5.3	161800	884	276084
Tulsa city	Oklahoma	412629	411401	-1228	35.2	49474	5.2	143400	839	187543
Eugene city	Oregon	174802	175096	294	35.0	52689	5.0	304500	1075	75138
Gresham city	Oregon	114637	113103	-1534	36.5	58250	5.2	318300	1233	41866
Hillsboro city	Oregon	106922	106633	-289	33.9	85586	5.1	363600	1551	40532
Portland city	Oregon	652388	641162	-11226	37.5	73159	4.9	438500	1325	293208
Salem city	Oregon	175806	177723	1917	35.9	58726	5.3	266200	1034	66767
Allentown city	Pennsylvania	125971	125944	-27	31.2	43816	5.4	135800	1035	46143
Philadelphia city	Pennsylvania	1601005	1576251	-24754	34.6	49127	5.6	171600	1084	689121
Pittsburgh city	Pennsylvania	302777	300431	-2346	33.4	50536	5.3	134800	984	159339
Providence city	Rhode Island	190101	189692	-409	31.2	49065	4.6	225200	1015	74769
Charleston city	South Carolina	150903	151612	709	35.3	72071	5.3	349000	1318	65278
Columbia city	South Carolina	137314	137541	227	28.2	47416	5.1	186000	956	55015
North Charleston city	South Carolina	115771	117472	1701	33.2	47201	4.8	184600	1084	48285
Sioux Falls city	South Dakota	193233	196528	3295	34.2	61738	5.6	205100	838	78437
Chattanooga city	Tennessee	181624	182113	489	36.7	47165	5.2	174900	891	86684
Clarksville city	Tennessee	167258	170957	3699	30.0	55819	5.6	164800	963	63968
Knoxville city	Tennessee	190594	192648	2054	32.9	41598	4.9	142700	883	92394
Memphis city	Tennessee	631326	628127	-3199	34.2	41864	5.3	107100	915	299599
Murfreesboro city	Tennessee	153342	157519	4177	30.6	60683	5.5	257500	1095	55940
Nashville-Davidson metropolitan government (balance)	Tennessee	689248	678851	-10397	34.2	62087	5.2	264600	1170	309067
Abilene city	Texas	124954	125070	116	32.0	52518	5.2	131300	918	50003
Allen city	Texas	105628	106874	1246	37.0	113719	7.3	323500	1497	35339
Amarillo city	Texas	200897	201234	337	34.1	52941	5.2	138900	876	85902
Arlington city	Texas	393985	392786	-1199	32.9	63351	5.3	188100	1089	146438
Austin city	Texas	963121	964177	1056	33.7	75752	4.5	358600	1346	426899
Beaumont city	Texas	114239	112556	-1683	35.1	48168	5.3	123700	868	53693
Brownsville city	Texas	186762	187831	1069	30.9	40924	4.8	92400	754	58467
Carrollton city	Texas	133409	133251	-158	37.8	82345	5.7	267100	1299	52039
College Station city	Texas	118441	120019	1578	23.1	47456	5.0	256600	1001	47796
Corpus Christi city	Texas	317852	317773	-79	35.3	57387	5.0	150100	1055	132965
Dallas city	Texas	1303234	1288457	-14777	32.9	54747	4.5	208700	1111	581987
Denton city	Texas	142302	148146	5844	29.5	62542	5.3	237700	1121	52220
El Paso city	Texas	678598	678415	-183	33.0	48866	5.4	132800	857	252526
Fort Worth city	Texas	922592	935508	12916	33.0	64567	5.3	190400	1115	336468
Frisco city	Texas	202786	210719	7933	37.4	128761	7.2	420700	1508	68274
Garland city	Texas	245478	242035	-3443	34.2	63192	5.5	172600	1182	79749
Grand Prairie city	Texas	196331	197347	1016	33.6	69171	5.4	174300	1142	66678
Houston city	Texas	2300027	2288250	-11777	33.3	53600	4.6	186800	1086	982694
Irving city	Texas	256873	254198	-2675	32.0	66567	4.3	196500	1192	92873
Killeen city	Texas	153044	156261	3217	29.4	50335	5.0	132000	948	62287
Laredo city	Texas	255336	256153	817	28.9	51120	5.2	140100	858	78996
League City city	Texas	114686	115595	909	35.2	108979	6.6	258800	1387	39204
Lewisville city	Texas	112336	112944	608	33.2	67026	4.7	232800	1228	42845
Lubbock city	Texas	257882	260993	3111	29.9	51623	5.1	147900	958	109243
McAllen city	Texas	142347	143920	1573	32.6	49259	5.0	131500	829	51237
McKinney city	Texas	197122	202690	5568	36.5	100775	6.7	327800	1442	68543
Mesquite city	Texas	149680	147691	-1989	33.0	60715	5.6	160000	1157	49648
Midland city	Texas	132720	131325	-1395	31.4	83616	5.3	238000	1256	51190
Odessa city	Texas	114852	112483	-2369	30.4	63829	5.1	159700	1104	46214
Pasadena city	Texas	151347	148626	-2721	31.2	57781	4.9	132300	993	53220
Pearland city	Texas	126086	125990	-96	35.3	102764	6.7	260300	1431	44891
Plano city	Texas	286668	288253	1585	38.9	96348	6.3	341800	1447	113254
Richardson city	Texas	117792	116382	-1410	35.1	85350	5.8	295500	1452	47070
Round Rock city	Texas	120498	123876	3378	35.4	86121	5.7	259400	1345	44896
San Angelo city	Texas	100093	99667	-426	34.0	55682	5.1	143300	902	41616
San Antonio city	Texas	1438227	1451853	13626	33.8	53420	5.1	156700	1025	555138
Sugar Land city	Texas	110775	109373	-1402	41.5	123261	7.2	337600	1768	40527
Tyler city	Texas	105976	107192	1216	34.3	54883	5.2	164900	945	42915
Waco city	Texas	138289	139594	1305	28.9	40349	5.2	133500	879	56748
Wichita Falls city	Texas	102640	102988	348	32.4	47335	5.3	104800	828	43223
Provo city	Utah	114048	114084	36	23.7	50072	5.1	298000	901	35488
Salt Lake City city	Utah	199587	200478	891	32.5	63156	4.7	346100	1050	88155
West Jordan city	Utah	117186	116541	-645	32.1	84722	7.1	316600	1269	35516
West Valley City city	Utah	140209	139110	-1099	30.2	70427	6.1	242500	1170	38476
Alexandria city	Virginia	159097	154706	-4391	36.8	102227	4.2	572700	1774	76361
Chesapeake city	Virginia	249679	251269	1590	37.0	81261	6.6	286000	1300	91707
Hampton city	Virginia	137131	137746	615	36.3	57041	5.7	188600	1115	60145
Newport News city	Virginia	185916	184587	-1329	33.8	54511	5.4	194700	1075	77851
Norfolk city	Virginia	237591	235089	-2502	30.8	53026	5.3	215800	1077	98142
Richmond city	Virginia	226670	226604	-66	34.1	51421	5.0	244200	1070	100930
Virginia Beach city	Virginia	459373	457672	-1701	36.4	78136	6.1	287400	1380	185735
Bellevue city	Washington	151839	149440	-2399	37.6	129497	5.2	887700	2104	62486
Everett city	Washington	110930	110812	-118	35.9	66023	4.8	359900	1316	45853
Kent city	Washington	136628	134835	-1793	34.6	73891	5.3	378800	1495	46779
Renton city	Washington	106763	105179	-1584	36.3	79824	5.1	442600	1612	40922
Seattle city	Washington	738172	733919	-4253	35.2	97185	4.1	713600	1702	367337
Spokane city	Washington	228850	229071	221	36.3	52600	5.5	205500	905	99705
Tacoma city	Washington	219383	219205	-178	36.0	64457	5.2	311700	1253	91813
Vancouver city	Washington	191071	192169	1098	37.1	63617	5.0	318200	1289	76559
Green Bay city	Wisconsin	107114	107015	-99	35.1	52214	5.2	142000	768	44838
Madison city	Wisconsin	268846	269196	350	31.2	67565	4.9	262400	1147	116810
Milwaukee city	Wisconsin	576301	569330	-6971	31.4	43125	4.9	128300	866	256856
