name	ancestry_arab	class_private	ancestry_dutch	occupied_owner	ancestry_polish	built_1940_1949	built_1950_1959	in_manufacturing	job_prod_transpo	value_50000_less	ancestry_hungarian	rank_ancestry_arab	rank_class_private	rank_ancestry_dutch	rank_occupied_owner	rank_ancestry_polish	rank_built_1940_1949	rank_built_1950_1959	rank_in_manufacturing	rank_job_prod_transpo	rank_value_50000_less	rank_ancestry_hungarian
Mississippi	0.3	75.7	0.4	68.8	0.4	3.2	7.4	13.2	17.9	16.0	0.1	31	43	49	16	51	42	37	11	3	2	44
Missouri	0.4	81.9	1.3	67.1	1.6	4.7	10.0	11.4	14.7	8.7	0.2	22	11	18	22	30	22	19	18	12	14	31
Montana	0.1	74.7	1.8	68.5	1.9	4.7	9.0	5.0	11.0	7.4	0.3	49	45	6	17	24	22	26	45	40	24	20
Nebraska	0.4	79.5	1.7	66.2	3.3	4.8	9.5	10.2	14.2	7.9	0.2	22	26	9	30	15	20	23	24	19	20	31
Nevada	0.4	82.4	0.9	57.1	1.8	1.1	2.8	4.8	12.0	4.0	0.4	22	7	28	49	26	52	52	46	31	40	11
New Hampshire	0.7	80.1	0.9	71.2	4.0	3.7	6.9	12.6	12.0	4.0	0.3	10	19	28	7	11	37	42	13	31	40	20
New Jersey	1.2	81.6	0.9	64.0	5.3	7.1	14.7	8.1	11.5	2.3	1.0	2	13	28	40	6	6	1	35	38	47	2
New Mexico	0.3	70.7	0.7	68.0	1.0	4.0	9.6	4.0	10.0	10.6	0.2	31	49	39	18	41	33	22	49	46	12	31
New York	0.9	78.4	1.0	54.1	4.4	8.0	14.6	6.0	9.8	4.3	0.7	4	31	26	51	7	2	4	43	48	36	6
North Carolina	0.4	80.3	0.8	65.7	1.4	3.4	6.9	12.1	14.4	7.5	0.3	22	16	34	37	35	41	42	15	16	23	20
North Dakota	0.4	76.2	1.1	62.5	2.3	4.2	8.6	6.7	12.8	9.7	0.3	22	41	23	44	18	31	29	42	26	13	20
Ohio	0.7	82.8	1.2	66.3	3.6	6.1	14.0	15.1	16.9	8.2	1.5	10	5	20	28	12	9	5	4	8	19	1
Oklahoma	0.3	76.3	1.2	66.1	0.8	5.1	10.1	9.6	14.3	11.8	0.1	31	39	20	34	46	18	17	27	17	5	44
Oregon	0.5	78.9	1.8	62.8	1.6	5.2	7.9	11.2	12.4	5.0	0.4	17	28	6	43	30	16	35	19	29	33	11
Pennsylvania	0.6	84.1	1.3	69.0	6.0	7.2	13.5	11.6	14.2	6.7	0.9	13	3	18	15	5	4	6	17	19	28	3
Puerto Rico	null	68.9	null	67.8	null	3.5	8.6	8.9	11.5	8.5	null		51		20		39	29	31	38	15	
Rhode Island	0.8	82.0	0.4	61.6	3.5	6.6	12.3	10.6	11.9	2.2	0.2	6	10	49	47	14	8	10	20	34	48	31
South Carolina	0.3	79.3	0.7	70.1	1.5	2.9	6.5	13.4	15.7	10.7	0.3	31	27	39	12	34	46	46	8	11	11	20
South Dakota	0.2	76.3	4.3	68.0	1.6	4.1	8.7	10.0	13.8	11.2	0.1	45	39	1	18	30	32	27	25	21	8	44
Tennessee	0.6	79.7	0.9	66.5	1.1	4.5	8.7	12.9	16.7	7.4	0.2	13	24	28	27	40	26	27	12	9	24	31
Texas	0.5	79.7	0.6	62.3	1.0	3.2	7.7	8.4	12.8	8.3	0.1	17	24	44	46	41	42	36	34	26	18	44
Utah	0.3	80.4	1.9	70.5	0.8	3.2	6.8	10.0	12.9	3.2	0.2	31	15	5	11	46	42	44	25	25	44	31
Vermont	0.3	77.0	1.2	71.3	3.6	3.0	6.0	10.5	10.9	4.2	0.5	31	38	20	6	12	45	48	21	41	38	7
Virginia	0.9	75.0	0.8	66.7	1.8	4.3	8.6	7.1	10.5	4.2	0.3	4	44	34	25	26	29	29	39	43	38	20
Washington	0.5	78.4	1.7	63.3	1.7	4.7	7.3	9.5	11.9	3.4	0.3	17	31	9	42	28	22	39	29	34	42	20
West Virginia	0.4	76.1	1.4	73.7	1.6	7.2	10.6	8.0	14.3	16.2	0.5	22	42	16	1	30	4	16	36	17	1	7
Wisconsin	0.3	82.5	2.3	67.1	8.4	5.5	10.7	18.0	17.8	4.4	0.4	31	6	4	22	1	13	15	3	4	35	11
Wyoming	0.1	72.3	1.7	71.0	1.7	4.8	8.6	4.3	12.7	8.4	0.3	49	48	9	9	28	20	29	48	28	16	20
