name	rooms_5	edu_9_12	in_other	class_govt	edu_9_less	job_service	race_native	units_mobile	race_hispanic	built_1980_1989	units_boat_rv_van	income_10000_14999	income_15000_24999	value_150000_199999	rank_rooms_5	rank_edu_9_12	rank_in_other	rank_class_govt	rank_edu_9_less	rank_job_service	rank_race_native	rank_units_mobile	rank_race_hispanic	rank_built_1980_1989	rank_units_boat_rv_van	rank_income_10000_14999	rank_income_15000_24999	rank_value_150000_199999
Louisiana	24.2	9.5	5.1	15.2	4.7	18.8	0.6	12.9	5.2	14.6	0.2	5.5	12.2	19.0	4	2	8	19	8	8	22	6	39	20	3	7	4	3
Maine	20.0	4.5	4.6	13.4	2.3	17.4	0.7	8.3	1.7	14.3	0.0	4.9	9.7	17.4	20	44	25	36	47	17	21	18	51	22	30	9	12	11
Maryland	13.6	5.6	5.4	21.7	3.9	16.6	0.3	1.3	10.3	15.1	0.0	2.6	5.6	9.2	51	28	3	4	22	34	32	45	24	14	30	52	50	44
Massachusetts	17.7	4.7	4.5	12.3	4.2	16.8	0.2	0.8	12.0	10.8	0.0	4.1	6.8	6.4	35	38	34	42	17	28	44	48	19	40	30	22	41	49
Michigan	20.0	6.0	4.6	10.7	2.7	17.3	0.5	5.4	5.2	9.9	0.0	4.1	9.2	17.1	20	24	25	51	41	19	24	28	39	42	30	22	19	15
Minnesota	14.4	3.9	4.3	12.2	2.8	15.8	1.0	3.2	5.5	12.6	0.0	3.4	7.0	16.6	49	51	46	45	39	49	15	41	38	27	30	42	38	19
Mississippi	24.2	10.0	4.7	18.5	4.7	17.8	0.5	14.8	3.2	14.3	0.1	6.7	12.3	16.2	4	1	19	10	8	13	24	3	49	22	13	2	2	27
Missouri	20.8	6.5	4.7	12.3	2.9	16.8	0.4	5.9	4.3	12.0	0.1	4.5	9.6	18.0	15	20	19	42	37	28	28	26	42	33	13	18	14	7
Montana	18.5	4.3	4.8	16.4	1.7	18.8	6.2	10.2	3.9	11.2	0.1	4.9	9.6	13.5	30	48	15	12	51	8	5	12	45	37	13	9	14	37
Nebraska	15.6	4.6	4.5	14.1	3.8	15.9	0.9	3.3	11.2	9.4	0.0	3.8	8.2	19.4	45	39	34	28	25	47	16	40	20	47	30	35	31	1
Nevada	20.5	7.7	4.6	11.9	5.3	25.1	1.2	5.3	28.9	15.1	0.2	3.5	8.5	10.5	16	10	25	48	5	1	10	29	6	14	3	40	29	40
New Hampshire	17.9	4.5	4.3	13.1	2.2	16.0	0.2	5.7	3.9	19.6	0.0	3.0	6.7	13.0	34	44	46	39	48	45	44	27	45	3	30	48	44	38
New Jersey	16.3	5.1	4.2	13.7	4.7	15.7	0.3	0.9	20.4	11.8	0.0	3.1	6.7	9.2	41	32	50	33	8	50	32	46	9	34	30	45	44	44
New Mexico	24.1	7.9	5.6	22.5	5.6	19.7	9.3	16.7	49.2	17.0	0.2	5.7	11.2	18.8	6	7	2	3	4	4	2	1	2	5	3	4	6	4
New York	16.2	6.8	4.8	15.8	6.0	19.6	0.4	2.3	19.1	7.6	0.0	4.6	8.1	9.5	43	19	15	14	3	5	28	44	10	50	30	17	32	43
North Carolina	22.3	7.2	5.0	13.9	4.3	16.8	1.2	12.4	9.5	15.2	0.1	4.8	9.7	16.6	8	14	12	29	16	28	10	8	27	12	13	14	12	19
North Dakota	15.5	4.2	4.4	16.1	2.7	17.1	5.2	7.1	4.0	11.1	0.0	3.9	8.0	16.5	46	49	43	13	41	23	6	22	44	38	30	31	37	24
Ohio	18.8	6.5	4.4	12.2	2.7	16.9	0.2	3.7	3.9	9.0	0.0	4.4	9.5	17.7	29	20	43	45	41	25	44	36	45	49	30	19	16	9
Oklahoma	24.6	7.6	5.3	17.0	3.9	17.3	7.7	9.2	10.9	14.6	0.2	4.7	10.7	17.6	2	12	5	11	22	19	4	13	22	20	3	16	8	10
Oregon	19.4	5.4	4.5	13.8	3.4	17.6	1.1	7.7	13.2	11.0	0.3	3.8	8.1	7.9	24	30	34	31	31	15	13	20	15	39	2	35	32	46
Pennsylvania	15.7	5.9	4.7	10.7	3.1	17.0	0.2	3.8	7.6	9.6	0.0	4.0	8.8	17.1	44	25	19	51	35	24	44	35	30	45	30	27	22	15
Puerto Rico	37.4	null	5.4	21.0	null	20.6	0.2	0.3	98.7	16.9	0.0	11.7	18.3	15.2	1		3	5		3	44	50	1	6	30	1	1	32
Rhode Island	20.2	6.1	4.6	12.9	4.7	18.4	0.4	0.9	15.9	11.3	0.0	4.9	8.1	13.9	19	22	25	40	8	11	28	46	13	36	30	9	32	36
South Carolina	22.7	8.0	5.1	15.0	3.7	17.5	0.3	15.8	5.8	15.7	0.1	4.8	9.9	16.6	7	6	8	22	26	16	32	2	36	10	13	14	11	19
South Dakota	16.3	5.0	4.5	15.5	2.8	16.8	8.5	8.6	4.1	9.6	0.1	4.1	8.7	18.4	41	34	34	18	39	28	3	16	43	45	13	22	23	5
Tennessee	21.1	7.6	4.8	13.3	4.2	16.5	0.3	8.9	5.6	13.9	0.1	4.9	10.0	16.8	13	12	15	37	17	36	32	14	37	25	13	9	10	18
Texas	20.3	7.8	5.1	13.3	7.8	16.9	0.5	6.9	39.4	15.9	0.2	3.9	8.4	15.8	17	8	8	37	2	25	24	23	3	9	3	31	30	29
Utah	14.3	4.6	4.5	14.6	2.4	14.9	1.1	3.1	14.2	12.1	0.1	2.7	6.1	10.1	50	39	34	23	45	51	13	42	14	32	13	50	49	42
Vermont	17.5	4.5	4.6	14.6	2.0	16.7	0.3	6.4	2.0	15.6	0.0	4.9	8.6	18.0	36	44	25	23	49	33	32	24	50	11	30	9	25	7
Virginia	16.9	5.8	5.3	20.0	3.9	16.4	0.3	4.9	9.5	16.3	0.0	3.3	7.0	12.3	39	26	5	8	22	39	32	30	27	8	30	44	38	39
Washington	16.5	4.8	4.5	15.6	3.5	16.5	1.2	6.0	12.9	12.9	0.2	3.1	6.5	7.1	40	36	34	17	28	36	10	25	16	26	3	45	47	47
West Virginia	21.9	8.3	4.3	19.6	4.1	19.0	0.2	14.6	1.6	12.2	0.1	5.9	12.3	16.0	12	4	46	9	19	7	44	4	52	31	13	3	2	28
Wisconsin	19.6	4.9	4.2	12.3	2.5	16.2	0.8	3.4	7.0	9.8	0.0	4.1	8.6	19.2	22	35	50	42	44	41	18	39	34	44	30	22	25	2
Wyoming	18.2	4.6	4.6	20.6	1.8	17.4	2.3	12.7	10.1	14.9	0.2	3.7	8.1	17.4	31	39	25	6	50	17	8	7	25	18	3	37	32	11
