name	units_2	age_45_54	age_55_59	units_3_4	in_finance	median_age	age_85_over	income_mean	earnings_male	grapi_35_more	income_median	ancestry_greek	ancestry_irish	rent_1000_1499	ancestry_polish	ancestry_slovak	built_1940_1949	built_1950_1959	built_1960_1969	earnings_female	earnings_median	edu_grad_degree	job_bus_sci_art	ancestry_italian	ancestry_russian	housing_occupied	income_percapita	ancestry_ukranian	ancestry_hungarian	income_200000_more	ancestry_lithuanian	edu_bachelor_higher	in_education_health	value_200000_299999	ancestry_west_indian	income_150000_199999	rank_units_2	rank_age_45_54	rank_age_55_59	rank_units_3_4	rank_in_finance	rank_median_age	rank_age_85_over	rank_income_mean	rank_earnings_male	rank_grapi_35_more	rank_income_median	rank_ancestry_greek	rank_ancestry_irish	rank_rent_1000_1499	rank_ancestry_polish	rank_ancestry_slovak	rank_built_1940_1949	rank_built_1950_1959	rank_built_1960_1969	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_job_bus_sci_art	rank_ancestry_italian	rank_ancestry_russian	rank_housing_occupied	rank_income_percapita	rank_ancestry_ukranian	rank_ancestry_hungarian	rank_income_200000_more	rank_ancestry_lithuanian	rank_edu_bachelor_higher	rank_in_education_health	rank_value_200000_299999	rank_ancestry_west_indian	rank_income_150000_199999
Georgia	2.1	13.4	6.5	2.9	6.4	36.9	1.4	85691	51053	40.1	61224	0.2	7.0	36.6	1.0	0.1	2.6	5.9	8.5	41521	34603	12.5	38.5	2.2	0.4	88.5	32427	0.1	0.2	7.1	0.1	32.2	20.9	21.0	1.3	6.3	32	5	34	41	22	41	49	22	34	15	30	31	44	10	41	17	47	49	41	28	29	19	24	38	34	23	33	34	31	20	22	25	50	28	8	22
Hawaii	2.1	12.1	6.4	4.0	6.6	39.4	2.8	107348	53956	45.5	83173	0.2	4.4	25.7	0.9	0.0	3.5	8.5	14.4	45426	39448	11.6	35.7	2.1	0.4	85.6	37013	0.1	0.2	11.3	0.1	33.6	21.3	7.0	0.2	10.5	32	37	41	22	19	19	1	7	23	2	5	31	51	35	44	40	39	33	2	18	12	25	42	41	34	35	16	34	31	9	22	19	46	52	20	3
Idaho	2.3	11.5	6.2	4.3	5.7	36.6	1.6	77399	49618	36.6	58915	0.2	9.1	27.8	1.3	0.0	3.8	6.1	6.6	37128	30843	9.4	36.0	3.1	0.5	88.1	29494	0.3	0.2	4.7	0.1	28.7	22.3	26.9	0.1	5.0	28	44	48	19	32	46	45	39	39	33	35	31	34	26	36	40	35	47	51	47	49	43	39	31	31	25	45	16	31	40	22	39	40	11	36	43
Illinois	5.6	12.9	6.8	6.4	7.3	38.3	2.1	95115	59310	38.2	68428	0.7	11.0	30.4	6.6	0.3	6.1	12.6	11.6	47045	38645	13.9	39.8	5.7	0.9	90.9	37306	0.4	0.4	8.8	0.6	35.5	23.3	22.3	0.3	7.8	7	15	21	8	9	28	23	15	12	25	18	4	20	21	4	5	9	8	11	16	15	12	18	12	15	5	14	10	11	13	3	13	31	19	16	15
Indiana	2.4	12.5	6.7	3.5	5.2	37.8	2.0	76984	52374	37.2	58235	0.3	10.4	23.9	3.0	0.3	5.7	10.9	11.0	39800	34065	9.9	35.1	2.7	0.3	89.6	30693	0.1	0.5	4.5	0.1	27.2	23.3	17.4	0.1	5.2	26	28	25	31	44	36	26	40	29	32	36	20	24	40	16	5	12	14	18	37	33	40	47	35	42	17	42	34	7	43	22	43	31	42	36	40
Iowa	2.2	11.8	6.7	3.4	7.8	38.3	2.5	80316	52790	34.7	61836	0.2	13.0	20.9	1.3	0.0	5.0	10.1	10.1	41357	35457	9.6	37.2	2.0	0.3	90.5	33021	0.1	0.1	5.0	0.1	29.3	24.3	19.3	0.1	5.6	31	41	25	33	6	28	6	33	27	46	28	31	11	47	36	40	19	17	23	29	21	42	35	43	42	9	26	34	44	37	22	35	21	34	36	32
Kansas	2.5	11.6	6.5	3.6	6.3	36.9	2.3	82103	51978	34.2	61091	0.2	11.3	26.1	1.3	0.0	5.5	12.6	10.2	40776	34481	12.5	39.2	2.1	0.6	89.2	32798	0.1	0.2	5.7	0.1	33.9	24.7	19.0	0.1	5.9	23	43	34	27	24	41	11	31	31	48	31	31	17	33	36	40	13	8	22	33	30	19	20	41	27	19	29	34	31	29	22	18	15	37	36	30
Kentucky	2.9	12.9	6.9	4.4	5.7	39.0	1.8	72318	49210	35.0	52238	0.1	11.2	20.9	0.9	0.1	4.3	9.1	10.7	38782	32148	10.3	35.2	2.0	0.2	87.6	29123	0.1	0.2	4.2	0.1	25.0	24.1	17.0	0.1	4.5	19	15	18	16	32	21	34	46	42	42	45	45	18	47	44	17	29	25	20	40	42	39	46	43	47	29	46	34	31	47	22	47	23	43	36	48
Louisiana	4.0	12.1	6.6	4.0	5.1	37.2	1.7	73759	52911	45.2	50800	0.1	6.5	26.8	0.5	0.0	4.0	9.3	12.5	37701	32723	8.9	35.3	4.3	0.2	84.4	29522	0.0	0.1	4.7	0.0	24.9	24.5	21.3	0.2	5.3	14	37	32	22	45	39	40	45	26	3	48	45	46	29	50	40	33	24	6	45	40	46	45	18	47	41	44	50	44	40	46	48	19	26	20	38
Maine	4.9	13.4	8.0	5.4	6.3	44.8	2.6	78301	51630	35.5	59489	0.5	16.7	27.7	2.2	0.1	4.6	7.2	6.9	42188	34238	12.2	38.8	5.7	0.6	76.3	33774	0.2	0.3	4.9	0.3	32.5	28.0	24.7	0.2	5.5	11	5	2	11	24	1	3	36	33	41	33	8	4	27	21	17	25	40	50	24	32	22	22	12	27	52	24	25	20	39	7	22	4	16	20	35
Maryland	1.5	13.5	7.1	2.2	6.1	38.8	2.0	114236	66093	40.3	87063	0.5	9.8	33.4	2.9	0.2	5.2	11.3	11.5	56623	45841	19.1	47.2	4.8	1.1	90.7	43352	0.3	0.4	13.4	0.3	40.9	23.7	23.7	1.5	10.8	50	4	9	50	28	24	26	5	5	12	2	8	30	15	17	7	16	13	12	3	2	3	3	16	9	8	5	16	11	4	7	4	27	18	6	1
Massachusetts	9.7	13.3	7.1	10.7	7.3	39.6	2.4	115964	71096	39.1	84385	1.1	19.7	25.8	4.2	0.1	5.4	11.4	10.1	57737	44845	20.0	48.0	12.0	1.4	90.9	45555	0.4	0.3	14.3	0.7	44.5	28.2	17.9	2.0	10.6	3	7	9	2	9	15	9	3	2	20	4	2	2	34	9	17	15	12	23	2	3	2	2	4	5	5	3	10	20	3	1	2	3	40	4	2
Michigan	2.3	12.9	7.1	2.6	5.6	39.8	2.2	80803	54763	39.8	59234	0.4	10.2	28.1	8.0	0.2	7.5	14.7	11.8	42471	33534	11.7	37.6	4.5	0.6	86.3	32854	0.4	0.8	5.7	0.3	30.0	23.4	19.6	0.2	5.9	28	15	9	48	36	13	16	32	21	17	34	13	25	25	2	7	3	1	9	22	35	23	30	17	27	32	27	10	5	29	7	32	28	33	20	30
Minnesota	2.1	12.4	7.0	2.0	7.3	38.1	2.2	96814	59850	36.0	73382	0.2	10.0	31.2	4.3	0.1	4.5	9.7	9.4	48961	40505	12.6	42.2	2.2	0.7	89.8	38881	0.3	0.2	8.5	0.1	36.8	25.5	28.8	0.2	8.2	32	30	14	52	9	32	16	14	11	35	14	31	29	18	8	17	26	21	31	11	10	18	11	38	24	16	11	16	31	15	22	11	11	5	20	14
Mississippi	2.5	12.3	6.5	3.1	4.5	37.7	1.7	65156	45599	40.2	46511	0.1	6.8	21.8	0.4	0.0	3.2	7.4	11.5	34304	30484	8.9	33.1	1.8	0.1	83.9	25444	0.0	0.1	3.4	0.0	22.8	25.4	15.7	0.1	4.1	23	33	34	38	49	38	40	51	50	14	51	45	45	46	51	40	42	37	12	51	50	46	50	45	49	44	51	50	44	50	46	50	12	45	36	49
Missouri	3.3	12.3	7.0	4.6	7.1	38.7	2.1	78194	50942	36.0	57290	0.2	12.3	25.4	1.6	0.1	4.7	10.0	11.4	40176	33811	11.5	37.9	3.3	0.4	87.0	31839	0.1	0.2	5.2	0.1	29.9	24.1	19.8	0.1	5.3	15	33	14	14	13	26	23	37	35	35	39	31	14	37	30	17	22	19	14	35	34	27	27	28	34	30	37	34	31	31	22	34	23	32	36	38
Montana	2.8	11.4	7.0	4.4	5.4	40.1	2.0	76834	49939	35.7	56539	0.2	13.6	25.2	1.9	0.1	4.7	9.0	8.4	38332	31067	10.9	37.5	3.6	0.8	84.7	32463	0.3	0.3	4.7	0.1	33.1	23.2	26.0	0.1	5.4	20	47	14	16	41	10	26	42	38	38	41	31	9	38	24	17	22	26	42	42	48	32	33	24	19	38	32	16	20	40	22	20	33	14	36	36
Nebraska	2.0	11.5	6.3	2.6	7.6	36.6	2.2	82306	52186	32.9	63015	0.2	11.9	25.6	3.3	0.0	4.8	9.5	11.1	40911	35283	11.1	38.8	2.6	0.5	90.8	33205	0.1	0.2	5.2	0.1	32.5	24.5	20.5	0.1	6.1	37	44	44	48	8	46	16	30	30	49	26	31	15	36	15	40	20	23	17	31	23	31	22	36	31	7	25	34	31	31	22	22	19	30	36	26
Nevada	1.4	13.0	6.5	6.5	5.6	38.2	1.5	84350	48506	40.8	62043	0.4	8.1	41.0	1.8	0.1	1.1	2.8	5.8	41103	34822	8.8	30.9	5.2	0.8	89.1	32629	0.2	0.4	5.9	0.1	25.5	16.3	28.6	0.3	6.2	51	13	34	7	36	31	48	25	47	11	27	13	39	2	26	17	52	52	52	30	27	48	52	14	19	20	30	25	11	28	22	46	52	7	16	24
New Hampshire	5.6	14.0	8.2	5.4	6.3	43.0	2.2	101292	61507	36.6	77923	1.4	20.6	39.8	4.0	0.1	3.7	6.9	8.7	49178	40797	14.5	41.9	10.1	0.9	84.4	41234	0.4	0.3	9.7	0.5	37.6	24.7	29.8	0.3	9.2	7	1	1	11	24	2	16	11	8	33	8	1	1	3	11	17	37	42	38	10	8	10	12	7	15	41	7	10	20	11	4	9	15	3	16	9
New Jersey	9.0	13.9	7.2	6.3	8.5	40.0	2.3	117868	69629	41.7	85245	0.7	13.3	37.8	5.3	0.4	7.1	14.7	13.3	54975	44780	15.9	44.2	15.0	1.7	90.2	44153	0.7	1.0	14.8	0.3	40.7	24.1	21.5	1.9	10.4	4	2	6	9	4	11	11	2	3	8	3	4	10	7	6	4	6	1	4	5	4	8	6	3	3	14	4	3	2	2	7	5	23	24	5	4
New Mexico	1.9	11.5	6.5	3.8	4.8	38.1	2.0	70241	46369	39.7	51243	0.2	6.1	27.4	1.0	0.1	4.0	9.6	9.9	37898	30357	12.3	37.8	2.2	0.4	84.0	27945	0.1	0.2	4.1	0.1	28.1	25.7	21.8	0.1	4.7	42	44	34	26	47	32	26	48	48	19	47	31	47	28	41	17	33	22	29	43	51	21	28	38	34	43	48	34	31	48	22	42	10	22	36	47
New York	10.1	13.1	6.9	6.9	8.1	39.0	2.4	105304	60871	42.4	71117	0.7	11.1	26.5	4.4	0.2	8.0	14.6	12.5	52668	41119	16.5	42.6	11.9	1.8	88.7	40898	0.7	0.7	11.5	0.2	37.5	28.3	13.5	4.0	8.4	2	11	18	6	5	21	9	9	10	6	15	4	19	31	7	7	2	4	6	6	7	6	10	5	2	22	8	3	6	8	14	10	2	48	2	13
North Carolina	2.0	13.2	6.7	2.7	6.7	38.9	1.8	79620	48869	37.9	56642	0.3	8.0	31.4	1.4	0.1	3.4	6.9	8.6	40819	33219	11.6	38.9	3.2	0.4	86.0	31993	0.2	0.3	6.0	0.1	32.0	22.8	20.5	0.5	5.4	37	8	25	45	17	23	34	34	44	27	40	20	40	17	35	17	41	42	40	32	38	25	21	29	34	33	36	25	20	25	22	26	35	30	13	36
North Dakota	2.1	10.6	6.3	3.5	5.7	35.2	2.3	85506	54353	31.6	65315	0.1	7.4	22.3	2.3	0.1	4.2	8.6	8.7	42337	38165	8.6	38.3	1.2	2.6	85.2	36289	0.6	0.3	6.0	0.0	30.7	26.0	26.5	0.2	6.3	32	51	44	31	32	48	11	23	22	51	20	45	42	45	18	17	31	29	38	23	17	49	25	50	1	36	18	5	20	25	46	28	9	12	20	22
Ohio	4.1	12.7	7.1	4.4	6.5	39.5	2.2	78797	53293	35.6	58116	0.5	12.7	23.4	3.6	0.9	6.1	14.0	12.0	41886	34649	10.9	37.6	6.1	0.6	90.4	32465	0.4	1.5	5.2	0.2	28.9	24.2	18.2	0.2	5.6	13	24	9	16	21	17	16	35	25	40	37	8	13	42	12	2	9	5	8	26	28	32	30	10	27	11	31	10	1	31	14	38	22	39	20	32
Oklahoma	1.9	11.7	6.4	2.7	5.5	36.7	1.8	74195	49185	35.7	53840	0.1	10.2	23.2	0.8	0.0	5.1	10.1	11.3	36821	32256	9.0	35.6	1.7	0.3	85.8	29873	0.1	0.1	4.5	0.0	26.1	22.6	16.2	0.4	4.8	42	42	41	45	39	44	34	44	43	38	44	45	25	43	46	40	18	17	15	48	41	45	44	47	42	34	43	34	44	43	46	45	37	44	14	46
Oregon	2.6	12.3	6.3	4.3	5.5	39.5	2.1	88137	54792	41.2	65667	0.3	11.0	37.7	1.6	0.1	5.2	7.9	9.1	44809	35166	13.1	40.4	3.7	1.0	91.8	35393	0.5	0.4	7.2	0.1	34.4	23.4	21.5	0.1	7.0	22	33	44	19	39	17	23	20	20	9	19	20	20	8	30	17	16	35	33	19	25	15	15	23	13	3	21	7	11	19	22	17	28	24	36	19
Pennsylvania	4.3	12.9	7.2	4.0	6.6	40.9	2.6	87262	56266	38.1	63627	0.5	15.5	30.6	6.0	1.4	7.2	13.5	10.1	44779	36987	12.8	39.9	11.2	1.3	89.4	35518	0.8	0.9	7.1	0.5	32.3	26.2	21.9	0.7	6.7	12	15	6	22	19	9	3	21	18	26	23	8	6	20	5	1	4	6	23	20	19	17	17	6	7	18	20	1	3	20	4	24	8	21	11	21
Puerto Rico	3.2	13.1	6.6	3.0	5.3	42.4	2.5	33315	24088	44.4	21058	null	null	5.8	null	null	3.5	8.6	17.4	24385	17422	null	32.9	null	null	77.3	13318	null	null	1.0	null	null	23.1	8.5	null	0.9	16	11	32	40	42	5	6	52	52	5	52			52			39	29	1	52	52		51			51	52			52			34	50		52
Rhode Island	11.3	13.2	7.2	12.0	6.7	40.0	2.5	92427	59194	37.9	70305	0.7	17.2	34.7	3.5	0.1	6.6	12.3	11.7	47939	39410	14.0	40.5	16.3	0.8	88.4	37504	0.4	0.2	7.7	0.3	35.0	27.4	34.5	0.9	7.8	1	8	6	1	17	11	6	17	13	27	16	4	3	13	14	17	8	10	10	14	13	11	14	2	19	24	13	10	31	17	7	14	6	1	10	15
South Carolina	1.8	12.7	6.7	2.7	5.7	39.7	1.7	76390	48718	40.3	54864	0.3	8.6	29.9	1.5	0.1	2.9	6.5	8.8	37883	31942	10.8	35.8	3.0	0.4	84.6	30727	0.2	0.3	5.1	0.1	29.0	22.1	19.2	0.4	5.2	45	24	25	45	32	14	40	43	45	12	42	20	36	23	34	17	46	46	35	44	45	34	41	32	34	39	41	25	20	35	22	37	42	35	14	40
South Dakota	1.9	11.0	6.7	3.6	7.3	37.2	2.3	77932	49358	30.3	59896	0.1	10.1	18.7	1.6	0.1	4.1	8.7	8.3	38586	33511	9.2	37.3	1.2	1.1	87.7	31415	0.2	0.1	4.4	0.0	29.3	24.0	22.3	0.1	5.1	42	49	25	27	9	39	11	38	41	52	32	45	27	49	30	17	32	27	43	41	36	44	34	50	9	28	38	25	44	45	46	35	26	19	36	42
Tennessee	2.7	13.0	6.7	3.1	5.9	38.8	1.8	76937	48607	37.9	54833	0.2	9.3	28.2	1.1	0.1	4.5	8.7	10.0	39132	32742	10.4	36.3	2.3	0.3	88.1	30869	0.1	0.2	5.1	0.1	28.2	22.6	20.8	0.2	4.9	21	13	25	38	31	24	34	41	46	27	43	31	33	24	40	17	26	27	27	39	39	38	38	37	42	25	40	34	31	35	22	40	37	29	20	44
Texas	1.8	12.4	5.9	3.3	6.8	34.8	1.4	89506	51949	38.8	63826	0.2	6.1	36.5	1.0	0.0	3.2	7.7	8.8	41687	35003	10.8	37.8	1.8	0.3	89.1	32177	0.1	0.1	7.8	0.1	30.7	21.8	21.2	0.3	7.0	45	30	50	36	16	49	49	19	32	21	22	31	47	11	41	40	42	36	35	27	26	34	28	45	42	20	35	34	44	16	22	28	44	27	16	19
Utah	2.5	10.3	4.9	4.2	7.1	31.1	1.1	94452	56374	34.8	74197	0.4	5.9	37.4	0.8	0.0	3.2	6.8	7.0	40326	33419	11.7	39.7	2.8	0.4	90.4	30986	0.1	0.2	7.0	0.1	34.7	22.4	28.0	0.1	7.8	23	52	52	21	13	52	51	16	17	44	13	13	49	9	46	40	42	44	49	34	37	23	19	33	34	11	39	34	31	22	22	15	39	9	36	15
Vermont	5.5	12.9	7.6	6.3	4.8	42.8	2.2	83767	52486	40.0	63477	0.4	16.5	32.7	3.6	0.2	3.0	6.0	8.3	45695	35246	16.1	43.1	7.3	1.1	77.9	35854	0.3	0.5	6.0	0.4	39.7	28.7	28.4	0.2	6.1	9	15	3	9	47	3	16	26	28	16	24	13	5	16	12	7	45	48	43	17	24	7	8	9	9	50	19	16	7	25	6	7	1	8	20	26
Virginia	1.6	13.2	6.8	2.8	6.3	38.4	1.7	106023	61123	37.9	76398	0.4	9.0	30.1	1.8	0.2	4.3	8.6	10.5	48894	40573	17.2	45.3	3.9	0.5	90.0	41255	0.3	0.3	11.6	0.2	39.5	22.2	21.6	0.6	9.0	47	8	21	43	24	27	40	8	9	27	11	13	35	22	26	7	29	29	21	12	9	5	4	22	31	15	6	16	20	7	14	8	41	23	12	10
Washington	2.3	12.4	6.4	3.6	5.3	37.8	1.8	103669	64520	37.9	77006	0.3	10.1	31.1	1.7	0.1	4.7	7.3	9.3	50941	41498	13.9	42.7	3.4	1.1	92.2	40837	0.8	0.3	10.5	0.2	36.7	21.6	19.1	0.2	8.9	28	30	41	27	42	36	34	10	6	27	10	20	27	19	28	17	22	39	32	8	6	12	9	26	9	1	9	1	20	10	14	12	45	36	20	11
West Virginia	2.0	12.9	7.0	2.8	4.2	42.7	2.2	65332	49375	38.8	48037	0.3	12.9	16.1	1.6	0.2	7.2	10.6	9.0	36133	31199	8.6	34.2	4.3	0.4	82.2	27346	0.1	0.5	3.1	0.1	21.3	27.9	15.2	0.1	3.9	37	15	14	43	51	4	16	50	40	21	50	20	12	51	30	7	4	16	34	50	47	49	49	18	34	48	50	34	7	51	22	51	5	47	36	51
Wisconsin	6.3	12.7	7.4	3.6	6.1	39.6	2.3	82757	53719	34.9	63293	0.3	10.6	26.5	8.4	0.2	5.5	10.7	9.7	42789	36540	10.5	37.2	3.4	0.7	87.8	34450	0.2	0.4	5.2	0.2	30.8	23.4	24.6	0.1	6.1	6	24	5	27	28	15	11	29	24	43	25	20	23	31	1	7	13	15	30	21	20	36	35	26	24	27	22	25	11	31	14	27	28	17	36	26
Wyoming	2.1	11.4	6.8	4.6	4.5	38.0	1.7	83583	57399	32.0	65304	0.3	11.5	24.9	1.7	0.1	4.8	8.6	7.5	39978	35388	10.5	35.9	3.2	0.8	83.7	34415	0.2	0.3	5.0	0.1	28.2	25.1	28.8	0.1	6.2	32	47	21	14	49	34	40	27	16	50	21	20	16	39	28	17	20	29	47	36	22	36	40	29	19	45	23	25	20	37	22	40	13	5	36	24
