name	age_5_9	age_10_14	age_15_19	race_white	age_under18	ancestry_swiss	ancestry_welsh	in_agri_mining	ancestry_danish	built_2000_2009	in_construction	ancestry_english	ancestry_swedish	built_2014_later	job_construction	units_1_detached	ancestry_scottish	units_boat_rv_van	class_selfemployed	income_35000_49999	income_50000_74999	edu_college_nodegree	rank_age_5_9	rank_age_10_14	rank_age_15_19	rank_race_white	rank_age_under18	rank_ancestry_swiss	rank_ancestry_welsh	rank_in_agri_mining	rank_ancestry_danish	rank_built_2000_2009	rank_in_construction	rank_ancestry_english	rank_ancestry_swedish	rank_built_2014_later	rank_job_construction	rank_units_1_detached	rank_ancestry_scottish	rank_units_boat_rv_van	rank_class_selfemployed	rank_income_35000_49999	rank_income_50000_74999	rank_edu_college_nodegree
New York	5.6	5.9	6.1	62.3	20.9	0.2	0.4	0.6	0.2	6.1	5.7	5.1	0.6	1.6	7.0	41.9	1.0	0.0	5.7	10.4	15.1	15.5	41	43	43	43	40	24	38	46	28	51	47	48	34	49	49	51	47	30	28	43	48	49
North Carolina	6.0	6.4	6.6	67.6	22.2	0.2	0.6	1.2	0.2	18.8	7.0	9.8	0.6	4.8	9.0	65.3	2.2	0.1	5.6	13.6	18.0	21.1	27	23	16	36	27	24	18	34	28	6	19	15	34	9	26	27	11	13	30	8	26	22
North Dakota	6.6	6.3	6.3	85.7	23.4	0.3	0.3	9.2	0.9	11.0	7.4	4.3	3.9	8.0	11.9	57.0	1.2	0.0	7.4	11.8	18.7	22.2	10	30	34	10	13	19	46	2	10	38	8	50	2	1	3	44	42	30	7	34	9	15
Ohio	6.0	6.4	6.5	80.5	22.2	0.6	1.0	1.0	0.1	9.4	5.6	8.6	0.6	2.0	7.4	68.9	1.8	0.0	4.8	13.3	18.4	20.3	27	23	22	21	27	5	6	38	40	45	48	24	34	44	46	14	21	30	44	16	16	34
Oklahoma	6.7	6.9	6.7	71.1	24.2	0.2	0.5	4.3	0.2	13.2	7.1	8.0	0.6	3.9	11.0	72.9	1.7	0.2	6.5	14.1	18.5	23.1	8	7	12	32	7	24	26	8	28	27	14	29	34	20	7	4	23	3	16	2	12	11
Oregon	5.8	6.0	5.9	82.6	20.8	0.7	1.0	3.1	0.9	13.9	6.5	11.4	2.3	3.8	8.9	63.3	2.8	0.3	7.1	12.2	18.1	25.0	39	40	48	16	41	3	6	13	10	24	32	8	12	21	29	32	8	2	9	31	25	6
Pennsylvania	5.6	6.0	6.3	79.4	20.7	0.6	1.2	1.3	0.1	8.1	6.0	7.2	0.7	1.8	8.0	57.1	1.4	0.0	5.0	12.1	17.6	15.9	41	40	34	22	42	5	3	31	40	48	43	37	30	45	40	43	35	30	40	32	31	48
Puerto Rico	5.0	6.0	6.5	60.0	18.8	null	null	1.3	null	12.3	5.6	null	null	0.3	9.1	68.8	null	0.0	10.0	12.0	10.2	null	51	40	22	46	49			31		30	48			52	24	15		30	1	33	52	
Rhode Island	5.2	5.6	6.8	79.0	19.4	0.1	0.3	0.5	0.1	5.9	6.1	10.6	1.5	1.0	7.5	55.3	1.7	0.0	4.9	10.8	15.8	18.0	47	49	8	23	47	44	46	47	40	52	39	11	20	51	45	45	23	30	43	40	44	43
South Carolina	6.0	6.3	6.5	66.5	21.8	0.2	0.5	0.9	0.1	18.8	6.9	9.0	0.5	5.9	9.2	63.8	2.2	0.1	5.5	13.5	18.2	20.6	27	30	22	39	35	24	26	42	40	6	22	21	40	5	22	31	11	13	32	11	22	30
South Dakota	7.0	6.8	6.6	83.6	24.5	0.4	0.5	6.4	1.8	13.9	7.1	6.2	3.0	4.7	10.8	67.3	1.2	0.1	7.9	13.6	19.1	21.1	4	10	16	14	6	10	26	3	4	24	14	40	5	11	9	20	42	13	5	8	5	22
Tennessee	6.0	6.4	6.3	76.7	22.3	0.2	0.6	1.0	0.1	16.1	6.6	9.4	0.5	4.7	8.7	68.6	2.1	0.1	6.8	13.9	18.4	20.7	27	23	34	25	25	24	18	38	40	13	29	17	40	11	36	17	14	13	11	5	16	29
Texas	7.0	7.4	7.1	69.2	25.8	0.1	0.4	2.8	0.2	18.7	8.6	6.2	0.5	7.1	10.5	65.1	1.3	0.2	6.8	12.3	17.6	21.5	4	2	2	35	2	44	38	15	28	8	1	40	40	2	12	28	40	3	11	28	31	20
Utah	8.3	8.3	7.9	85.1	29.4	1.1	1.9	1.5	4.6	19.4	7.2	24.1	3.4	6.8	8.8	68.5	4.2	0.1	4.8	11.8	19.1	25.5	1	1	1	12	1	1	1	27	1	5	11	1	4	3	31	18	3	13	44	34	5	3
Vermont	5.1	5.3	6.8	93.6	18.5	0.3	1.1	2.7	0.4	10.8	7.1	17.0	1.6	2.1	10.1	66.9	4.3	0.0	8.2	12.3	18.3	16.7	48	51	8	2	51	19	4	16	18	42	14	4	18	43	14	23	2	30	4	28	19	46
Virginia	6.0	6.3	6.5	66.3	22.0	0.2	0.7	0.8	0.2	14.9	6.6	9.8	0.6	3.6	8.0	61.7	2.0	0.0	4.8	10.8	16.3	19.1	27	30	22	40	31	24	17	44	28	18	29	15	34	22	40	37	16	30	44	40	41	39
Washington	6.2	6.1	6.0	73.5	22.0	0.4	0.9	2.5	0.9	15.0	7.0	10.3	2.8	4.8	9.4	63.1	2.7	0.2	5.8	10.8	17.1	23.1	19	38	45	30	31	10	9	18	10	17	19	13	6	9	20	34	9	3	27	40	37	11
West Virginia	5.5	5.9	6.0	92.5	20.2	0.2	0.9	3.6	0.1	11.3	6.5	11.1	0.3	1.8	10.9	71.1	2.0	0.1	4.2	14.2	17.9	18.7	43	43	45	3	44	24	9	12	40	35	32	9	48	45	8	8	16	13	52	1	28	41
Wisconsin	6.0	6.4	6.5	84.3	21.9	0.9	0.5	2.2	1.0	12.3	5.9	5.8	2.4	2.5	8.5	66.6	1.0	0.0	5.1	13.0	18.9	20.5	27	23	22	13	34	2	26	21	9	30	44	42	11	35	39	24	47	30	39	25	8	32
Wyoming	6.7	6.6	6.3	90.3	23.2	0.4	1.1	10.5	1.5	14.8	8.2	12.7	2.8	3.0	15.1	67.0	3.1	0.2	6.6	12.3	18.2	25.4	8	16	34	5	15	10	4	1	6	19	2	6	6	30	1	21	6	3	14	28	22	4
