name	age_45_54	age_55_59	age_60_64	age_65_74	age_75_84	in_retail	median_age	race_white	age_16_over	age_18_over	age_21_over	age_62_over	age_65_over	age_85_over	grapi_25_29	grapi_30_34	ancestry_irish	housing_vacant	occupied_owner	ancestry_french	ancestry_english	ancestry_scottish	built_1939_earlier	class_selfemployed	in_education_health	edu_highschool_higher	ancestry_frenchcanadian	ancestry_scottish_irish	rank_age_45_54	rank_age_55_59	rank_age_60_64	rank_age_65_74	rank_age_75_84	rank_in_retail	rank_median_age	rank_race_white	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_age_62_over	rank_age_65_over	rank_age_85_over	rank_grapi_25_29	rank_grapi_30_34	rank_ancestry_irish	rank_housing_vacant	rank_occupied_owner	rank_ancestry_french	rank_ancestry_english	rank_ancestry_scottish	rank_built_1939_earlier	rank_class_selfemployed	rank_in_education_health	rank_edu_highschool_higher	rank_ancestry_frenchcanadian	rank_ancestry_scottish_irish
Georgia	13.4	6.5	5.8	8.5	3.9	11.3	36.9	57.2	78.9	76.2	71.9	17.2	13.9	1.4	11.0	9.0	7.0	11.5	64.0	1.3	7.8	1.7	4.2	5.4	20.9	87.9	0.2	1.1	5	34	48	46	47	27	41	48	43	44	43	48	48	49	48	24	44	30	40	49	33	23	44	35	50	39	35	16
Hawaii	12.1	6.4	6.4	10.4	5.1	11.3	39.4	24.1	80.9	78.7	75.5	22.1	18.4	2.8	11.6	9.2	4.4	14.4	60.3	1.4	4.0	0.9	3.5	6.9	21.3	92.5	0.2	0.4	37	41	25	11	11	27	19	52	15	15	11	10	8	1	28	16	51	18	48	45	51	51	46	10	46	11	35	48
Idaho	11.5	6.2	6.1	9.6	4.6	11.9	36.6	88.4	77.5	74.7	70.6	19.4	15.8	1.6	11.9	8.4	9.1	11.9	70.8	2.3	17.1	3.2	8.3	7.3	22.3	91.3	0.5	1.0	44	48	41	29	33	9	46	7	50	50	50	35	33	45	18	47	34	27	10	18	3	5	31	8	40	19	17	22
Illinois	12.9	6.8	6.2	9.0	4.5	10.5	38.3	69.8	80.2	77.5	73.6	19.2	15.7	2.1	11.3	8.8	11.0	9.1	66.3	1.7	5.7	1.1	21.0	4.6	23.3	89.7	0.3	0.5	15	21	39	42	35	43	28	34	29	29	28	38	37	23	43	35	20	47	28	34	43	46	10	47	31	31	27	42
Indiana	12.5	6.7	6.3	9.2	4.5	10.8	37.8	82.3	79.2	76.5	72.3	19.4	15.7	2.0	11.7	8.9	10.4	10.4	69.5	2.0	8.7	1.7	16.8	4.5	23.3	89.3	0.2	0.8	28	25	32	36	35	37	36	17	40	41	41	35	37	26	24	27	24	36	13	24	23	23	17	49	31	32	35	27
Iowa	11.8	6.7	6.5	9.5	5.0	11.5	38.3	89.1	79.5	76.9	72.5	20.9	17.1	2.5	11.2	8.0	13.0	9.5	71.2	1.8	8.1	1.5	25.2	6.4	24.3	92.5	0.2	0.8	41	25	19	30	14	19	28	6	36	35	38	18	18	6	44	51	11	43	7	30	28	32	7	18	21	11	35	27
Kansas	11.6	6.5	6.3	9.0	4.5	10.5	36.9	83.0	78.5	75.8	71.4	19.5	15.8	2.3	11.5	9.0	11.3	10.8	66.2	2.3	10.2	1.9	16.2	6.1	24.7	91.4	0.3	1.0	43	34	32	42	35	43	41	15	45	45	47	34	33	11	36	24	17	34	30	18	14	19	18	23	15	18	27	22
Kentucky	12.9	6.9	6.5	9.8	4.8	11.7	39.0	86.2	80.0	77.4	73.3	20.1	16.4	1.8	11.7	8.2	11.2	12.4	67.6	1.5	11.0	1.9	9.6	5.2	24.1	87.2	0.2	1.3	15	18	19	21	22	11	21	9	31	31	32	27	27	34	24	50	18	24	21	40	10	19	29	38	23	42	35	11
Louisiana	12.1	6.6	6.4	9.3	4.5	11.4	37.2	61.2	79.1	76.5	72.5	19.1	15.4	1.7	9.8	8.9	6.5	15.6	66.6	10.8	5.5	1.0	6.7	6.2	24.5	85.9	2.8	0.7	37	32	25	34	35	25	39	45	41	41	38	42	41	40	51	27	46	11	26	3	46	47	37	21	19	48	6	34
Maine	13.4	8.0	7.8	12.3	5.8	12.9	44.8	93.7	83.6	81.3	77.8	25.1	20.6	2.6	15.2	10.2	16.7	23.7	72.9	13.3	19.0	4.5	23.8	8.4	28.0	93.2	7.7	1.5	5	2	1	1	4	3	1	1	3	3	1	1	1	3	1	1	4	1	2	1	2	1	8	3	4	6	3	5
Maryland	13.5	7.1	6.4	9.1	4.4	9.3	38.8	54.2	80.3	77.8	74.0	19.1	15.4	2.0	12.3	8.9	9.8	9.3	67.1	1.4	7.3	1.4	11.6	5.0	23.7	90.6	0.3	0.7	4	9	25	39	44	51	24	50	26	24	21	42	41	26	9	27	30	45	22	45	34	35	25	40	27	26	27	34
Massachusetts	13.3	7.1	6.5	9.5	4.6	10.1	39.6	76.6	82.6	80.2	75.7	20.4	16.5	2.4	12.3	9.8	19.7	9.1	62.5	5.6	9.3	2.0	31.9	5.7	28.2	91.1	3.6	0.6	7	9	19	30	33	48	15	26	7	7	8	25	25	9	9	3	2	47	44	6	19	16	2	28	3	21	5	38
Michigan	12.9	7.1	6.9	10.1	4.9	10.7	39.8	77.6	80.9	78.3	74.2	21.2	17.2	2.2	11.4	8.7	10.2	13.7	71.7	3.7	8.8	2.1	14.6	5.0	23.4	91.3	1.5	0.7	15	9	6	15	19	40	13	24	15	17	19	13	16	16	41	38	25	21	4	8	22	14	21	40	28	19	8	34
Minnesota	12.4	7.0	6.4	9.1	4.5	10.8	38.1	81.6	79.4	76.8	73.0	19.6	15.8	2.2	12.5	9.4	10.0	10.2	71.9	3.1	5.6	1.2	16.1	5.4	25.5	93.4	1.0	0.5	30	14	25	39	35	37	32	18	37	37	34	32	33	16	6	11	29	37	3	11	44	42	19	35	11	4	9	42
Mississippi	12.3	6.5	6.3	9.5	4.7	11.3	37.7	58.0	79.0	76.3	71.8	19.6	15.9	1.7	11.6	8.8	6.8	16.1	68.8	2.2	7.3	1.4	4.5	5.5	25.4	85.3	0.2	1.4	33	34	32	30	29	27	38	47	42	43	44	32	32	40	28	35	45	9	16	21	34	35	42	32	12	49	35	7
Missouri	12.3	7.0	6.5	9.7	5.0	11.5	38.7	81.3	80.1	77.5	73.5	20.7	16.9	2.1	11.6	8.5	12.3	13.0	67.1	2.7	9.1	1.7	13.8	5.6	24.1	90.6	0.2	1.1	33	14	19	24	14	19	26	20	30	29	30	22	20	23	28	44	14	23	22	15	20	23	22	30	23	26	35	16
Montana	11.4	7.0	7.3	11.3	5.4	12.3	40.1	87.8	80.9	78.5	74.6	22.9	18.7	2.0	11.9	8.9	13.6	15.3	68.5	3.2	11.6	3.0	13.6	8.6	23.2	94.0	0.8	1.5	47	14	4	4	7	6	10	8	15	16	16	7	7	26	18	27	9	15	17	10	7	7	23	2	33	1	12	5
Nebraska	11.5	6.3	6.3	8.9	4.5	11.0	36.6	85.3	78.0	75.3	71.1	19.4	15.7	2.2	11.5	8.6	11.9	9.2	66.2	2.0	8.0	1.4	20.1	6.2	24.5	91.6	0.3	0.8	44	44	32	44	35	34	46	11	48	48	49	35	37	16	36	40	15	46	30	24	29	35	11	21	19	17	27	27
Nevada	13.0	6.5	5.9	9.7	4.5	11.5	38.2	62.1	79.8	77.3	73.9	19.2	15.8	1.5	11.6	9.2	8.1	10.9	57.1	1.9	7.3	1.5	1.1	5.5	16.3	86.9	0.4	0.6	13	34	46	24	35	19	31	44	32	32	23	38	33	48	28	16	39	32	49	27	34	32	52	32	52	45	21	38
New Hampshire	14.0	8.2	7.4	10.9	5.0	12.2	43.0	92.0	83.4	81.0	76.8	22.3	18.1	2.2	13.2	9.7	20.6	15.6	71.2	12.0	16.9	4.1	19.8	6.6	24.7	93.3	8.7	1.2	1	1	3	8	14	7	2	4	5	5	4	8	10	16	3	5	1	11	7	2	5	4	13	14	15	5	1	13
New Jersey	13.9	7.2	6.4	9.2	4.8	10.7	40.0	65.5	80.6	78.0	74.4	19.9	16.2	2.3	11.6	8.9	13.3	9.8	64.0	1.1	4.8	1.0	18.1	4.6	24.1	90.3	0.2	0.4	2	6	25	36	22	40	11	41	19	20	17	30	31	11	28	27	10	39	40	51	49	47	15	47	23	29	35	48
New Mexico	11.5	6.5	6.5	10.4	5.0	11.1	38.1	70.0	79.7	76.9	72.9	21.2	17.4	2.0	11.2	8.7	6.1	16.0	68.0	1.5	6.6	1.4	4.4	6.5	25.7	86.5	0.3	0.8	44	34	19	11	14	33	32	33	34	35	36	13	14	26	44	38	47	10	18	40	39	35	43	16	10	47	27	27
New York	13.1	6.9	6.4	9.3	4.8	9.9	39.0	62.3	81.5	79.1	75.3	20.1	16.5	2.4	10.8	9.1	11.1	11.3	54.1	1.9	5.1	1.0	31.7	5.7	28.3	87.2	0.6	0.3	11	18	25	34	22	50	21	43	13	13	12	27	25	9	50	21	19	31	51	27	48	47	3	28	2	42	15	51
North Carolina	13.2	6.7	6.3	9.7	4.7	11.6	38.9	67.6	80.4	77.8	73.6	19.9	16.3	1.8	11.6	8.9	8.0	14.0	65.7	1.5	9.8	2.2	5.1	5.6	22.8	88.5	0.4	2.3	8	25	32	24	29	13	23	36	22	24	28	30	30	34	28	27	40	20	37	40	15	11	39	30	35	35	21	1
North Dakota	10.6	6.3	6.1	8.4	4.5	11.3	35.2	85.7	78.9	76.6	72.2	18.8	15.3	2.3	9.8	7.0	7.4	14.8	62.5	3.3	4.3	1.2	12.5	7.4	26.0	93.1	0.9	0.5	51	44	41	47	35	27	48	10	43	40	42	45	45	11	51	52	42	17	44	9	50	42	24	7	9	7	10	42
Ohio	12.7	7.1	6.7	9.9	4.9	11.3	39.5	80.5	80.4	77.8	73.7	20.9	17.0	2.2	11.8	8.5	12.7	9.6	66.3	1.9	8.6	1.8	20.0	4.8	24.2	90.8	0.2	0.9	24	9	12	18	19	27	17	21	22	24	27	18	19	16	21	44	13	41	28	27	24	21	12	44	22	25	35	25
Oklahoma	11.7	6.4	6.0	9.1	4.8	11.5	36.7	71.1	78.4	75.8	71.6	19.2	15.7	1.8	10.9	8.3	10.2	14.2	66.1	1.8	8.0	1.7	7.5	6.5	22.6	88.6	0.2	1.0	42	41	44	39	22	19	44	32	46	45	45	38	37	34	49	48	25	19	34	30	29	23	34	16	37	34	35	22
Oregon	12.3	6.3	6.7	10.7	4.8	11.6	39.5	82.6	81.6	79.2	75.6	21.6	17.6	2.1	12.0	9.4	11.0	8.2	62.8	2.8	11.4	2.8	11.2	7.1	23.4	91.1	0.6	1.2	33	44	12	10	22	13	17	16	12	12	9	11	12	23	16	11	20	50	43	13	8	8	26	9	28	21	15	13
Pennsylvania	12.9	7.2	6.9	10.3	5.3	11.0	40.9	79.4	81.7	79.3	75.3	22.3	18.3	2.6	11.5	8.6	15.5	10.6	69.0	1.5	7.2	1.4	25.9	5.0	26.2	91.0	0.2	1.1	15	6	6	13	9	34	9	22	11	11	12	8	9	3	36	40	6	35	15	40	37	35	5	40	8	23	35	16
Puerto Rico	13.1	6.6	6.6	11.2	6.8	13.3	42.4	60.0	83.8	81.2	77.1	24.3	20.5	2.5	11.6	8.6	null	22.7	67.8	null	null	null	2.0	10.0	23.1	null	null	null	11	32	15	7	1	1	5	46	1	4	3	2	2	6	28	40		2	20				49	1	34			
Rhode Island	13.2	7.2	6.9	9.8	5.0	11.6	40.0	79.0	83.0	80.6	75.6	21.2	17.3	2.5	13.2	9.4	17.2	11.6	61.6	8.4	10.6	1.7	30.3	4.9	27.4	89.2	5.0	0.5	8	6	6	21	14	13	11	23	6	6	9	13	15	6	3	11	3	29	47	5	11	23	4	43	6	33	4	42
South Carolina	12.7	6.7	6.6	10.8	5.2	11.8	39.7	66.5	80.8	78.2	74.1	21.6	17.7	1.7	11.2	9.1	8.6	15.4	70.1	1.6	9.0	2.2	3.9	5.5	22.1	88.3	0.4	2.2	24	25	15	9	10	10	14	39	18	18	20	11	11	40	44	21	36	13	12	36	21	11	45	32	42	37	21	2
South Dakota	11.0	6.7	6.6	9.7	4.7	11.5	37.2	83.6	78.1	75.5	71.4	20.7	16.7	2.3	11.5	8.6	10.1	12.3	68.0	2.2	6.2	1.2	17.4	7.9	24.0	92.2	0.4	0.6	49	25	15	24	29	19	39	14	47	47	47	22	24	11	36	40	27	25	18	21	40	42	16	5	26	13	21	38
Tennessee	13.0	6.7	6.4	9.8	4.8	11.6	38.8	76.7	80.3	77.7	73.9	20.1	16.4	1.8	12.2	9.2	9.3	11.9	66.5	1.5	9.4	2.1	5.8	6.8	22.6	88.2	0.2	2.1	13	25	25	21	22	13	24	25	26	27	23	27	27	34	12	16	33	27	27	40	17	14	38	11	37	38	35	3
Texas	12.4	5.9	5.3	7.6	3.6	11.2	34.8	69.2	77.1	74.2	70.0	15.6	12.5	1.4	11.8	9.2	6.1	10.9	62.3	1.8	6.2	1.3	3.5	6.8	21.8	84.4	0.2	0.9	30	50	50	50	49	32	49	35	51	51	51	49	49	49	21	16	47	32	46	30	40	40	46	11	44	50	35	25
Utah	10.3	4.9	4.6	6.7	3.3	11.5	31.1	85.1	73.8	70.6	66.1	13.7	11.1	1.1	12.2	9.7	5.9	9.6	70.5	1.8	24.1	4.2	6.8	4.8	22.4	93.0	0.2	0.8	52	52	52	52	51	19	52	12	52	52	52	52	52	51	12	5	49	41	11	30	1	3	36	44	39	9	35	27
Vermont	12.9	7.6	7.8	11.8	5.4	11.4	42.8	93.6	83.8	81.5	76.4	23.9	19.4	2.2	13.6	9.5	16.5	22.1	71.3	10.5	17.0	4.3	25.5	8.2	28.7	93.5	7.9	1.2	15	3	1	2	7	25	3	2	1	2	6	5	5	16	2	8	5	3	6	4	4	2	6	4	1	3	2	13
Virginia	13.2	6.8	6.2	9.2	4.5	10.1	38.4	66.3	80.5	78.0	73.9	18.9	15.4	1.7	12.1	9.1	9.0	10.0	66.7	1.7	9.8	2.0	7.3	4.8	22.2	90.3	0.4	1.4	8	21	39	36	35	48	27	40	21	20	23	44	41	40	14	21	35	38	25	34	15	16	35	44	41	29	21	7
Washington	12.4	6.4	6.3	9.4	4.2	11.6	37.8	73.5	80.4	78.0	74.4	19.2	15.4	1.8	12.7	9.8	10.1	7.8	63.3	2.8	10.3	2.7	10.0	5.8	21.6	91.7	0.7	1.1	30	41	32	33	45	13	36	30	22	20	17	38	41	34	5	3	27	51	42	13	13	9	28	27	45	16	13	16
West Virginia	12.9	7.0	7.3	11.8	5.9	12.4	42.7	92.5	82.2	79.8	76.0	24.3	19.9	2.2	11.1	8.9	12.9	17.8	73.7	1.3	11.1	2.0	15.8	4.2	27.9	87.6	0.1	1.8	15	14	4	2	3	5	4	3	9	9	7	2	4	16	47	27	12	5	1	49	9	16	20	52	5	41	51	4
Wisconsin	12.7	7.4	6.7	9.9	4.8	11.0	39.6	84.3	80.6	78.1	74.0	20.8	16.9	2.3	11.4	8.3	10.6	12.2	67.1	2.9	5.8	1.0	19.0	5.1	23.4	92.6	0.9	0.4	24	5	12	18	22	34	15	13	19	19	21	20	20	11	41	48	23	26	22	12	42	47	14	39	28	10	10	48
Wyoming	11.4	6.8	6.8	10.1	4.7	10.8	38.0	90.3	79.4	76.8	72.8	20.4	16.4	1.7	12.3	8.8	11.5	16.3	71.0	2.6	12.7	3.1	11.2	6.6	25.1	93.6	0.5	1.4	47	21	10	15	29	37	34	5	37	37	37	25	27	40	9	35	16	8	9	16	6	6	26	14	13	2	17	7
