name	in_finance	race_white	age_85_over	grapi_20_24	rent_500_999	grapi_15_less	ancestry_czech	ancestry_dutch	ancestry_danish	ancestry_german	in_manufacturing	job_prod_transpo	value_50000_99999	built_1939_earlier	value_100000_149000	edu_associate_degree	rank_in_finance	rank_race_white	rank_age_85_over	rank_grapi_20_24	rank_rent_500_999	rank_grapi_15_less	rank_ancestry_czech	rank_ancestry_dutch	rank_ancestry_danish	rank_ancestry_german	rank_in_manufacturing	rank_job_prod_transpo	rank_value_50000_99999	rank_built_1939_earlier	rank_value_100000_149000	rank_edu_associate_degree
Georgia	6.4	57.2	1.4	12.9	37.9	13.5	0.1	0.6	0.1	6.4	10.5	14.7	12.9	4.2	15.1	8.0	22	48	49	29	29	32	44	44	40	46	21	12	22	44	23	38
Hawaii	6.6	24.1	2.8	11.8	11.8	11.1	0.1	0.5	0.2	5.8	2.9	9.3	1.2	3.5	1.5	10.9	19	52	1	47	52	49	44	47	28	48	51	49	50	46	51	7
Idaho	5.7	88.4	1.6	13.6	51.3	15.0	0.3	1.8	1.9	16.6	9.6	13.1	6.3	8.3	11.9	9.8	32	7	45	15	18	20	22	6	3	18	27	23	33	31	29	17
Illinois	7.3	69.8	2.1	13.3	37.2	14.6	0.8	1.1	0.3	17.1	11.7	14.7	13.4	21.0	14.4	8.1	9	34	23	24	30	22	7	23	22	17	16	12	21	10	26	36
Indiana	5.2	82.3	2.0	12.9	58.6	15.4	0.2	1.6	0.2	20.6	18.7	19.5	20.8	16.8	21.7	8.9	44	17	26	29	3	16	29	12	28	13	1	1	6	17	2	21
Iowa	7.8	89.1	2.5	14.1	58.1	17.5	1.6	3.7	1.6	32.3	14.7	17.0	19.6	25.2	20.4	11.8	6	6	6	5	5	6	3	3	5	5	5	7	9	7	4	2
Kansas	6.3	83.0	2.3	14.1	53.6	16.0	0.7	1.5	0.5	24.1	12.5	14.5	19.1	16.2	16.9	8.8	24	15	11	5	15	13	8	14	17	7	14	15	11	18	15	24
Kentucky	5.7	86.2	1.8	12.6	58.0	18.0	0.1	0.9	0.1	13.1	14.3	18.4	19.3	9.6	20.0	8.6	32	9	34	39	6	4	44	28	40	22	6	2	10	29	7	30
Louisiana	5.1	61.2	1.7	10.8	51.2	13.8	0.1	0.4	0.1	6.7	7.6	13.1	14.7	6.7	16.0	6.5	45	45	40	52	19	30	44	49	40	45	38	23	17	37	18	50
Maine	6.3	93.7	2.6	13.4	45.2	12.4	0.2	0.9	0.4	7.8	8.7	12.0	11.6	23.8	14.7	10.2	24	1	3	22	25	39	29	28	18	42	33	31	26	8	24	10
Maryland	6.1	54.2	2.0	13.8	15.4	11.8	0.3	0.7	0.2	12.1	4.5	8.9	3.4	11.6	5.8	6.8	28	50	26	12	48	46	22	39	28	25	47	51	41	25	42	48
Massachusetts	7.3	76.6	2.4	12.8	19.3	13.4	0.2	0.5	0.2	5.6	8.8	9.2	1.2	31.9	3.1	7.7	9	26	9	35	47	33	29	47	28	49	32	50	50	2	49	43
Michigan	5.6	77.6	2.2	12.6	50.8	14.2	0.4	4.3	0.4	18.5	18.6	16.6	16.4	14.6	17.5	9.6	36	24	16	39	20	28	14	1	18	14	2	10	13	21	14	18
Minnesota	7.3	81.6	2.2	14.0	37.0	14.4	1.5	1.6	1.2	31.3	13.4	13.6	7.0	16.1	10.9	11.6	9	18	16	7	31	24	4	12	7	6	8	22	31	19	31	3
Mississippi	4.5	58.0	1.7	12.7	56.7	14.9	0.1	0.4	0.1	4.8	13.2	17.9	24.3	4.5	17.6	10.2	49	47	40	38	10	21	44	49	40	51	11	3	2	42	13	10
Missouri	7.1	81.3	2.1	13.3	55.5	15.6	0.4	1.3	0.3	22.3	11.4	14.7	16.9	13.8	18.6	8.1	13	20	23	24	12	14	14	18	22	12	18	12	12	22	9	36
Montana	5.4	87.8	2.0	12.9	51.5	17.4	0.7	1.8	1.1	24.1	5.0	11.0	7.6	13.6	9.2	9.4	41	8	26	29	17	7	8	6	8	7	45	40	30	23	35	19
Nebraska	7.6	85.3	2.2	13.8	55.0	18.0	4.2	1.7	2.0	32.4	10.2	14.2	15.4	20.1	20.3	10.7	8	11	16	12	13	4	1	9	2	4	24	19	15	11	5	8
Nevada	5.6	62.1	1.5	13.2	31.8	12.0	0.3	0.9	0.6	10.0	4.8	12.0	3.8	1.1	6.2	8.4	36	44	48	28	35	45	22	28	15	30	46	31	39	52	41	33
New Hampshire	6.3	92.0	2.2	14.5	28.0	12.1	0.2	0.9	0.3	8.6	12.6	12.0	4.6	19.8	7.2	10.4	24	4	16	2	38	43	29	28	22	38	13	31	38	13	39	9
New Jersey	8.5	65.5	2.3	12.8	14.6	12.2	0.2	0.9	0.2	9.8	8.1	11.5	2.8	18.1	5.1	6.6	4	41	11	35	49	41	29	28	28	31	35	38	44	15	45	49
New Mexico	4.8	70.0	2.0	12.0	50.8	15.1	0.2	0.7	0.3	8.0	4.0	10.0	12.6	4.4	15.6	8.8	47	33	26	46	20	18	29	39	22	41	49	46	24	43	20	24
New York	8.1	62.3	2.4	11.6	22.7	14.3	0.2	1.0	0.2	9.3	6.0	9.8	9.3	31.7	10.4	8.9	5	43	9	50	44	26	29	26	28	33	43	48	29	3	32	21
North Carolina	6.7	67.6	1.8	13.5	47.0	14.4	0.2	0.8	0.2	9.6	12.1	14.4	14.2	5.1	16.6	9.9	17	36	34	19	24	24	29	34	28	32	15	16	19	39	16	15
North Dakota	5.7	85.7	2.3	14.3	57.0	20.9	1.4	1.1	0.9	36.9	6.7	12.8	11.7	12.5	12.2	14.1	32	10	11	3	9	1	6	23	10	2	42	26	25	24	27	1
Ohio	6.5	80.5	2.2	13.3	57.2	16.4	0.5	1.2	0.1	23.4	15.1	16.9	20.0	20.0	21.2	8.8	21	21	16	24	8	12	13	20	40	9	4	8	7	12	3	24
Oklahoma	5.5	71.1	1.8	13.4	58.5	17.2	0.4	1.2	0.2	12.3	9.6	14.3	21.2	7.5	19.9	8.2	39	32	34	22	4	9	14	20	28	24	27	17	5	34	8	34
Oregon	5.5	82.6	2.1	13.6	29.1	11.4	0.4	1.8	0.9	17.3	11.2	12.4	3.1	11.2	4.5	9.0	39	16	23	15	37	47	14	6	10	16	19	29	42	26	47	20
Pennsylvania	6.6	79.4	2.6	12.9	42.5	15.2	0.3	1.3	0.1	22.8	11.6	14.2	14.2	25.9	15.6	8.6	19	22	3	29	26	17	22	18	40	10	17	19	19	5	20	30
Puerto Rico	5.3	60.0	2.5	11.8	39.9	12.4	null	null	null	null	8.9	11.5	33.8	2.0	29.1	null	42	46	6	47	27	39					31	38	1	49	1	
Rhode Island	6.7	79.0	2.5	12.8	31.2	13.3	0.1	0.4	0.1	5.0	10.6	11.9	1.5	30.3	5.2	8.2	17	23	6	35	36	34	44	49	40	50	20	34	49	4	44	34
South Carolina	5.7	66.5	1.7	12.6	48.3	13.7	0.2	0.7	0.1	9.3	13.4	15.7	15.4	3.9	16.0	9.9	32	39	40	39	23	31	29	39	40	33	8	11	15	45	18	15
South Dakota	7.3	83.6	2.3	14.2	57.8	19.8	2.1	4.3	1.8	35.7	10.0	13.8	12.9	17.4	15.3	11.6	9	14	11	4	7	2	2	1	4	3	25	21	22	16	22	3
Tennessee	5.9	76.7	1.8	12.9	48.6	14.3	0.1	0.9	0.1	9.0	12.9	16.7	15.5	5.8	16.6	7.5	31	25	34	29	22	26	44	28	40	37	12	9	14	38	16	45
Texas	6.8	69.2	1.4	13.6	36.6	13.0	0.7	0.6	0.2	8.5	8.4	12.8	14.7	3.5	14.7	7.4	16	35	49	15	32	37	8	44	28	39	34	26	17	46	24	47
Utah	7.1	85.1	1.1	13.9	35.8	14.2	0.2	1.9	4.6	10.4	10.0	12.9	2.0	6.8	5.5	10.0	13	12	51	9	33	28	29	5	1	27	25	25	47	36	43	13
Vermont	4.8	93.6	2.2	12.9	38.8	11.2	0.3	1.2	0.4	10.2	10.5	10.9	6.3	25.5	12.0	8.8	47	2	16	29	28	48	22	20	18	29	21	41	33	6	28	24
Virginia	6.3	66.3	1.7	13.9	26.0	13.1	0.3	0.8	0.2	10.3	7.1	10.5	6.3	7.3	9.1	7.9	24	40	40	9	41	35	22	34	28	28	39	43	33	35	36	41
Washington	5.3	73.5	1.8	13.9	22.3	12.1	0.4	1.7	0.9	15.7	9.5	11.9	2.7	10.0	4.6	10.1	42	30	34	9	45	43	14	9	10	19	29	34	46	28	46	12
West Virginia	4.2	92.5	2.2	11.6	59.1	17.0	0.2	1.4	0.1	15.6	8.0	14.3	24.3	15.8	18.1	7.6	51	3	16	50	2	10	29	16	40	20	36	17	2	20	11	44
Wisconsin	6.1	84.3	2.3	13.5	56.0	17.0	1.5	2.3	1.0	37.8	18.0	17.8	11.4	19.0	18.5	11.0	28	13	11	19	11	10	4	4	9	1	3	4	27	14	10	6
Wyoming	4.5	90.3	1.7	13.6	51.8	19.6	0.6	1.7	1.5	22.7	4.3	12.7	5.3	11.2	9.9	11.4	49	5	40	15	16	3	11	9	6	11	48	28	36	26	33	5
