name	age_5_9	age_15_19	age_20_24	grapi_15_19	grapi_20_24	rooms_median	ancestry_german	built_1950_1959	value_50000_less	value_50000_99999	rank_age_5_9	rank_age_15_19	rank_age_20_24	rank_grapi_15_19	rank_grapi_20_24	rank_rooms_median	rank_ancestry_german	rank_built_1950_1959	rank_value_50000_less	rank_value_50000_99999
Ohio	6.0	6.5	6.5	14.5	13.3	5.9	23.4	14.0	8.2	20.0	27	22	39	9	24	9	9	5	19	7
Oklahoma	6.7	6.7	7.0	14.5	13.4	5.5	12.3	10.1	11.8	21.2	8	12	12	9	22	32	24	17	5	5
Oregon	5.8	5.9	6.4	12.4	13.6	5.4	17.3	7.9	5.0	3.1	39	48	42	43	15	37	16	35	33	42
Pennsylvania	5.6	6.3	6.3	13.8	12.9	6.0	22.8	13.5	6.7	14.2	41	34	45	19	29	5	10	6	28	19
Puerto Rico	5.0	6.5	6.9	11.2	11.8	4.8	null	8.6	8.5	33.8	51	22	14	50	47	49		29	15	1
Rhode Island	5.2	6.8	7.2	13.4	12.8	5.3	5.0	12.3	2.2	1.5	47	8	6	29	35	42	50	10	48	49
South Carolina	6.0	6.5	6.5	13.2	12.6	5.7	9.3	6.5	10.7	15.4	27	22	39	34	39	19	33	46	11	15
South Dakota	7.0	6.6	6.7	15.6	14.2	5.8	35.7	8.7	11.2	12.9	4	16	25	2	4	13	3	27	8	22
Tennessee	6.0	6.3	6.6	13.5	12.9	5.7	9.0	8.7	7.4	15.5	27	34	34	26	29	19	37	27	24	14
Texas	7.0	7.1	7.0	13.6	13.6	5.4	8.5	7.7	8.3	14.7	4	2	12	24	15	37	39	36	18	17
Utah	8.3	7.9	8.3	15.2	13.9	6.4	10.4	6.8	3.2	2.0	1	1	1	4	9	1	27	44	44	47
Vermont	5.1	6.8	7.3	12.8	12.9	5.6	10.2	6.0	4.2	6.3	48	8	4	40	29	23	29	48	38	33
Virginia	6.0	6.5	6.7	13.9	13.9	6.0	10.3	8.6	4.2	6.3	27	22	25	16	9	5	28	29	38	33
Washington	6.2	6.0	6.4	13.7	13.9	5.5	15.7	7.3	3.4	2.7	19	45	42	20	9	32	19	39	42	46
West Virginia	5.5	6.0	6.3	12.7	11.6	5.8	15.6	10.6	16.2	24.3	43	45	45	41	50	13	20	16	1	2
Wisconsin	6.0	6.5	6.8	14.9	13.5	5.6	37.8	10.7	4.4	11.4	27	22	17	7	19	23	1	15	35	27
Wyoming	6.7	6.3	6.7	13.6	13.6	5.8	22.7	8.6	8.4	5.3	8	34	25	24	15	13	11	29	16	36
