name	rooms_4	rooms_5	age_65_74	age_75_84	in_retail	job_sales	class_govt	median_age	race_mixed	unemployed	age_16_over	age_18_over	age_21_over	age_62_over	age_65_over	age_85_over	job_service	grapi_35_more	race_hispanic	rent_500_less	housing_vacant	built_1960_1969	built_1970_1979	built_1980_1989	in_public_admin	units_1_attached	income_10000_less	value_50000_99999	class_selfemployed	income_10000_14999	income_15000_24999	income_25000_34999	value_100000_149000	rank_rooms_4	rank_rooms_5	rank_age_65_74	rank_age_75_84	rank_in_retail	rank_job_sales	rank_class_govt	rank_median_age	rank_race_mixed	rank_unemployed	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_age_62_over	rank_age_65_over	rank_age_85_over	rank_job_service	rank_grapi_35_more	rank_race_hispanic	rank_rent_500_less	rank_housing_vacant	rank_built_1960_1969	rank_built_1970_1979	rank_built_1980_1989	rank_in_public_admin	rank_units_1_attached	rank_income_10000_less	rank_value_50000_99999	rank_class_selfemployed	rank_income_10000_14999	rank_income_15000_24999	rank_income_25000_34999	rank_value_100000_149000
Georgia	13.8	19.3	8.5	3.9	11.3	22.0	14.3	36.9	3.7	3.5	78.9	76.2	71.9	17.2	13.9	1.4	16.0	40.1	9.6	8.4	11.5	8.5	13.5	16.5	4.8	4.1	6.6	12.9	5.4	4.2	9.0	9.3	15.1	42	26	46	47	27	7	26	41	33	16	43	44	43	48	48	49	45	15	26	37	30	41	42	7	21	31	13	22	35	20	21	22	23
Hawaii	20.4	19.5	10.4	5.1	11.3	22.9	20.4	39.4	24.3	2.8	80.9	78.7	75.5	22.1	18.4	2.8	23.0	45.5	10.7	6.3	14.4	14.4	23.2	15.2	8.8	9.0	4.9	1.2	6.9	2.7	5.5	6.3	1.5	3	23	11	11	27	5	7	19	1	38	15	15	11	10	8	1	2	2	23	44	18	2	1	12	4	8	39	50	10	50	51	50	51
Idaho	14.4	19.0	9.6	4.6	11.9	21.8	14.6	36.6	4.3	2.6	77.5	74.7	70.6	19.4	15.8	1.6	16.9	36.6	12.7	11.2	11.9	6.6	17.1	10.4	4.9	3.3	5.0	6.3	7.3	4.0	9.2	9.7	11.9	38	28	29	33	9	12	23	46	22	41	50	50	50	35	33	45	25	33	17	27	27	51	15	41	18	41	36	33	8	27	19	18	29
Illinois	15.5	19.3	9.0	4.5	10.5	21.5	12.2	38.3	4.2	3.9	80.2	77.5	73.6	19.2	15.7	2.1	16.8	38.2	17.2	10.1	9.1	11.6	14.4	9.1	3.7	5.8	6.1	13.4	4.6	3.7	8.1	8.1	14.4	27	26	42	35	43	20	45	28	23	7	29	29	28	38	37	23	28	25	11	30	47	11	36	48	46	15	19	21	47	37	32	36	26
Indiana	13.7	20.3	9.2	4.5	10.8	20.6	10.8	37.8	3.3	3.0	79.2	76.5	72.3	19.4	15.7	2.0	16.1	37.2	7.1	11.3	10.4	11.0	13.8	9.9	3.5	3.7	5.9	20.8	4.5	4.1	9.5	9.9	21.7	45	17	36	35	37	39	50	36	40	34	40	41	41	35	37	26	43	32	33	26	36	18	40	42	49	37	22	6	49	22	16	16	2
Iowa	14.7	17.3	9.5	5.0	11.5	20.4	13.5	38.3	3.0	2.6	79.5	76.9	72.5	20.9	17.1	2.5	15.9	34.7	6.2	14.2	9.5	10.1	14.2	7.4	3.1	4.1	5.1	19.6	6.4	4.0	8.6	9.3	20.4	37	38	30	14	19	40	35	28	42	41	36	35	38	18	18	6	47	46	35	11	43	23	37	51	52	31	35	9	18	27	25	22	4
Kansas	13.6	17.5	9.0	4.5	10.5	20.4	15.8	36.9	4.8	2.7	78.5	75.8	71.4	19.5	15.8	2.3	16.3	34.2	12.1	11.4	10.8	10.2	14.7	11.6	4.5	4.7	5.3	19.1	6.1	4.0	8.7	9.6	16.9	46	36	42	35	43	40	14	41	15	40	45	45	47	34	33	11	40	48	18	24	34	22	33	35	28	22	30	11	23	27	23	19	15
Kentucky	15.9	22.0	9.8	4.8	11.7	21.2	14.3	39.0	2.8	3.2	80.0	77.4	73.3	20.1	16.4	1.8	16.2	35.0	3.8	16.4	12.4	10.7	16.3	12.5	4.3	2.6	8.1	19.3	5.2	5.5	10.4	10.4	20.0	22	11	21	22	11	24	26	21	46	28	31	31	32	27	27	34	41	42	48	6	24	20	18	29	33	46	7	10	38	7	9	7	7
Louisiana	17.0	24.2	9.3	4.5	11.4	21.7	15.2	37.2	2.7	3.9	79.1	76.5	72.5	19.1	15.4	1.7	18.8	45.2	5.2	13.4	15.6	12.5	17.9	14.6	5.3	2.7	8.9	14.7	6.2	5.5	12.2	10.2	16.0	11	4	34	35	25	15	19	39	48	7	41	41	38	42	41	40	8	3	39	12	11	6	9	20	14	44	3	17	21	7	4	10	18
Maine	16.5	20.0	12.3	5.8	12.9	21.0	13.4	44.8	2.8	2.5	83.6	81.3	77.8	25.1	20.6	2.6	17.4	35.5	1.7	16.7	23.7	6.9	13.8	14.3	4.4	2.3	5.3	11.6	8.4	4.9	9.7	9.3	14.7	16	20	1	4	3	28	36	1	46	45	3	3	1	1	1	3	17	41	51	5	1	50	40	22	30	47	30	26	3	9	12	22	24
Maryland	12.8	13.6	9.1	4.4	9.3	19.5	21.7	38.8	4.5	3.5	80.3	77.8	74.0	19.1	15.4	2.0	16.6	40.3	10.3	7.2	9.3	11.5	14.1	15.1	10.9	21.3	4.6	3.4	5.0	2.6	5.6	6.1	5.8	50	51	39	44	51	47	4	24	21	16	26	24	21	42	41	26	34	12	24	40	45	12	39	14	3	2	44	41	40	52	50	51	42
Massachusetts	15.7	17.7	9.5	4.6	10.1	19.4	12.3	39.6	4.8	3.4	82.6	80.2	75.7	20.4	16.5	2.4	16.8	39.1	12.0	13.0	9.1	10.1	11.5	10.8	3.8	5.4	5.0	1.2	5.7	4.1	6.8	6.4	3.1	26	35	30	33	48	49	42	15	15	20	7	7	8	25	25	9	28	20	19	14	47	23	49	40	45	19	36	50	28	22	41	49	49
Michigan	13.8	20.0	10.1	4.9	10.7	20.7	10.7	39.8	3.8	3.7	80.9	78.3	74.2	21.2	17.2	2.2	17.3	39.8	5.2	11.4	13.7	11.8	15.4	9.9	3.5	4.6	6.4	16.4	5.0	4.1	9.2	9.6	17.5	42	20	15	19	40	37	51	13	31	11	15	17	19	13	16	16	19	17	39	24	21	9	26	42	49	25	15	13	40	22	19	19	14
Minnesota	13.5	14.4	9.1	4.5	10.8	20.4	12.2	38.1	3.9	2.6	79.4	76.8	73.0	19.6	15.8	2.2	15.8	36.0	5.5	12.3	10.2	9.4	14.8	12.6	3.6	7.4	4.1	7.0	5.4	3.4	7.0	7.5	10.9	47	49	39	35	37	40	45	32	27	41	37	37	34	32	33	16	49	35	38	16	37	31	32	27	48	9	49	31	35	42	38	39	31
Mississippi	14.8	24.2	9.5	4.7	11.3	20.8	18.5	37.7	1.7	4.0	79.0	76.3	71.8	19.6	15.9	1.7	17.8	40.2	3.2	17.3	16.1	11.5	18.2	14.3	5.3	1.2	9.4	24.3	5.5	6.7	12.3	11.0	17.6	36	4	30	29	27	35	10	38	52	5	42	43	44	32	32	40	13	14	49	4	9	12	7	22	14	52	2	2	32	2	2	3	13
Missouri	15.1	20.8	9.7	5.0	11.5	21.9	12.3	38.7	3.5	2.8	80.1	77.5	73.5	20.7	16.9	2.1	16.8	36.0	4.3	12.2	13.0	11.4	15.3	12.0	4.3	3.4	6.1	16.9	5.6	4.5	9.6	10.0	18.6	33	15	24	14	19	10	42	26	36	38	30	29	30	22	20	23	28	35	42	18	23	14	28	33	33	40	19	12	30	18	14	13	9
Montana	16.3	18.5	11.3	5.4	12.3	20.9	16.4	40.1	3.8	2.6	80.9	78.5	74.6	22.9	18.7	2.0	18.8	35.7	3.9	14.4	15.3	8.4	17.1	11.2	5.6	3.9	5.7	7.6	8.6	4.9	9.6	10.5	9.2	17	30	4	7	6	30	12	10	31	41	15	16	16	7	7	26	8	38	45	10	15	42	15	37	11	35	26	30	2	9	14	5	35
Nebraska	13.8	15.6	8.9	4.5	11.0	21.2	14.1	36.6	3.9	2.3	78.0	75.3	71.1	19.4	15.7	2.2	15.9	32.9	11.2	11.6	9.2	11.1	15.8	9.4	4.2	4.1	5.0	15.4	6.2	3.8	8.2	9.2	20.3	42	45	44	35	34	24	28	46	27	50	48	48	49	35	37	16	47	49	20	22	46	17	22	47	36	31	36	15	21	35	31	25	5
Nevada	17.7	20.5	9.7	4.5	11.5	22.9	11.9	38.2	7.5	4.1	79.8	77.3	73.9	19.2	15.8	1.5	25.1	40.8	28.9	3.7	10.9	5.8	12.9	15.1	4.2	4.7	5.9	3.8	5.5	3.5	8.5	9.1	6.2	7	16	24	35	19	5	48	31	7	4	32	32	23	38	33	48	1	11	6	52	32	52	45	14	36	22	22	39	32	40	29	26	41
New Hampshire	16.3	17.9	10.9	5.0	12.2	21.3	13.1	43.0	2.9	2.5	83.4	81.0	76.8	22.3	18.1	2.2	16.0	36.6	3.9	8.6	15.6	8.7	14.9	19.6	4.1	5.5	3.7	4.6	6.6	3.0	6.7	7.5	7.2	17	34	8	14	7	22	39	2	44	45	5	5	4	8	10	16	45	33	45	36	11	38	30	3	39	18	51	38	14	48	44	39	39
New Jersey	15.2	16.3	9.2	4.8	10.7	21.7	13.7	40.0	4.8	3.8	80.6	78.0	74.4	19.9	16.2	2.3	15.7	41.7	20.4	7.6	9.8	13.3	12.5	11.8	4.4	9.7	4.7	2.8	4.6	3.1	6.7	6.6	5.1	30	41	36	22	40	15	33	11	15	10	19	20	17	30	31	11	50	8	9	39	39	4	46	34	30	7	42	44	47	45	44	48	45
New Mexico	17.3	24.1	10.4	5.0	11.1	21.8	22.5	38.1	8.1	3.7	79.7	76.9	72.9	21.2	17.4	2.0	19.7	39.7	49.2	13.1	16.0	9.9	17.5	17.0	7.6	3.5	8.4	12.6	6.5	5.7	11.2	10.3	15.6	8	6	11	14	33	12	3	32	5	11	34	35	36	13	14	26	4	19	2	13	10	29	12	5	7	39	5	24	16	4	6	8	20
New York	18.4	16.2	9.3	4.8	9.9	21.0	15.8	39.0	4.7	3.6	81.5	79.1	75.3	20.1	16.5	2.4	19.6	42.4	19.1	10.1	11.3	12.5	9.9	7.6	4.8	5.3	6.4	9.3	5.7	4.6	8.1	7.6	10.4	6	43	34	22	50	28	14	21	20	13	13	13	12	27	25	9	5	6	10	30	31	6	51	50	21	20	15	29	28	17	32	38	32
North Carolina	16.6	22.3	9.7	4.7	11.6	20.9	13.9	38.9	3.6	3.3	80.4	77.8	73.6	19.9	16.3	1.8	16.8	37.9	9.5	10.0	14.0	8.6	13.4	15.2	4.1	4.3	6.2	14.2	5.6	4.8	9.7	10.0	16.6	15	8	24	29	13	30	29	23	34	24	22	24	28	30	30	34	28	27	27	33	20	40	44	12	39	28	17	19	30	14	12	13	16
North Dakota	16.9	15.5	8.4	4.5	11.3	20.0	16.1	35.2	3.1	2.1	78.9	76.6	72.2	18.8	15.3	2.3	17.1	31.6	4.0	12.2	14.8	8.7	17.7	11.1	4.7	5.8	5.6	11.7	7.4	3.9	8.0	8.4	12.2	13	46	47	35	27	45	13	48	41	52	43	40	42	45	45	11	23	51	44	18	17	38	11	38	23	15	27	25	7	31	37	35	27
Ohio	13.3	18.8	9.9	4.9	11.3	21.1	12.2	39.5	3.6	3.3	80.4	77.8	73.7	20.9	17.0	2.2	16.9	35.6	3.9	12.8	9.6	12.0	14.2	9.0	3.9	4.6	6.6	20.0	4.8	4.4	9.5	9.6	21.2	49	29	18	19	27	27	45	17	34	24	22	24	27	18	19	16	25	40	45	15	41	8	37	49	44	25	13	7	44	19	16	19	3
Oklahoma	15.3	24.6	9.1	4.8	11.5	21.9	17.0	36.7	8.7	3.1	78.4	75.8	71.6	19.2	15.7	1.8	17.3	35.7	10.9	12.3	14.2	11.3	18.5	14.6	6.2	2.0	6.7	21.2	6.5	4.7	10.7	10.3	19.9	29	2	39	22	19	10	11	44	4	31	46	45	45	38	37	34	19	38	22	16	19	15	6	20	9	49	11	5	16	16	8	8	8
Oregon	17.0	19.4	10.7	4.8	11.6	20.7	13.8	39.5	6.2	3.4	81.6	79.2	75.6	21.6	17.6	2.1	17.6	41.2	13.2	6.5	8.2	9.1	18.6	11.0	4.6	4.7	5.4	3.1	7.1	3.8	8.1	8.7	4.5	11	24	10	22	13	37	31	17	11	20	12	12	9	11	12	23	15	9	15	42	50	33	5	39	25	22	29	42	9	35	32	34	47
Pennsylvania	12.1	15.7	10.3	5.3	11.0	20.8	10.7	40.9	3.4	3.4	81.7	79.3	75.3	22.3	18.3	2.6	17.0	38.1	7.6	11.5	10.6	10.1	12.5	9.6	4.0	18.6	5.8	14.2	5.0	4.0	8.8	9.0	15.6	51	44	13	9	34	35	51	9	37	20	11	11	12	8	9	3	24	26	30	23	35	23	46	45	41	3	25	19	40	27	22	27	20
Puerto Rico	26.2	37.4	11.2	6.8	13.3	25.9	21.0	42.4	9.7	6.7	83.8	81.2	77.1	24.3	20.5	2.5	20.6	44.4	98.7	52.2	22.7	17.4	22.8	16.9	8.7	11.5	26.4	33.8	10.0	11.7	18.3	12.4	29.1	1	1	7	1	1	1	5	5	2	1	1	4	3	2	2	6	3	5	1	1	2	1	3	6	6	5	1	1	1	1	1	1	1
Rhode Island	17.1	20.2	9.8	5.0	11.6	21.7	12.9	40.0	4.9	3.6	83.0	80.6	75.6	21.2	17.3	2.5	18.4	37.9	15.9	16.1	11.6	11.7	12.3	11.3	4.0	3.6	5.6	1.5	4.9	4.9	8.1	7.8	5.2	10	19	21	14	13	15	40	11	14	13	6	6	9	13	15	6	11	27	13	7	29	10	48	36	41	38	27	49	43	9	32	37	44
South Carolina	15.2	22.7	10.8	5.2	11.8	22.0	15.0	39.7	3.0	3.3	80.8	78.2	74.1	21.6	17.7	1.7	17.5	40.3	5.8	10.3	15.4	8.8	14.5	15.7	4.5	3.2	7.4	15.4	5.5	4.8	9.9	10.2	16.0	30	7	9	10	10	7	22	14	42	24	18	18	20	11	11	40	16	12	36	29	13	35	34	10	28	43	9	15	32	14	11	10	18
South Dakota	15.8	16.3	9.7	4.7	11.5	21.3	15.5	37.2	3.4	2.4	78.1	75.5	71.4	20.7	16.7	2.3	16.8	30.3	4.1	18.4	12.3	8.3	16.3	9.6	4.9	3.8	5.3	12.9	7.9	4.1	8.7	10.0	15.3	24	41	24	29	19	22	18	39	37	49	47	47	47	22	24	11	28	52	43	3	25	43	18	45	18	36	30	22	5	22	23	13	22
Tennessee	15.5	21.1	9.8	4.8	11.6	21.8	13.3	38.8	2.9	3.3	80.3	77.7	73.9	20.1	16.4	1.8	16.5	37.9	5.6	11.8	11.9	10.0	15.1	13.9	4.2	3.3	6.7	15.5	6.8	4.9	10.0	10.2	16.6	27	13	21	22	13	12	37	24	44	24	26	27	23	27	27	34	36	27	37	21	27	27	29	25	36	41	11	14	11	9	10	10	16
Texas	16.2	20.3	7.6	3.6	11.2	22.0	13.3	34.8	7.0	3.4	77.1	74.2	70.0	15.6	12.5	1.4	16.9	38.8	39.4	6.2	10.9	8.8	14.9	15.9	4.0	2.7	6.0	14.7	6.8	3.9	8.4	8.9	14.7	20	17	50	49	32	7	37	49	9	20	51	51	51	49	49	49	25	21	3	45	32	35	30	9	41	44	21	17	11	31	30	30	24
Utah	13.4	14.3	6.7	3.3	11.5	23.7	14.6	31.1	4.2	2.5	73.8	70.6	66.1	13.7	11.1	1.1	14.9	34.8	14.2	6.4	9.6	7.0	15.8	12.1	4.7	6.7	3.6	2.0	4.8	2.7	6.1	7.2	5.5	48	50	52	51	19	4	23	52	23	45	52	52	52	52	52	51	51	44	14	43	41	49	22	32	23	13	52	47	44	50	49	41	43
Vermont	15.0	17.5	11.8	5.4	11.4	19.2	14.6	42.8	2.7	2.5	83.8	81.5	76.4	23.9	19.4	2.2	16.7	40.0	2.0	11.2	22.1	8.3	15.7	15.6	5.0	4.2	4.5	6.3	8.2	4.9	8.6	8.9	12.0	34	36	2	7	25	50	23	3	48	45	1	2	6	5	5	16	33	16	50	27	3	43	24	11	16	29	46	33	4	9	25	30	28
Virginia	14.0	16.9	9.2	4.5	10.1	19.8	20.0	38.4	4.8	3.0	80.5	78.0	73.9	18.9	15.4	1.7	16.4	37.9	9.5	7.1	10.0	10.5	15.4	16.3	8.8	11.1	4.8	6.3	4.8	3.3	7.0	7.1	9.1	40	39	36	35	48	46	8	27	15	34	21	20	23	44	41	40	39	27	27	41	38	21	26	8	4	6	41	33	44	44	38	43	36
Washington	15.8	16.5	9.4	4.2	11.6	19.5	15.6	37.8	7.1	3.1	80.4	78.0	74.4	19.2	15.4	1.8	16.5	37.9	12.9	6.2	7.8	9.3	15.5	12.9	5.0	4.0	4.4	2.7	5.8	3.1	6.5	6.9	4.6	24	40	33	45	13	47	17	36	8	31	22	20	17	38	41	34	36	27	16	45	51	32	25	26	16	34	48	46	27	45	47	45	46
West Virginia	14.3	21.9	11.8	5.9	12.4	21.7	19.6	42.7	2.4	3.5	82.2	79.8	76.0	24.3	19.9	2.2	19.0	38.8	1.6	20.8	17.8	9.0	16.2	12.2	6.9	2.2	8.5	24.3	4.2	5.9	12.3	10.8	18.1	39	12	2	3	5	15	9	4	50	16	9	9	7	2	4	16	7	21	52	2	5	34	20	31	8	48	4	2	52	3	2	4	11
Wisconsin	16.1	19.6	9.9	4.8	11.0	20.3	12.3	39.6	3.4	2.3	80.6	78.1	74.0	20.8	16.9	2.3	16.2	34.9	7.0	9.5	12.2	9.7	14.5	9.8	3.5	4.2	4.6	11.4	5.1	4.1	8.6	9.0	18.5	21	22	18	22	34	44	42	15	37	50	19	19	21	20	20	11	41	43	34	35	26	30	34	44	49	29	44	27	39	22	25	27	10
Wyoming	16.3	18.2	10.1	4.7	10.8	19.0	20.6	38.0	3.9	2.9	79.4	76.8	72.8	20.4	16.4	1.7	17.4	32.0	10.1	12.0	16.3	7.5	19.2	14.9	5.9	4.6	5.2	5.3	6.6	3.7	8.1	8.8	9.9	17	31	15	29	37	51	6	34	27	37	37	37	37	25	27	40	17	50	25	20	8	47	4	18	10	25	33	36	14	37	32	33	33
