name	units_2	units_3_4	age_16_over	age_18_over	age_85_over	grapi_25_29	ancestry_greek	ancestry_irish	ancestry_french	built_1940_1949	built_1950_1959	ancestry_italian	built_1939_earlier	ancestry_portuguese	in_education_health	value_200000_299999	value_300000_499999	income_100000_149999	ancestry_frenchcanadian	ancestry_subsaharan_african	rank_units_2	rank_units_3_4	rank_age_16_over	rank_age_18_over	rank_age_85_over	rank_grapi_25_29	rank_ancestry_greek	rank_ancestry_irish	rank_ancestry_french	rank_built_1940_1949	rank_built_1950_1959	rank_ancestry_italian	rank_built_1939_earlier	rank_ancestry_portuguese	rank_in_education_health	rank_value_200000_299999	rank_value_300000_499999	rank_income_100000_149999	rank_ancestry_frenchcanadian	rank_ancestry_subsaharan_african
Minnesota	2.1	2.0	79.4	76.8	2.2	12.5	0.2	10.0	3.1	4.5	9.7	2.2	16.1	0.1	25.5	28.8	23.6	18.3	1.0	2.9	32	52	37	37	16	6	31	29	11	26	21	38	19	29	11	5	20	6	9	4
Mississippi	2.5	3.1	79.0	76.3	1.7	11.6	0.1	6.8	2.2	3.2	7.4	1.8	4.5	0.0	25.4	15.7	7.3	11.2	0.2	0.7	23	38	42	43	40	28	45	45	21	42	37	45	42	51	12	45	51	51	35	33
Missouri	3.3	4.6	80.1	77.5	2.1	11.6	0.2	12.3	2.7	4.7	10.0	3.3	13.8	0.1	24.1	19.8	12.8	14.2	0.2	0.7	15	14	30	29	23	28	31	14	15	22	19	28	22	29	23	32	39	38	35	33
Montana	2.8	4.4	80.9	78.5	2.0	11.9	0.2	13.6	3.2	4.7	9.0	3.6	13.6	0.2	23.2	26.0	24.3	13.8	0.8	0.1	20	16	15	16	26	18	31	9	10	22	26	24	23	17	33	14	17	39	12	51
Nebraska	2.0	2.6	78.0	75.3	2.2	11.5	0.2	11.9	2.0	4.8	9.5	2.6	20.1	0.1	24.5	20.5	12.6	15.9	0.3	1.0	37	48	48	48	16	36	31	15	24	20	23	36	11	29	19	30	41	24	27	19
Nevada	1.4	6.5	79.8	77.3	1.5	11.6	0.4	8.1	1.9	1.1	2.8	5.2	1.1	0.6	16.3	28.6	33.3	15.4	0.4	1.3	51	7	32	32	48	28	13	39	27	52	52	14	52	8	52	7	7	28	21	13
New Hampshire	5.6	5.4	83.4	81.0	2.2	13.2	1.4	20.6	12.0	3.7	6.9	10.1	19.8	1.5	24.7	29.8	30.7	18.9	8.7	0.6	7	11	5	5	16	3	1	1	2	37	42	7	13	4	15	3	10	5	1	40
New Jersey	9.0	6.3	80.6	78.0	2.3	11.6	0.7	13.3	1.1	7.1	14.7	15.0	18.1	0.9	24.1	21.5	34.5	17.8	0.2	1.3	4	9	19	20	11	28	4	10	51	6	1	3	15	6	23	24	5	11	35	13
New Mexico	1.9	3.8	79.7	76.9	2.0	11.2	0.2	6.1	1.5	4.0	9.6	2.2	4.4	0.2	25.7	21.8	14.2	12.8	0.3	0.4	42	26	34	35	26	44	31	47	40	33	22	38	43	17	10	22	37	48	27	46
New York	10.1	6.9	81.5	79.1	2.4	10.8	0.7	11.1	1.9	8.0	14.6	11.9	31.7	0.3	28.3	13.5	22.3	16.0	0.6	1.4	2	6	13	13	9	50	4	19	27	2	4	5	3	14	2	48	22	23	15	10
North Carolina	2.0	2.7	80.4	77.8	1.8	11.6	0.3	8.0	1.5	3.4	6.9	3.2	5.1	0.2	22.8	20.5	16.8	13.7	0.4	1.3	37	45	22	24	34	28	20	40	40	41	42	29	39	17	35	30	32	40	21	13
North Dakota	2.1	3.5	78.9	76.6	2.3	9.8	0.1	7.4	3.3	4.2	8.6	1.2	12.5	0.1	26.0	26.5	17.6	17.0	0.9	1.5	32	31	43	40	11	51	45	42	9	31	29	50	24	29	9	12	27	16	10	8
Ohio	4.1	4.4	80.4	77.8	2.2	11.8	0.5	12.7	1.9	6.1	14.0	6.1	20.0	0.1	24.2	18.2	10.9	14.4	0.2	1.2	13	16	22	24	16	21	8	13	27	9	5	10	12	29	22	39	45	37	35	17
Oklahoma	1.9	2.7	78.4	75.8	1.8	10.9	0.1	10.2	1.8	5.1	10.1	1.7	7.5	0.1	22.6	16.2	9.3	13.3	0.2	0.6	42	45	46	45	34	49	45	25	30	18	17	47	34	29	37	44	48	43	35	40
Oregon	2.6	4.3	81.6	79.2	2.1	12.0	0.3	11.0	2.8	5.2	7.9	3.7	11.2	0.5	23.4	21.5	36.7	16.2	0.6	0.6	22	19	12	12	23	16	20	20	13	16	35	23	26	10	28	24	2	22	15	40
Pennsylvania	4.3	4.0	81.7	79.3	2.6	11.5	0.5	15.5	1.5	7.2	13.5	11.2	25.9	0.2	26.2	21.9	17.1	15.7	0.2	1.0	12	22	11	11	3	36	8	6	40	4	6	6	5	17	8	21	30	26	35	19
Puerto Rico	3.2	3.0	83.8	81.2	2.5	11.6	null	null	null	3.5	8.6	null	2.0	null	23.1	8.5	3.3	2.9	null	null	16	40	1	4	6	28				39	29		49		34	50	52	52		
Rhode Island	11.3	12.0	83.0	80.6	2.5	13.2	0.7	17.2	8.4	6.6	12.3	16.3	30.3	8.0	27.4	34.5	30.2	18.3	5.0	3.1	1	1	6	6	6	3	4	3	5	8	10	2	4	1	6	1	11	6	4	3
South Carolina	1.8	2.7	80.8	78.2	1.7	11.2	0.3	8.6	1.6	2.9	6.5	3.0	3.9	0.2	22.1	19.2	14.4	13.4	0.4	1.0	45	45	18	18	40	44	20	36	36	46	46	32	45	17	42	35	36	42	21	19
South Dakota	1.9	3.6	78.1	75.5	2.3	11.5	0.1	10.1	2.2	4.1	8.7	1.2	17.4	0.1	24.0	22.3	14.7	15.1	0.4	1.0	42	27	47	47	11	36	45	27	21	32	27	50	16	29	26	19	35	29	21	19
Tennessee	2.7	3.1	80.3	77.7	1.8	12.2	0.2	9.3	1.5	4.5	8.7	2.3	5.8	0.1	22.6	20.8	15.4	13.3	0.2	1.2	21	38	26	27	34	12	31	33	40	26	27	37	38	29	37	29	34	43	35	17
Texas	1.8	3.3	77.1	74.2	1.4	11.8	0.2	6.1	1.8	3.2	7.7	1.8	3.5	0.1	21.8	21.2	17.0	15.6	0.2	1.4	45	36	51	51	49	21	31	47	30	42	36	45	46	29	44	27	31	27	35	10
Utah	2.5	4.2	73.8	70.6	1.1	12.2	0.4	5.9	1.8	3.2	6.8	2.8	6.8	0.2	22.4	28.0	35.8	19.2	0.2	0.5	23	21	52	52	51	12	13	49	30	42	44	33	36	17	39	9	3	4	35	44
Vermont	5.5	6.3	83.8	81.5	2.2	13.6	0.4	16.5	10.5	3.0	6.0	7.3	25.5	0.4	28.7	28.4	23.0	16.4	7.9	0.6	9	9	1	2	16	2	13	5	4	45	48	9	6	11	1	8	21	19	2	40
Virginia	1.6	2.8	80.5	78.0	1.7	12.1	0.4	9.0	1.7	4.3	8.6	3.9	7.3	0.2	22.2	21.6	25.4	17.2	0.4	2.3	47	43	21	20	40	14	13	35	34	29	29	22	35	17	41	23	16	14	21	5
Washington	2.3	3.6	80.4	78.0	1.8	12.7	0.3	10.1	2.8	4.7	7.3	3.4	10.0	0.3	21.6	19.1	33.2	18.2	0.7	1.3	28	27	22	20	34	5	20	27	13	22	39	26	28	14	45	36	8	8	13	13
West Virginia	2.0	2.8	82.2	79.8	2.2	11.1	0.3	12.9	1.3	7.2	10.6	4.3	15.8	0.1	27.9	15.2	8.0	11.9	0.1	0.4	37	43	9	9	16	47	20	12	49	4	16	18	20	29	5	47	50	49	51	46
Wisconsin	6.3	3.6	80.6	78.1	2.3	11.4	0.3	10.6	2.9	5.5	10.7	3.4	19.0	0.1	23.4	24.6	16.5	16.3	0.9	0.5	6	27	19	19	11	41	20	23	12	13	15	26	14	29	28	17	33	21	10	44
Wyoming	2.1	4.6	79.4	76.8	1.7	12.3	0.3	11.5	2.6	4.8	8.6	3.2	11.2	0.2	25.1	28.8	20.4	17.5	0.5	0.3	32	14	37	37	40	9	20	16	16	20	29	29	26	17	13	5	25	13	17	48
