name	edu_9_12	rent_500_999	units_mobile	grapi_15_less	edu_highschool	in_manufacturing	job_prod_transpo	value_50000_less	ancestry_american	in_transportation	value_50000_99999	value_100000_149000	rank_edu_9_12	rank_rent_500_999	rank_units_mobile	rank_grapi_15_less	rank_edu_highschool	rank_in_manufacturing	rank_job_prod_transpo	rank_value_50000_less	rank_ancestry_american	rank_in_transportation	rank_value_50000_99999	rank_value_100000_149000
New Hampshire	4.5	28.0	5.7	12.1	27.3	12.6	12.0	4.0	4.3	3.7	4.6	7.2	44	38	27	43	28	13	31	40	32	50	38	39
New Jersey	5.1	14.6	0.9	12.2	26.7	8.1	11.5	2.3	3.3	6.4	2.8	5.1	32	49	46	41	30	35	38	47	45	7	44	45
New Mexico	7.9	50.8	16.7	15.1	26.2	4.0	10.0	10.6	4.2	4.4	12.6	15.6	7	20	1	18	33	49	46	12	33	42	24	20
New York	6.8	22.7	2.3	14.3	25.5	6.0	9.8	4.3	4.9	5.5	9.3	10.4	19	44	44	26	38	43	48	36	25	21	29	32
North Carolina	7.2	47.0	12.4	14.4	25.5	12.1	14.4	7.5	10.4	4.8	14.2	16.6	14	24	8	24	38	15	16	23	6	35	19	16
North Dakota	4.2	57.0	7.1	20.9	26.1	6.7	12.8	9.7	2.6	5.4	11.7	12.2	49	9	22	1	34	42	26	13	49	27	25	27
Ohio	6.5	57.2	3.7	16.4	32.8	15.1	16.9	8.2	6.6	5.4	20.0	21.2	20	8	36	12	6	4	8	19	17	27	7	3
Oklahoma	7.6	58.5	9.2	17.2	31.1	9.6	14.3	11.8	7.3	5.5	21.2	19.9	12	4	13	9	10	27	17	5	16	21	5	8
Oregon	5.4	29.1	7.7	11.4	22.7	11.2	12.4	5.0	4.7	4.5	3.1	4.5	30	37	20	47	47	19	29	33	26	40	42	47
Pennsylvania	5.9	42.5	3.8	15.2	34.2	11.6	14.2	6.7	4.5	5.8	14.2	15.6	25	26	35	17	2	17	19	28	30	14	19	20
Puerto Rico	null	39.9	0.3	12.4	null	8.9	11.5	8.5	null	3.8	33.8	29.1		27	50	39		31	38	15		49	1	1
Rhode Island	6.1	31.2	0.9	13.3	28.0	10.6	11.9	2.2	3.4	4.2	1.5	5.2	22	36	46	34	25	20	34	48	44	46	49	44
South Carolina	8.0	48.3	15.8	13.7	28.9	13.4	15.7	10.7	10.2	5.3	15.4	16.0	6	23	2	31	18	8	11	11	7	29	15	18
South Dakota	5.0	57.8	8.6	19.8	30.2	10.0	13.8	11.2	4.0	4.3	12.9	15.3	34	7	16	2	16	25	21	8	34	44	22	22
Tennessee	7.6	48.6	8.9	14.3	31.8	12.9	16.7	7.4	12.3	6.8	15.5	16.6	12	22	14	26	8	12	9	24	3	2	14	16
Texas	7.8	36.6	6.9	13.0	24.7	8.4	12.8	8.3	5.4	6.0	14.7	14.7	8	32	23	37	40	34	26	18	22	11	17	24
Utah	4.6	35.8	3.1	14.2	22.8	10.0	12.9	3.2	4.6	5.2	2.0	5.5	39	33	42	28	46	25	25	44	28	30	47	43
Vermont	4.5	38.8	6.4	11.2	28.3	10.5	10.9	4.2	7.7	3.0	6.3	12.0	44	28	24	48	22	21	41	38	12	52	33	28
Virginia	5.8	26.0	4.9	13.1	23.9	7.1	10.5	4.2	9.4	4.5	6.3	9.1	26	41	30	35	43	39	43	38	10	40	33	36
Washington	4.8	22.3	6.0	12.1	21.8	9.5	11.9	3.4	3.8	5.5	2.7	4.6	36	45	25	43	48	29	34	42	35	21	46	46
West Virginia	8.3	59.1	14.6	17.0	40.0	8.0	14.3	16.2	10.6	5.8	24.3	18.1	4	2	4	10	1	36	17	1	5	14	2	11
Wisconsin	4.9	56.0	3.4	17.0	30.3	18.0	17.8	4.4	3.1	4.6	11.4	18.5	35	11	39	10	14	3	4	35	46	39	27	10
Wyoming	4.6	51.8	12.7	19.6	28.6	4.3	12.7	8.4	4.7	6.3	5.3	9.9	39	16	7	3	19	48	28	16	26	8	36	33
