name	units_2	age_55_59	grapi_15_19	rent_500_999	class_private	grapi_15_less	ancestry_czech	ancestry_dutch	ancestry_swiss	ancestry_german	ancestry_polish	in_manufacturing	job_prod_transpo	ancestry_norwegian	value_150000_199999	edu_associate_degree	rank_units_2	rank_age_55_59	rank_grapi_15_19	rank_rent_500_999	rank_class_private	rank_grapi_15_less	rank_ancestry_czech	rank_ancestry_dutch	rank_ancestry_swiss	rank_ancestry_german	rank_ancestry_polish	rank_in_manufacturing	rank_job_prod_transpo	rank_ancestry_norwegian	rank_value_150000_199999	rank_edu_associate_degree
New Jersey	9.0	7.2	12.9	14.6	81.6	12.2	0.2	0.9	0.2	9.8	5.3	8.1	11.5	0.4	9.2	6.6	4	6	38	49	13	41	29	28	24	31	6	35	38	37	44	49
New Mexico	1.9	6.5	13.3	50.8	70.7	15.1	0.2	0.7	0.2	8.0	1.0	4.0	10.0	0.7	18.8	8.8	42	34	30	20	49	18	29	39	24	41	41	49	46	24	4	24
New York	10.1	6.9	11.9	22.7	78.4	14.3	0.2	1.0	0.2	9.3	4.4	6.0	9.8	0.4	9.5	8.9	2	18	46	44	31	26	29	26	24	33	7	43	48	37	43	21
North Carolina	2.0	6.7	13.7	47.0	80.3	14.4	0.2	0.8	0.2	9.6	1.4	12.1	14.4	0.5	16.6	9.9	37	25	20	24	16	24	29	34	24	32	35	15	16	31	19	15
North Dakota	2.1	6.3	16.4	57.0	76.2	20.9	1.4	1.1	0.3	36.9	2.3	6.7	12.8	23.7	16.5	14.1	32	44	1	9	41	1	6	23	19	2	18	42	26	1	24	1
Ohio	4.1	7.1	14.5	57.2	82.8	16.4	0.5	1.2	0.6	23.4	3.6	15.1	16.9	0.4	17.7	8.8	13	9	9	8	5	12	13	20	5	9	12	4	8	37	9	24
Oklahoma	1.9	6.4	14.5	58.5	76.3	17.2	0.4	1.2	0.2	12.3	0.8	9.6	14.3	0.6	17.6	8.2	42	41	9	4	39	9	14	20	24	24	46	27	17	27	10	34
Oregon	2.6	6.3	12.4	29.1	78.9	11.4	0.4	1.8	0.7	17.3	1.6	11.2	12.4	3.4	7.9	9.0	22	44	43	37	28	47	14	6	3	16	30	19	29	9	46	20
Pennsylvania	4.3	7.2	13.8	42.5	84.1	15.2	0.3	1.3	0.6	22.8	6.0	11.6	14.2	0.3	17.1	8.6	12	6	19	26	3	17	22	18	5	10	5	17	19	45	15	30
Puerto Rico	3.2	6.6	11.2	39.9	68.9	12.4	null	null	null	null	null	8.9	11.5	null	15.2	null	16	32	50	27	51	39						31	38		32	
Rhode Island	11.3	7.2	13.4	31.2	82.0	13.3	0.1	0.4	0.1	5.0	3.5	10.6	11.9	0.3	13.9	8.2	1	6	29	36	10	34	44	49	44	50	14	20	34	45	36	34
South Carolina	1.8	6.7	13.2	48.3	79.3	13.7	0.2	0.7	0.2	9.3	1.5	13.4	15.7	0.4	16.6	9.9	45	25	34	23	27	31	29	39	24	33	34	8	11	37	19	15
South Dakota	1.9	6.7	15.6	57.8	76.3	19.8	2.1	4.3	0.4	35.7	1.6	10.0	13.8	12.7	18.4	11.6	42	25	2	7	39	2	2	1	10	3	30	25	21	3	5	3
Tennessee	2.7	6.7	13.5	48.6	79.7	14.3	0.1	0.9	0.2	9.0	1.1	12.9	16.7	0.4	16.8	7.5	21	25	26	22	24	26	44	28	24	37	40	12	9	37	18	45
Texas	1.8	5.9	13.6	36.6	79.7	13.0	0.7	0.6	0.1	8.5	1.0	8.4	12.8	0.5	15.8	7.4	45	50	24	32	24	37	8	44	44	39	41	34	26	31	29	47
Utah	2.5	4.9	15.2	35.8	80.4	14.2	0.2	1.9	1.1	10.4	0.8	10.0	12.9	2.3	10.1	10.0	23	52	4	33	15	28	29	5	1	27	46	25	25	12	42	13
Vermont	5.5	7.6	12.8	38.8	77.0	11.2	0.3	1.2	0.3	10.2	3.6	10.5	10.9	0.9	18.0	8.8	9	3	40	28	38	48	22	20	19	29	12	21	41	19	7	24
Virginia	1.6	6.8	13.9	26.0	75.0	13.1	0.3	0.8	0.2	10.3	1.8	7.1	10.5	0.6	12.3	7.9	47	21	16	41	44	35	22	34	24	28	26	39	43	27	39	41
Washington	2.3	6.4	13.7	22.3	78.4	12.1	0.4	1.7	0.4	15.7	1.7	9.5	11.9	4.7	7.1	10.1	28	41	20	45	31	43	14	9	10	19	28	29	34	6	47	12
West Virginia	2.0	7.0	12.7	59.1	76.1	17.0	0.2	1.4	0.2	15.6	1.6	8.0	14.3	0.3	16.0	7.6	37	14	41	2	42	10	29	16	24	20	30	36	17	45	28	44
Wisconsin	6.3	7.4	14.9	56.0	82.5	17.0	1.5	2.3	0.9	37.8	8.4	18.0	17.8	7.1	19.2	11.0	6	5	7	11	6	10	4	4	2	1	1	3	4	5	2	6
Wyoming	2.1	6.8	13.6	51.8	72.3	19.6	0.6	1.7	0.4	22.7	1.7	4.3	12.7	3.5	17.4	11.4	32	21	24	16	48	3	11	9	10	11	28	48	28	8	11	5
