name	rooms_9	age_25_34	age_35_44	grapi_30_34	rent_median	units_10_19	value_median	in_information	rent_1500_1999	rent_2000_2499	in_construction	in_professional	edu_bachelor_degree	edu_bachelor_higher	value_300000_499999	value_500000_999999	rank_rooms_9	rank_age_25_34	rank_age_35_44	rank_grapi_30_34	rank_rent_median	rank_units_10_19	rank_value_median	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_in_construction	rank_in_professional	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_value_300000_499999	rank_value_500000_999999
Kansas	16.6	13.1	12.3	9.0	863	3.6	157600	1.8	6.3	1.5	6.4	9.7	21.5	33.9	12.7	4.1	9	33	27	24	35	28	42	15	35	34	36	33	18	18	40	40
Kentucky	12.2	13.0	12.4	8.2	783	3.4	147100	1.5	3.4	0.7	6.1	8.6	14.8	25.0	10.4	3.4	28	39	25	50	48	33	47	36	47	50	39	42	49	47	46	43
Louisiana	8.3	14.3	12.6	8.9	876	2.7	168100	1.5	6.2	1.6	8.1	9.2	15.9	24.9	12.6	4.2	43	11	17	27	32	42	38	36	37	32	5	36	46	48	41	38
Maine	10.0	12.0	11.5	10.2	873	1.6	198000	1.6	7.8	1.6	7.3	9.2	20.3	32.5	17.5	5.9	37	50	50	1	33	52	28	25	31	32	9	36	24	22	28	33
Maryland	20.7	13.7	12.9	8.9	1415	7.7	325400	1.9	27.1	10.8	7.1	15.8	21.8	40.9	34.3	17.8	2	22	11	27	4	2	9	12	1	6	14	3	15	4	6	11
Massachusetts	12.0	14.3	12.2	9.8	1336	4.3	398800	2.2	20.2	11.4	5.8	14.4	24.5	44.5	35.6	27.8	30	11	32	3	7	17	4	7	9	4	46	4	4	2	4	4
Michigan	13.5	12.9	11.7	8.7	892	3.5	162600	1.3	6.6	1.8	5.5	9.7	18.3	30.0	13.5	4.1	19	41	46	38	30	31	41	49	34	31	50	33	37	32	38	40
Minnesota	19.8	13.6	12.7	9.4	1010	3.4	235700	1.6	13.6	3.6	6.1	10.0	24.2	36.8	23.6	7.6	3	23	15	11	24	33	21	25	21	19	39	28	5	11	20	22
Mississippi	9.2	12.9	12.5	8.8	789	2.4	125500	1.2	3.4	0.6	6.7	6.9	13.8	22.8	7.3	2.4	39	41	21	35	47	46	50	51	47	51	26	49	50	50	51	50
Missouri	12.5	13.4	12.2	8.5	843	3.3	163600	1.8	4.9	1.2	6.5	9.8	18.4	29.9	12.8	4.2	23	26	32	44	40	37	40	15	41	39	32	30	36	34	39	38
Montana	14.3	12.9	12.0	8.9	836	2.5	244900	1.6	6.2	1.5	8.2	8.8	22.2	33.1	24.3	9.5	17	41	40	27	41	45	19	25	37	34	2	40	11	20	17	16
Nebraska	18.8	13.3	12.5	8.6	857	4.6	164000	1.8	5.6	1.1	7.0	8.9	21.4	32.5	12.6	3.3	4	28	21	40	36	14	39	15	40	42	19	39	19	22	41	44
Nevada	7.8	14.6	13.3	9.2	1159	5.2	290200	1.5	17.9	4.0	7.2	11.5	16.6	25.5	33.3	11.3	46	10	7	16	15	8	12	36	14	18	11	18	44	46	7	14
New Hampshire	12.3	12.5	11.5	9.7	1145	3.1	272300	1.9	17.0	4.3	6.9	11.2	23.0	37.6	30.7	9.2	26	47	50	5	17	40	17	12	16	16	22	20	7	9	10	19
New Jersey	14.9	12.9	12.8	8.9	1368	4.7	343500	2.6	23.4	9.2	5.9	13.7	24.8	40.7	34.5	20.9	15	41	13	27	5	13	7	5	4	9	44	7	3	5	5	8
New Mexico	7.1	13.5	12.1	8.7	857	2.3	175700	1.4	6.7	1.4	7.2	11.6	15.8	28.1	14.2	5.1	48	24	36	38	36	47	35	46	33	36	11	17	47	42	37	34
New York	9.8	14.7	12.4	9.1	1315	4.2	325000	2.8	19.3	9.8	5.7	12.2	20.9	37.5	22.3	22.5	38	8	25	21	9	18	10	3	11	8	47	13	22	10	22	7
North Carolina	11.7	13.4	12.6	8.9	932	4.2	182100	1.7	8.6	1.9	7.0	11.2	20.4	32.0	16.8	6.5	32	26	17	27	27	18	33	20	27	29	19	20	23	26	32	29
North Dakota	17.9	15.2	11.9	7.0	828	5.4	199900	1.2	6.3	1.1	7.4	6.6	22.1	30.7	17.6	5.0	6	6	43	52	42	7	27	51	35	42	8	50	13	28	27	35
Ohio	13.8	13.2	12.0	8.5	825	3.8	151400	1.5	4.5	1.2	5.6	9.8	17.9	28.9	10.9	3.2	18	30	40	44	43	23	44	36	42	39	48	30	39	38	45	45
Oklahoma	8.3	13.8	12.5	8.3	818	3.4	142400	1.6	4.5	0.9	7.1	8.7	17.2	26.1	9.3	3.1	43	19	21	48	44	33	48	25	42	45	14	41	43	45	48	46
Oregon	10.7	14.2	13.4	9.4	1173	3.7	336700	1.7	18.1	5.8	6.5	11.3	21.3	34.4	36.7	18.8	35	14	5	11	14	27	8	20	13	14	32	19	20	17	2	9
Pennsylvania	14.4	13.2	11.7	8.6	958	2.6	187500	1.6	10.1	3.1	6.0	10.6	19.5	32.3	17.1	6.3	16	30	46	40	26	44	31	25	26	24	43	22	30	24	30	30
Puerto Rico	1.3	12.5	12.3	8.6	486	3.1	111200	1.6	1.2	0.5	5.6	10.2	null	null	3.3	1.0	52	47	27	40	52	40	52	25	52	52	48	26			52	52
Rhode Island	9.0	13.9	11.7	9.4	1031	3.8	276600	1.5	12.6	3.3	6.1	10.6	21.0	35.0	30.2	10.4	41	15	46	11	23	23	15	36	24	22	39	22	21	14	11	15
South Carolina	11.3	13.2	12.1	9.1	918	3.2	170100	1.5	8.1	2.0	6.9	10.5	18.2	29.0	14.4	6.1	34	30	36	21	28	39	37	36	30	27	22	24	38	37	36	32
South Dakota	17.3	13.1	11.9	8.6	761	4.4	174600	1.5	3.4	0.8	7.1	6.6	20.1	29.3	14.7	4.3	8	33	43	40	49	16	36	36	47	47	14	50	26	35	35	37
Tennessee	12.3	13.8	12.5	9.2	897	3.8	177600	1.6	8.2	2.0	6.6	9.9	17.8	28.2	15.4	6.2	26	19	21	16	29	23	34	25	29	27	29	29	40	40	34	31
Texas	10.2	14.7	13.6	9.2	1082	6.0	187200	1.7	14.4	4.2	8.6	11.7	19.9	30.7	17.0	6.6	36	8	4	16	20	3	32	20	20	17	1	15	27	28	31	28
Utah	25.4	14.8	13.7	9.7	1090	4.2	305400	2.0	15.2	3.5	7.2	12.7	23.0	34.7	35.8	13.3	1	7	3	5	19	18	11	9	18	21	11	10	7	15	3	12
Vermont	12.1	11.9	11.3	9.5	999	1.8	230900	1.7	12.1	3.3	7.1	9.1	23.5	39.7	23.0	7.2	29	51	52	8	25	50	24	20	25	22	14	38	6	7	21	26
Virginia	18.4	13.9	13.0	9.1	1257	5.5	282800	1.9	20.8	9.2	6.6	15.9	22.4	39.5	25.4	18.0	5	15	10	21	10	6	13	12	7	9	29	2	10	8	16	10
Washington	13.3	15.3	13.4	9.8	1337	4.9	366800	2.2	22.7	10.6	7.0	13.6	22.8	36.7	33.2	24.0	21	4	5	3	6	11	6	7	5	7	19	8	9	12	8	5
West Virginia	11.5	11.9	12.0	8.9	732	1.7	123200	1.5	3.0	0.8	6.5	7.8	12.7	21.3	8.0	1.9	33	51	40	27	51	51	51	36	50	47	32	46	51	51	50	51
Wisconsin	12.5	12.7	12.2	8.3	872	3.5	189200	1.6	5.7	1.3	5.9	8.6	20.3	30.8	16.5	4.6	23	45	32	48	34	31	30	25	39	38	44	42	24	27	33	36
Wyoming	15.9	13.5	12.6	8.8	853	2.2	228000	1.6	8.5	1.9	8.2	6.5	17.7	28.2	20.4	7.0	13	24	17	35	38	48	25	25	28	29	2	52	41	40	25	27
