name	age_5_9	rooms_8	rooms_9	employed	age_5_under	age_under18	grapi_15_19	grapi_20_24	race_native	class_unpaid	rent_500_999	grapi_15_less	ancestry_czech	ancestry_dutch	in_agri_mining	ancestry_danish	ancestry_german	built_2010_2013	ancestry_swedish	value_50000_less	ancestry_norwegian	class_selfemployed	income_75000_99999	edu_associate_degree	rank_age_5_9	rank_rooms_8	rank_rooms_9	rank_employed	rank_age_5_under	rank_age_under18	rank_grapi_15_19	rank_grapi_20_24	rank_race_native	rank_class_unpaid	rank_rent_500_999	rank_grapi_15_less	rank_ancestry_czech	rank_ancestry_dutch	rank_in_agri_mining	rank_ancestry_danish	rank_ancestry_german	rank_built_2010_2013	rank_ancestry_swedish	rank_value_50000_less	rank_ancestry_norwegian	rank_class_selfemployed	rank_income_75000_99999	rank_edu_associate_degree
Georgia	6.5	10.1	15.3	59.2	6.2	23.8	13.5	12.9	0.3	0.2	37.9	13.5	0.1	0.6	1.1	0.1	6.4	2.9	0.4	7.7	0.4	5.4	12.7	8.0	11	15	14	33	14	9	26	29	32	6	29	32	44	44	36	40	46	23	46	22	37	35	32	38
Hawaii	5.9	5.4	6.1	58.7	6.2	21.3	10.8	11.8	0.2	0.2	11.8	11.1	0.1	0.5	1.4	0.2	5.8	2.8	0.6	1.0	0.7	6.9	13.7	10.9	36	50	51	36	14	38	51	47	44	6	52	49	44	47	28	28	48	28	34	52	24	10	14	7
Idaho	7.1	10.3	16.3	60.2	6.5	25.3	14.4	13.6	1.3	0.2	51.3	15.0	0.3	1.8	4.8	1.9	16.6	3.4	2.8	5.1	3.0	7.3	13.1	9.8	3	12	11	26	8	3	12	15	9	6	18	20	22	6	5	3	18	17	6	32	10	8	24	17
Illinois	6.0	9.3	13.0	61.2	5.9	22.5	13.9	13.3	0.3	0.2	37.2	14.6	0.8	1.1	1.0	0.3	17.1	1.5	1.9	6.1	1.1	4.6	12.9	8.1	27	25	22	18	30	23	16	24	32	6	30	22	7	23	38	22	17	48	16	31	17	47	28	36
Indiana	6.5	9.8	13.5	60.7	6.2	23.5	14.0	12.9	0.2	0.2	58.6	15.4	0.2	1.6	1.2	0.2	20.6	2.4	0.8	7.9	0.5	4.5	13.5	8.9	11	17	19	22	14	11	15	29	44	6	3	16	29	12	34	28	13	35	28	20	31	49	18	21
Iowa	6.4	10.5	16.0	64.3	6.2	23.1	14.5	14.1	0.3	0.2	58.1	17.5	1.6	3.7	3.8	1.6	32.3	2.9	2.5	8.4	4.7	6.4	14.3	11.8	15	9	12	8	14	17	9	5	32	6	5	6	3	3	10	5	5	23	10	16	6	18	4	2
Kansas	6.8	10.5	16.6	63.2	6.5	24.2	15.1	14.1	0.8	0.2	53.6	16.0	0.7	1.5	3.1	0.5	24.1	2.5	2.0	11.0	1.0	6.1	13.5	8.8	7	9	9	13	8	7	5	5	18	6	15	13	8	14	13	17	7	32	14	9	18	23	18	24
Kentucky	6.2	8.7	12.2	55.9	6.1	22.6	14.4	12.6	0.2	0.2	58.0	18.0	0.1	0.9	1.9	0.1	13.1	2.9	0.4	11.8	0.3	5.2	12.4	8.6	19	33	28	44	19	22	12	39	44	6	6	4	44	28	25	40	22	23	46	5	45	38	38	30
Louisiana	6.4	7.7	8.3	54.9	6.5	23.5	11.5	10.8	0.6	0.2	51.2	13.8	0.1	0.4	3.7	0.1	6.7	4.0	0.3	11.3	0.2	6.2	11.4	6.5	15	39	43	46	8	11	48	52	22	6	19	30	44	49	11	40	45	8	48	7	51	21	49	50
Maine	5.1	8.3	10.0	60.3	4.8	18.7	13.3	13.4	0.7	0.2	45.2	12.4	0.2	0.9	2.4	0.4	7.8	2.3	1.6	6.9	0.8	8.4	13.8	10.2	48	36	37	25	49	50	30	22	21	6	25	39	29	28	19	18	42	37	18	27	22	3	13	10
Maryland	6.1	11.4	20.7	63.5	6.0	22.2	12.9	13.8	0.3	0.2	15.4	11.8	0.3	0.7	0.5	0.2	12.1	2.6	0.5	2.6	0.4	5.0	13.0	6.8	24	3	2	12	25	27	38	12	32	6	48	46	22	39	47	28	25	31	40	46	37	40	25	48
Massachusetts	5.3	9.3	12.0	63.7	5.2	19.8	12.5	12.8	0.2	0.2	19.3	13.4	0.2	0.5	0.4	0.2	5.6	1.7	1.5	1.5	0.5	5.7	12.0	7.7	45	25	30	10	46	46	42	35	44	6	47	33	29	47	49	28	49	44	20	50	31	28	43	43
Michigan	5.9	9.5	13.5	57.7	5.7	21.7	13.3	12.6	0.5	0.2	50.8	14.2	0.4	4.3	1.1	0.4	18.5	1.2	1.3	10.9	0.8	5.0	12.9	9.6	36	19	19	40	38	36	30	39	24	6	20	28	14	1	36	18	14	50	23	10	22	40	28	18
Minnesota	6.5	11.0	19.8	66.5	6.3	23.2	13.7	14.0	1.0	0.2	37.0	14.4	1.5	1.6	2.1	1.2	31.3	2.4	7.3	4.3	13.9	5.4	14.1	11.6	11	5	3	3	12	15	20	7	15	6	31	24	4	12	23	7	6	35	1	36	2	35	6	3
Mississippi	6.4	8.6	9.2	52.7	6.2	23.7	11.9	12.7	0.5	0.3	56.7	14.9	0.1	0.4	2.3	0.1	4.8	3.5	0.3	16.0	0.3	5.5	11.4	10.2	15	34	39	50	14	10	46	38	24	2	10	21	44	49	20	40	51	16	48	2	45	32	49	10
Missouri	6.1	9.1	12.5	59.8	6.1	22.5	15.0	13.3	0.4	0.2	55.5	15.6	0.4	1.3	1.7	0.3	22.3	2.5	0.9	8.7	0.7	5.6	13.0	8.1	24	28	23	27	19	23	6	24	28	6	12	14	14	18	26	22	12	32	26	14	24	30	25	36
Montana	5.9	9.1	14.3	60.5	5.8	21.5	13.1	12.9	6.2	0.3	51.5	17.4	0.7	1.8	6.4	1.1	24.1	3.6	2.7	7.4	8.7	8.6	12.8	9.4	36	28	17	24	33	37	37	29	5	2	17	7	8	6	3	8	7	14	9	24	4	2	31	19
Nebraska	6.9	10.7	18.8	66.6	6.8	24.7	15.3	13.8	0.9	0.2	55.0	18.0	4.2	1.7	4.4	2.0	32.4	2.9	3.7	7.9	1.9	6.2	14.1	10.7	6	8	4	2	5	5	3	12	16	6	13	4	1	9	7	2	4	23	3	20	14	21	6	8
Nevada	6.2	7.6	7.8	58.9	6.1	22.7	13.2	13.2	1.2	0.2	31.8	12.0	0.3	0.9	1.4	0.6	10.0	3.3	1.1	4.0	1.2	5.5	13.7	8.4	19	42	46	35	19	21	34	28	10	6	35	45	22	28	28	15	30	19	25	40	16	32	14	33
New Hampshire	5.1	9.4	12.3	64.6	4.7	19.0	13.9	14.5	0.2	0.2	28.0	12.1	0.2	0.9	0.8	0.3	8.6	2.1	1.9	4.0	0.9	6.6	14.1	10.4	48	21	26	7	50	48	16	2	44	6	38	43	29	28	44	22	38	40	16	40	19	14	6	9
New Jersey	6.0	10.4	14.9	61.8	5.8	22.0	12.9	12.8	0.3	0.1	14.6	12.2	0.2	0.9	0.3	0.2	9.8	1.8	0.5	2.3	0.4	4.6	12.3	6.6	27	11	15	16	33	31	38	35	32	50	49	41	29	28	51	28	31	42	40	47	37	47	40	49
New Mexico	6.3	7.1	7.1	53.2	5.9	23.1	13.3	12.0	9.3	0.2	50.8	15.1	0.2	0.7	4.0	0.3	8.0	2.7	0.7	10.6	0.7	6.5	11.7	8.8	18	46	48	49	30	17	30	46	2	6	20	18	29	39	9	22	41	29	30	12	24	16	46	24
New York	5.6	7.5	9.8	59.3	5.8	20.9	11.9	11.6	0.4	0.1	22.7	14.3	0.2	1.0	0.6	0.2	9.3	1.6	0.6	4.3	0.4	5.7	12.0	8.9	41	43	38	32	33	40	46	50	28	50	44	26	29	26	46	28	33	45	34	36	37	28	43	21
North Carolina	6.0	8.4	11.7	57.9	5.8	22.2	13.7	13.5	1.2	0.2	47.0	14.4	0.2	0.8	1.2	0.2	9.6	4.0	0.6	7.5	0.5	5.6	12.6	9.9	27	35	32	38	33	27	20	19	10	6	24	24	29	34	34	28	32	8	34	23	31	30	33	15
North Dakota	6.6	9.4	17.9	66.9	7.0	23.4	16.4	14.3	5.2	0.3	57.0	20.9	1.4	1.1	9.2	0.9	36.9	8.0	3.9	9.7	23.7	7.4	14.1	14.1	10	21	6	1	3	13	1	3	6	2	9	1	6	23	2	10	2	1	2	13	1	7	6	1
Ohio	6.0	10.3	13.8	59.7	5.9	22.2	14.5	13.3	0.2	0.2	57.2	16.4	0.5	1.2	1.0	0.1	23.4	1.6	0.6	8.2	0.4	4.8	13.0	8.8	27	12	18	28	30	27	9	24	44	6	8	12	13	20	38	40	9	45	34	19	37	44	25	24
Oklahoma	6.7	7.5	8.3	57.4	6.6	24.2	14.5	13.4	7.7	0.2	58.5	17.2	0.4	1.2	4.3	0.2	12.3	3.9	0.6	11.8	0.6	6.5	12.5	8.2	8	43	43	41	7	7	9	22	4	6	4	9	14	20	8	28	24	11	34	5	27	16	34	34
Oregon	5.8	8.2	10.7	59.1	5.5	20.8	12.4	13.6	1.1	0.2	29.1	11.4	0.4	1.8	3.1	0.9	17.3	2.5	2.3	5.0	3.4	7.1	13.3	9.0	39	37	35	34	42	41	43	15	13	6	37	47	14	6	13	10	16	32	12	33	9	9	20	20
Pennsylvania	5.6	11.1	14.4	59.4	5.5	20.7	13.8	12.9	0.2	0.2	42.5	15.2	0.3	1.3	1.3	0.1	22.8	1.6	0.7	6.7	0.3	5.0	13.2	8.6	41	4	16	30	42	42	19	29	44	6	26	17	22	18	31	40	10	45	30	28	45	40	22	30
Puerto Rico	5.0	2.1	1.3	37.6	4.0	18.8	11.2	11.8	0.2	0.2	39.9	12.4	null	null	1.3	null	null	0.9	null	8.5	null	10.0	4.3	null	51	52	52	52	52	49	50	47	44	6	27	39			31			51		15		1	52	
Rhode Island	5.2	7.7	9.0	60.9	5.2	19.4	13.4	12.8	0.4	0.2	31.2	13.3	0.1	0.4	0.5	0.1	5.0	0.9	1.5	2.2	0.3	4.9	13.3	8.2	47	39	41	21	46	47	29	35	28	6	36	34	44	49	47	40	50	51	20	48	45	43	20	34
South Carolina	6.0	9.1	11.3	56.2	5.7	21.8	13.2	12.6	0.3	0.2	48.3	13.7	0.2	0.7	0.9	0.1	9.3	4.0	0.5	10.7	0.4	5.5	12.4	9.9	27	28	34	42	38	35	34	39	32	6	23	31	29	39	42	40	33	8	40	11	37	32	38	15
South Dakota	7.0	10.9	17.3	65.2	6.8	24.5	15.6	14.2	8.5	0.3	57.8	19.8	2.1	4.3	6.4	1.8	35.7	4.3	3.0	11.2	12.7	7.9	14.6	11.6	4	6	8	5	5	6	2	4	3	2	7	2	2	1	3	4	3	4	5	8	3	5	3	3
Tennessee	6.0	9.0	12.3	57.9	6.0	22.3	13.5	12.9	0.3	0.2	48.6	14.3	0.1	0.9	1.0	0.1	9.0	3.4	0.5	7.4	0.4	6.8	12.5	7.5	27	31	26	38	25	25	26	29	32	6	22	26	44	28	38	40	37	17	40	24	37	11	34	45
Texas	7.0	8.0	10.2	61.0	7.0	25.8	13.6	13.6	0.5	0.2	36.6	13.0	0.7	0.6	2.8	0.2	8.5	5.1	0.5	8.3	0.5	6.8	12.5	7.4	4	38	36	19	3	2	24	15	24	6	32	37	8	44	15	28	39	2	40	18	31	11	34	47
Utah	8.3	11.7	25.4	66.1	7.9	29.4	15.2	13.9	1.1	0.2	35.8	14.2	0.2	1.9	1.5	4.6	10.4	4.9	3.4	3.2	2.3	4.8	15.4	10.0	1	2	1	4	1	1	4	9	13	6	33	28	29	5	27	1	27	3	4	44	12	44	1	13
Vermont	5.1	9.4	12.1	62.8	4.7	18.5	12.8	12.9	0.3	0.2	38.8	11.2	0.3	1.2	2.7	0.4	10.2	2.2	1.6	4.2	0.9	8.2	13.9	8.8	48	21	29	14	50	51	40	29	32	6	28	48	22	20	16	18	29	39	18	38	19	4	11	24
Virginia	6.0	10.9	18.4	61.0	6.0	22.0	13.9	13.9	0.3	0.2	26.0	13.1	0.3	0.8	0.8	0.2	10.3	3.3	0.6	4.2	0.6	4.8	12.9	7.9	27	6	5	19	25	31	16	9	32	6	41	35	22	34	44	28	28	19	34	38	27	44	28	41
Washington	6.2	9.3	13.3	60.6	6.1	22.0	13.7	13.9	1.2	0.2	22.3	12.1	0.4	1.7	2.5	0.9	15.7	3.6	2.8	3.4	4.7	5.8	13.6	10.1	19	25	21	23	19	31	20	9	10	6	45	43	14	9	18	10	19	14	6	42	6	27	16	12
West Virginia	5.5	9.6	11.5	50.1	5.3	20.2	12.7	11.6	0.2	0.1	59.1	17.0	0.2	1.4	3.6	0.1	15.6	2.3	0.3	16.2	0.3	4.2	11.6	7.6	43	18	33	51	44	44	41	50	44	50	2	10	29	16	12	40	20	37	48	1	45	52	47	44
Wisconsin	6.0	9.0	12.5	63.7	5.7	21.9	14.9	13.5	0.8	0.2	56.0	17.0	1.5	2.3	2.2	1.0	37.8	2.0	2.4	4.4	7.1	5.1	14.1	11.0	27	31	23	10	38	34	7	19	18	6	11	10	4	4	21	9	1	41	11	35	5	39	6	6
Wyoming	6.7	10.2	15.9	62.3	6.1	23.2	13.6	13.6	2.3	0.4	51.8	19.6	0.6	1.7	10.5	1.5	22.7	4.2	2.8	8.4	3.5	6.6	14.9	11.4	8	14	13	15	19	15	24	15	8	1	16	3	11	9	1	6	11	5	6	16	8	14	2	5
