name	rooms_8	rooms_9	employed	grapi_20_24	rooms_median	ancestry_czech	occupied_owner	ancestry_german	ancestry_swedish	ancestry_norwegian	edu_bachelor_degree	value_200000_299999	edu_associate_degree	income_100000_149999	edu_highschool_higher	ancestry_subsaharan_african	rank_rooms_8	rank_rooms_9	rank_employed	rank_grapi_20_24	rank_rooms_median	rank_ancestry_czech	rank_occupied_owner	rank_ancestry_german	rank_ancestry_swedish	rank_ancestry_norwegian	rank_edu_bachelor_degree	rank_value_200000_299999	rank_edu_associate_degree	rank_income_100000_149999	rank_edu_highschool_higher	rank_ancestry_subsaharan_african
Nevada	7.6	7.8	58.9	13.2	5.2	0.3	57.1	10.0	1.1	1.2	16.6	28.6	8.4	15.4	86.9	1.3	42	46	35	28	45	22	49	30	25	16	44	7	33	28	45	13
New Hampshire	9.4	12.3	64.6	14.5	5.6	0.2	71.2	8.6	1.9	0.9	23.0	29.8	10.4	18.9	93.3	0.6	21	26	7	2	23	29	7	38	16	19	7	3	9	5	5	40
New Jersey	10.4	14.9	61.8	12.8	5.7	0.2	64.0	9.8	0.5	0.4	24.8	21.5	6.6	17.8	90.3	1.3	11	15	16	35	19	29	40	31	40	37	3	24	49	11	29	13
New Mexico	7.1	7.1	53.2	12.0	5.3	0.2	68.0	8.0	0.7	0.7	15.8	21.8	8.8	12.8	86.5	0.4	46	48	49	46	42	29	18	41	30	24	47	22	24	48	47	46
New York	7.5	9.8	59.3	11.6	5.0	0.2	54.1	9.3	0.6	0.4	20.9	13.5	8.9	16.0	87.2	1.4	43	38	32	50	48	29	51	33	34	37	22	48	21	23	42	10
North Carolina	8.4	11.7	57.9	13.5	5.5	0.2	65.7	9.6	0.6	0.5	20.4	20.5	9.9	13.7	88.5	1.3	35	32	38	19	32	29	37	32	34	31	23	30	15	40	35	13
North Dakota	9.4	17.9	66.9	14.3	5.6	1.4	62.5	36.9	3.9	23.7	22.1	26.5	14.1	17.0	93.1	1.5	21	6	1	3	23	6	44	2	2	1	13	12	1	16	7	8
Ohio	10.3	13.8	59.7	13.3	5.9	0.5	66.3	23.4	0.6	0.4	17.9	18.2	8.8	14.4	90.8	1.2	12	18	28	24	9	13	28	9	34	37	39	39	24	37	25	17
Oklahoma	7.5	8.3	57.4	13.4	5.5	0.4	66.1	12.3	0.6	0.6	17.2	16.2	8.2	13.3	88.6	0.6	43	43	41	22	32	14	34	24	34	27	43	44	34	43	34	40
Oregon	8.2	10.7	59.1	13.6	5.4	0.4	62.8	17.3	2.3	3.4	21.3	21.5	9.0	16.2	91.1	0.6	37	35	34	15	37	14	43	16	12	9	20	24	20	22	21	40
Pennsylvania	11.1	14.4	59.4	12.9	6.0	0.3	69.0	22.8	0.7	0.3	19.5	21.9	8.6	15.7	91.0	1.0	4	16	30	29	5	22	15	10	30	45	30	21	30	26	23	19
Puerto Rico	2.1	1.3	37.6	11.8	4.8	null	67.8	null	null	null	null	8.5	null	2.9	null	null	52	52	52	47	49		20					50		52		
Rhode Island	7.7	9.0	60.9	12.8	5.3	0.1	61.6	5.0	1.5	0.3	21.0	34.5	8.2	18.3	89.2	3.1	39	41	21	35	42	44	47	50	20	45	21	1	34	6	33	3
South Carolina	9.1	11.3	56.2	12.6	5.7	0.2	70.1	9.3	0.5	0.4	18.2	19.2	9.9	13.4	88.3	1.0	28	34	42	39	19	29	12	33	40	37	38	35	15	42	37	19
South Dakota	10.9	17.3	65.2	14.2	5.8	2.1	68.0	35.7	3.0	12.7	20.1	22.3	11.6	15.1	92.2	1.0	6	8	5	4	13	2	18	3	5	3	26	19	3	29	13	19
Tennessee	9.0	12.3	57.9	12.9	5.7	0.1	66.5	9.0	0.5	0.4	17.8	20.8	7.5	13.3	88.2	1.2	31	26	38	29	19	44	27	37	40	37	40	29	45	43	38	17
Texas	8.0	10.2	61.0	13.6	5.4	0.7	62.3	8.5	0.5	0.5	19.9	21.2	7.4	15.6	84.4	1.4	38	36	19	15	37	8	46	39	40	31	27	27	47	27	50	10
Utah	11.7	25.4	66.1	13.9	6.4	0.2	70.5	10.4	3.4	2.3	23.0	28.0	10.0	19.2	93.0	0.5	2	1	4	9	1	29	11	27	4	12	7	9	13	4	9	44
Vermont	9.4	12.1	62.8	12.9	5.6	0.3	71.3	10.2	1.6	0.9	23.5	28.4	8.8	16.4	93.5	0.6	21	29	14	29	23	22	6	29	18	19	6	8	24	19	3	40
Virginia	10.9	18.4	61.0	13.9	6.0	0.3	66.7	10.3	0.6	0.6	22.4	21.6	7.9	17.2	90.3	2.3	6	5	19	9	5	22	25	28	34	27	10	23	41	14	29	5
Washington	9.3	13.3	60.6	13.9	5.5	0.4	63.3	15.7	2.8	4.7	22.8	19.1	10.1	18.2	91.7	1.3	25	21	23	9	32	14	42	19	6	6	9	36	12	8	16	13
West Virginia	9.6	11.5	50.1	11.6	5.8	0.2	73.7	15.6	0.3	0.3	12.7	15.2	7.6	11.9	87.6	0.4	18	33	51	50	13	29	1	20	48	45	51	47	44	49	41	46
Wisconsin	9.0	12.5	63.7	13.5	5.6	1.5	67.1	37.8	2.4	7.1	20.3	24.6	11.0	16.3	92.6	0.5	31	23	10	19	23	4	22	1	11	5	24	17	6	21	10	44
Wyoming	10.2	15.9	62.3	13.6	5.8	0.6	71.0	22.7	2.8	3.5	17.7	28.8	11.4	17.5	93.6	0.3	14	13	15	15	13	11	9	11	6	8	41	5	5	13	2	48
