name	rooms_5	rooms_6	edu_9_12	age_10_14	age_15_19	race_black	class_unpaid	rent_500_999	units_mobile	job_prod_transpo	value_50000_less	ancestry_american	in_transportation	value_50000_99999	income_10000_14999	income_15000_24999	income_25000_34999	rank_rooms_5	rank_rooms_6	rank_edu_9_12	rank_age_10_14	rank_age_15_19	rank_race_black	rank_class_unpaid	rank_rent_500_999	rank_units_mobile	rank_job_prod_transpo	rank_value_50000_less	rank_ancestry_american	rank_in_transportation	rank_value_50000_99999	rank_income_10000_14999	rank_income_15000_24999	rank_income_25000_34999
Idaho	19.0	17.2	5.6	7.4	7.1	0.7	0.2	51.3	7.7	13.1	5.1	6.2	5.0	6.3	4.0	9.2	9.7	28	29	28	2	2	51	6	18	20	23	32	19	33	33	27	19	18
Illinois	19.3	17.6	5.7	6.5	6.5	14.1	0.2	37.2	2.4	14.7	6.1	3.7	6.7	13.4	3.7	8.1	8.1	26	26	27	21	22	15	6	30	43	12	31	38	3	21	37	32	36
Indiana	20.3	19.4	7.1	6.7	6.9	9.4	0.2	58.6	4.7	19.5	7.9	7.7	5.7	20.8	4.1	9.5	9.9	17	10	16	11	6	24	6	3	31	1	20	12	18	6	22	16	16
Iowa	17.3	17.0	4.6	6.6	6.7	3.7	0.2	58.1	3.6	17.0	8.4	4.5	5.0	19.6	4.0	8.6	9.3	38	34	39	16	12	38	6	5	37	7	16	30	33	9	27	25	22
Kansas	17.5	17.1	5.2	6.9	6.9	5.7	0.2	53.6	4.2	14.5	11.0	5.9	5.1	19.1	4.0	8.7	9.6	36	32	31	7	6	32	6	15	33	15	9	21	32	11	27	23	19
Kentucky	22.0	18.5	7.8	6.4	6.5	8.1	0.2	58.0	11.5	18.4	11.8	14.0	6.5	19.3	5.5	10.4	10.4	11	18	8	23	22	26	6	6	10	2	5	2	5	10	7	9	7
Louisiana	24.2	19.6	9.5	6.7	6.4	32.2	0.2	51.2	12.9	13.1	11.3	7.5	5.6	14.7	5.5	12.2	10.2	4	8	2	11	31	3	6	19	6	23	7	15	19	17	7	4	10
Maine	20.0	17.8	4.5	5.4	5.8	1.4	0.2	45.2	8.3	12.0	6.9	6.5	4.1	11.6	4.9	9.7	9.3	20	24	44	50	49	47	6	25	18	31	27	18	47	26	9	12	22
Maryland	13.6	16.6	5.6	6.3	6.3	29.9	0.2	15.4	1.3	8.9	2.6	4.6	4.8	3.4	2.6	5.6	6.1	51	36	28	30	34	5	6	48	45	51	46	28	35	41	52	50	51
Massachusetts	17.7	17.1	4.7	5.7	6.6	7.5	0.2	19.3	0.8	9.2	1.5	3.8	4.0	1.2	4.1	6.8	6.4	35	32	38	47	16	27	6	47	48	50	50	35	48	50	22	41	49
Michigan	20.0	19.4	6.0	6.2	6.6	13.6	0.2	50.8	5.4	16.6	10.9	5.0	4.4	16.4	4.1	9.2	9.6	20	10	24	35	16	16	6	20	28	10	10	23	42	13	22	19	19
Minnesota	14.4	14.6	3.9	6.6	6.4	6.4	0.2	37.0	3.2	13.6	4.3	3.0	4.7	7.0	3.4	7.0	7.5	49	45	51	16	31	30	6	31	41	22	36	47	38	31	42	38	39
Mississippi	24.2	20.6	10.0	7.0	7.0	37.7	0.3	56.7	14.8	17.9	16.0	10.7	6.5	24.3	6.7	12.3	11.0	4	2	1	4	4	2	2	10	3	3	2	4	5	2	2	2	3
Missouri	20.8	18.8	6.5	6.5	6.5	11.4	0.2	55.5	5.9	14.7	8.7	7.7	5.6	16.9	4.5	9.6	10.0	15	15	20	21	22	20	6	12	26	12	14	12	19	12	18	14	13
Montana	18.5	15.3	4.3	6.2	6.1	0.6	0.3	51.5	10.2	11.0	7.4	5.0	5.2	7.6	4.9	9.6	10.5	30	42	48	35	43	52	2	17	12	40	24	23	30	30	9	14	5
Nebraska	15.6	15.8	4.6	7.0	6.8	4.8	0.2	55.0	3.3	14.2	7.9	3.7	5.9	15.4	3.8	8.2	9.2	45	40	39	4	8	34	6	13	40	19	20	38	12	15	35	31	25
Nevada	20.5	17.9	7.7	6.6	6.0	9.3	0.2	31.8	5.3	12.0	4.0	3.5	6.2	3.8	3.5	8.5	9.1	16	23	10	16	45	25	6	35	29	31	40	42	9	39	40	29	26
New Hampshire	17.9	17.4	4.5	5.7	6.3	1.6	0.2	28.0	5.7	12.0	4.0	4.3	3.7	4.6	3.0	6.7	7.5	34	28	44	47	34	46	6	38	27	31	40	32	50	38	48	44	39
New Jersey	16.3	15.8	5.1	6.3	6.3	13.4	0.1	14.6	0.9	11.5	2.3	3.3	6.4	2.8	3.1	6.7	6.6	41	40	32	30	34	17	50	49	46	38	47	45	7	44	45	44	48
New Mexico	24.1	19.3	7.9	6.9	6.6	2.1	0.2	50.8	16.7	10.0	10.6	4.2	4.4	12.6	5.7	11.2	10.3	6	13	7	7	16	42	6	20	1	46	12	33	42	24	4	6	8
New York	16.2	14.8	6.8	5.9	6.1	15.4	0.1	22.7	2.3	9.8	4.3	4.9	5.5	9.3	4.6	8.1	7.6	43	44	19	43	43	13	50	44	44	48	36	25	21	29	17	32	38
North Carolina	22.3	18.2	7.2	6.4	6.6	21.4	0.2	47.0	12.4	14.4	7.5	10.4	4.8	14.2	4.8	9.7	10.0	8	20	14	23	16	9	6	24	8	16	23	6	35	19	14	12	13
North Dakota	15.5	13.5	4.2	6.3	6.3	3.2	0.3	57.0	7.1	12.8	9.7	2.6	5.4	11.7	3.9	8.0	8.4	46	49	49	30	34	40	2	9	22	26	13	49	27	25	31	37	35
Ohio	18.8	19.6	6.5	6.4	6.5	12.4	0.2	57.2	3.7	16.9	8.2	6.6	5.4	20.0	4.4	9.5	9.6	29	8	20	23	22	18	6	8	36	8	19	17	27	7	19	16	19
Oklahoma	24.6	20.6	7.6	6.9	6.7	7.3	0.2	58.5	9.2	14.3	11.8	7.3	5.5	21.2	4.7	10.7	10.3	2	2	12	7	12	28	6	4	13	17	5	16	21	5	16	8	8
Oregon	19.4	17.2	5.4	6.0	5.9	1.9	0.2	29.1	7.7	12.4	5.0	4.7	4.5	3.1	3.8	8.1	8.7	24	29	30	40	48	44	6	37	20	29	33	26	40	42	35	32	34
Pennsylvania	15.7	20.9	5.9	6.0	6.3	11.1	0.2	42.5	3.8	14.2	6.7	4.5	5.8	14.2	4.0	8.8	9.0	44	1	25	40	34	22	6	26	35	19	28	30	14	19	27	22	27
Puerto Rico	37.4	14.5	null	6.0	6.5	11.3	0.2	39.9	0.3	11.5	8.5	null	3.8	33.8	11.7	18.3	12.4	1	47		40	22	21	6	27	50	38	15		49	1	1	1	1
Rhode Island	20.2	18.5	6.1	5.6	6.8	6.5	0.2	31.2	0.9	11.9	2.2	3.4	4.2	1.5	4.9	8.1	7.8	19	18	22	49	8	29	6	36	46	34	48	44	46	49	9	32	37
South Carolina	22.7	19.4	8.0	6.3	6.5	26.4	0.2	48.3	15.8	15.7	10.7	10.2	5.3	15.4	4.8	9.9	10.2	7	10	6	30	22	7	6	23	2	11	11	7	29	15	14	11	10
South Dakota	16.3	15.0	5.0	6.8	6.6	2.1	0.3	57.8	8.6	13.8	11.2	4.0	4.3	12.9	4.1	8.7	10.0	41	43	34	10	16	42	2	7	16	21	8	34	44	22	22	23	13
Tennessee	21.1	19.2	7.6	6.4	6.3	16.7	0.2	48.6	8.9	16.7	7.4	12.3	6.8	15.5	4.9	10.0	10.2	13	14	12	23	34	11	6	22	14	9	24	3	2	14	9	10	10
Texas	20.3	18.0	7.8	7.4	7.1	12.1	0.2	36.6	6.9	12.8	8.3	5.4	6.0	14.7	3.9	8.4	8.9	17	22	8	2	2	19	6	32	23	26	18	22	11	17	31	30	30
Utah	14.3	12.9	4.6	8.3	7.9	1.2	0.2	35.8	3.1	12.9	3.2	4.6	5.2	2.0	2.7	6.1	7.2	50	51	39	1	1	49	6	33	42	25	44	28	30	47	50	49	41
Vermont	17.5	17.2	4.5	5.3	6.8	1.3	0.2	38.8	6.4	10.9	4.2	7.7	3.0	6.3	4.9	8.6	8.9	36	29	44	51	8	48	6	28	24	41	38	12	52	33	9	25	30
Virginia	16.9	16.5	5.8	6.3	6.5	19.0	0.2	26.0	4.9	10.5	4.2	9.4	4.5	6.3	3.3	7.0	7.1	39	37	26	30	22	10	6	41	30	43	38	10	40	33	44	38	43
Washington	16.5	16.1	4.8	6.1	6.0	3.9	0.2	22.3	6.0	11.9	3.4	3.8	5.5	2.7	3.1	6.5	6.9	40	39	36	38	45	37	6	45	25	34	42	35	21	46	45	47	45
West Virginia	21.9	20.6	8.3	5.9	6.0	3.6	0.1	59.1	14.6	14.3	16.2	10.6	5.8	24.3	5.9	12.3	10.8	12	2	4	43	45	39	50	2	4	17	1	5	14	2	3	2	4
Wisconsin	19.6	17.6	4.9	6.4	6.5	6.3	0.2	56.0	3.4	17.8	4.4	3.1	4.6	11.4	4.1	8.6	9.0	22	26	35	23	22	31	6	11	39	4	35	46	39	27	22	25	27
Wyoming	18.2	16.4	4.6	6.6	6.3	0.9	0.4	51.8	12.7	12.7	8.4	4.7	6.3	5.3	3.7	8.1	8.8	31	38	39	16	34	50	1	16	7	28	16	26	8	36	37	32	33
