name	rooms_6	edu_9_12	race_black	units_mobile	housing_vacant	in_manufacturing	job_prod_transpo	value_50000_less	ancestry_american	value_50000_99999	income_25000_34999	rank_rooms_6	rank_edu_9_12	rank_race_black	rank_units_mobile	rank_housing_vacant	rank_in_manufacturing	rank_job_prod_transpo	rank_value_50000_less	rank_ancestry_american	rank_value_50000_99999	rank_income_25000_34999
Illinois	17.6	5.7	14.1	2.4	9.1	11.7	14.7	6.1	3.7	13.4	8.1	26	27	15	43	47	16	12	31	38	21	36
Indiana	19.4	7.1	9.4	4.7	10.4	18.7	19.5	7.9	7.7	20.8	9.9	10	16	24	31	36	1	1	20	12	6	16
Iowa	17.0	4.6	3.7	3.6	9.5	14.7	17.0	8.4	4.5	19.6	9.3	34	39	38	37	43	5	7	16	30	9	22
Kansas	17.1	5.2	5.7	4.2	10.8	12.5	14.5	11.0	5.9	19.1	9.6	32	31	32	33	34	14	15	9	21	11	19
Kentucky	18.5	7.8	8.1	11.5	12.4	14.3	18.4	11.8	14.0	19.3	10.4	18	8	26	10	24	6	2	5	2	10	7
Louisiana	19.6	9.5	32.2	12.9	15.6	7.6	13.1	11.3	7.5	14.7	10.2	8	2	3	6	11	38	23	7	15	17	10
Maine	17.8	4.5	1.4	8.3	23.7	8.7	12.0	6.9	6.5	11.6	9.3	24	44	47	18	1	33	31	27	18	26	22
Maryland	16.6	5.6	29.9	1.3	9.3	4.5	8.9	2.6	4.6	3.4	6.1	36	28	5	45	45	47	51	46	28	41	51
Massachusetts	17.1	4.7	7.5	0.8	9.1	8.8	9.2	1.5	3.8	1.2	6.4	32	38	27	48	47	32	50	50	35	50	49
Michigan	19.4	6.0	13.6	5.4	13.7	18.6	16.6	10.9	5.0	16.4	9.6	10	24	16	28	21	2	10	10	23	13	19
Minnesota	14.6	3.9	6.4	3.2	10.2	13.4	13.6	4.3	3.0	7.0	7.5	45	51	30	41	37	8	22	36	47	31	39
Mississippi	20.6	10.0	37.7	14.8	16.1	13.2	17.9	16.0	10.7	24.3	11.0	2	1	2	3	9	11	3	2	4	2	3
Missouri	18.8	6.5	11.4	5.9	13.0	11.4	14.7	8.7	7.7	16.9	10.0	15	20	20	26	23	18	12	14	12	12	13
Montana	15.3	4.3	0.6	10.2	15.3	5.0	11.0	7.4	5.0	7.6	10.5	42	48	52	12	15	45	40	24	23	30	5
Nebraska	15.8	4.6	4.8	3.3	9.2	10.2	14.2	7.9	3.7	15.4	9.2	40	39	34	40	46	24	19	20	38	15	25
Nevada	17.9	7.7	9.3	5.3	10.9	4.8	12.0	4.0	3.5	3.8	9.1	23	10	25	29	32	46	31	40	42	39	26
New Hampshire	17.4	4.5	1.6	5.7	15.6	12.6	12.0	4.0	4.3	4.6	7.5	28	44	46	27	11	13	31	40	32	38	39
New Jersey	15.8	5.1	13.4	0.9	9.8	8.1	11.5	2.3	3.3	2.8	6.6	40	32	17	46	39	35	38	47	45	44	48
New Mexico	19.3	7.9	2.1	16.7	16.0	4.0	10.0	10.6	4.2	12.6	10.3	13	7	42	1	10	49	46	12	33	24	8
New York	14.8	6.8	15.4	2.3	11.3	6.0	9.8	4.3	4.9	9.3	7.6	44	19	13	44	31	43	48	36	25	29	38
North Carolina	18.2	7.2	21.4	12.4	14.0	12.1	14.4	7.5	10.4	14.2	10.0	20	14	9	8	20	15	16	23	6	19	13
North Dakota	13.5	4.2	3.2	7.1	14.8	6.7	12.8	9.7	2.6	11.7	8.4	49	49	40	22	17	42	26	13	49	25	35
Ohio	19.6	6.5	12.4	3.7	9.6	15.1	16.9	8.2	6.6	20.0	9.6	8	20	18	36	41	4	8	19	17	7	19
Oklahoma	20.6	7.6	7.3	9.2	14.2	9.6	14.3	11.8	7.3	21.2	10.3	2	12	28	13	19	27	17	5	16	5	8
Oregon	17.2	5.4	1.9	7.7	8.2	11.2	12.4	5.0	4.7	3.1	8.7	29	30	44	20	50	19	29	33	26	42	34
Pennsylvania	20.9	5.9	11.1	3.8	10.6	11.6	14.2	6.7	4.5	14.2	9.0	1	25	22	35	35	17	19	28	30	19	27
Puerto Rico	14.5	null	11.3	0.3	22.7	8.9	11.5	8.5	null	33.8	12.4	47		21	50	2	31	38	15		1	1
Rhode Island	18.5	6.1	6.5	0.9	11.6	10.6	11.9	2.2	3.4	1.5	7.8	18	22	29	46	29	20	34	48	44	49	37
South Carolina	19.4	8.0	26.4	15.8	15.4	13.4	15.7	10.7	10.2	15.4	10.2	10	6	7	2	13	8	11	11	7	15	10
South Dakota	15.0	5.0	2.1	8.6	12.3	10.0	13.8	11.2	4.0	12.9	10.0	43	34	42	16	25	25	21	8	34	22	13
Tennessee	19.2	7.6	16.7	8.9	11.9	12.9	16.7	7.4	12.3	15.5	10.2	14	12	11	14	27	12	9	24	3	14	10
Texas	18.0	7.8	12.1	6.9	10.9	8.4	12.8	8.3	5.4	14.7	8.9	22	8	19	23	32	34	26	18	22	17	30
Utah	12.9	4.6	1.2	3.1	9.6	10.0	12.9	3.2	4.6	2.0	7.2	51	39	49	42	41	25	25	44	28	47	41
Vermont	17.2	4.5	1.3	6.4	22.1	10.5	10.9	4.2	7.7	6.3	8.9	29	44	48	24	3	21	41	38	12	33	30
Virginia	16.5	5.8	19.0	4.9	10.0	7.1	10.5	4.2	9.4	6.3	7.1	37	26	10	30	38	39	43	38	10	33	43
Washington	16.1	4.8	3.9	6.0	7.8	9.5	11.9	3.4	3.8	2.7	6.9	39	36	37	25	51	29	34	42	35	46	45
West Virginia	20.6	8.3	3.6	14.6	17.8	8.0	14.3	16.2	10.6	24.3	10.8	2	4	39	4	5	36	17	1	5	2	4
Wisconsin	17.6	4.9	6.3	3.4	12.2	18.0	17.8	4.4	3.1	11.4	9.0	26	35	31	39	26	3	4	35	46	27	27
Wyoming	16.4	4.6	0.9	12.7	16.3	4.3	12.7	8.4	4.7	5.3	8.8	38	39	50	7	8	48	28	16	26	36	33
