name	age_60_64	age_65_74	race_white	age_62_over	age_65_over	race_native	class_unpaid	grapi_15_less	ancestry_welsh	in_agri_mining	ancestry_german	in_construction	job_construction	ancestry_scottish	ancestry_norwegian	class_selfemployed	income_25000_34999	edu_highschool_higher	ancestry_scottish_irish	rank_age_60_64	rank_age_65_74	rank_race_white	rank_age_62_over	rank_age_65_over	rank_race_native	rank_class_unpaid	rank_grapi_15_less	rank_ancestry_welsh	rank_in_agri_mining	rank_ancestry_german	rank_in_construction	rank_job_construction	rank_ancestry_scottish	rank_ancestry_norwegian	rank_class_selfemployed	rank_income_25000_34999	rank_edu_highschool_higher	rank_ancestry_scottish_irish
Indiana	6.3	9.2	82.3	19.4	15.7	0.2	0.2	15.4	0.6	1.2	20.6	6.2	8.7	1.7	0.5	4.5	9.9	89.3	0.8	32	36	17	35	37	44	6	16	18	34	13	38	36	23	31	49	16	32	27
Iowa	6.5	9.5	89.1	20.9	17.1	0.3	0.2	17.5	0.6	3.8	32.3	6.5	9.6	1.5	4.7	6.4	9.3	92.5	0.8	19	30	6	18	18	32	6	6	18	10	5	32	17	32	6	18	22	11	27
Kansas	6.3	9.0	83.0	19.5	15.8	0.8	0.2	16.0	0.8	3.1	24.1	6.4	9.5	1.9	1.0	6.1	9.6	91.4	1.0	32	42	15	34	33	18	6	13	12	13	7	36	18	19	18	23	19	18	22
Kentucky	6.5	9.8	86.2	20.1	16.4	0.2	0.2	18.0	0.6	1.9	13.1	6.1	9.0	1.9	0.3	5.2	10.4	87.2	1.3	19	21	9	27	27	44	6	4	18	25	22	39	26	19	45	38	7	42	11
Louisiana	6.4	9.3	61.2	19.1	15.4	0.6	0.2	13.8	0.3	3.7	6.7	8.1	11.1	1.0	0.2	6.2	10.2	85.9	0.7	25	34	45	42	41	22	6	30	46	11	45	5	6	47	51	21	10	48	34
Maine	7.8	12.3	93.7	25.1	20.6	0.7	0.2	12.4	0.9	2.4	7.8	7.3	10.8	4.5	0.8	8.4	9.3	93.2	1.5	1	1	1	1	1	21	6	39	9	19	42	9	9	1	22	3	22	6	5
Maryland	6.4	9.1	54.2	19.1	15.4	0.3	0.2	11.8	0.6	0.5	12.1	7.1	7.8	1.4	0.4	5.0	6.1	90.6	0.7	25	39	50	42	41	32	6	46	18	47	25	14	44	35	37	40	51	26	34
Massachusetts	6.5	9.5	76.6	20.4	16.5	0.2	0.2	13.4	0.4	0.4	5.6	5.8	6.6	2.0	0.5	5.7	6.4	91.1	0.6	19	30	26	25	25	44	6	33	38	49	49	46	51	16	31	28	49	21	38
Michigan	6.9	10.1	77.6	21.2	17.2	0.5	0.2	14.2	0.5	1.1	18.5	5.5	7.9	2.1	0.8	5.0	9.6	91.3	0.7	6	15	24	13	16	24	6	28	26	36	14	50	43	14	22	40	19	19	34
Minnesota	6.4	9.1	81.6	19.6	15.8	1.0	0.2	14.4	0.4	2.1	31.3	6.1	8.0	1.2	13.9	5.4	7.5	93.4	0.5	25	39	18	32	33	15	6	24	38	23	6	39	40	42	2	35	39	4	42
Mississippi	6.3	9.5	58.0	19.6	15.9	0.5	0.3	14.9	0.3	2.3	4.8	6.7	10.4	1.4	0.3	5.5	11.0	85.3	1.4	32	30	47	32	32	24	2	21	46	20	51	26	13	35	45	32	3	49	7
Missouri	6.5	9.7	81.3	20.7	16.9	0.4	0.2	15.6	0.6	1.7	22.3	6.5	8.8	1.7	0.7	5.6	10.0	90.6	1.1	19	24	20	22	20	28	6	14	18	26	12	32	31	23	24	30	13	26	16
Montana	7.3	11.3	87.8	22.9	18.7	6.2	0.3	17.4	1.0	6.4	24.1	8.2	11.8	3.0	8.7	8.6	10.5	94.0	1.5	4	4	8	7	7	5	2	7	6	3	7	2	4	7	4	2	5	1	5
Nebraska	6.3	8.9	85.3	19.4	15.7	0.9	0.2	18.0	0.5	4.4	32.4	7.0	9.9	1.4	1.9	6.2	9.2	91.6	0.8	32	44	11	35	37	16	6	4	26	7	4	19	16	35	14	21	25	17	27
Nevada	5.9	9.7	62.1	19.2	15.8	1.2	0.2	12.0	0.5	1.4	10.0	7.2	9.0	1.5	1.2	5.5	9.1	86.9	0.6	46	24	44	38	33	10	6	45	26	28	30	11	26	32	16	32	26	45	38
New Hampshire	7.4	10.9	92.0	22.3	18.1	0.2	0.2	12.1	0.8	0.8	8.6	6.9	8.7	4.1	0.9	6.6	7.5	93.3	1.2	3	8	4	8	10	44	6	43	12	44	38	22	36	4	19	14	39	5	13
New Jersey	6.4	9.2	65.5	19.9	16.2	0.3	0.1	12.2	0.3	0.3	9.8	5.9	7.0	1.0	0.4	4.6	6.6	90.3	0.4	25	36	41	30	31	32	50	41	46	51	31	44	49	47	37	47	48	29	48
New Mexico	6.5	10.4	70.0	21.2	17.4	9.3	0.2	15.1	0.5	4.0	8.0	7.2	10.8	1.4	0.7	6.5	10.3	86.5	0.8	19	11	33	13	14	2	6	18	26	9	41	11	9	35	24	16	8	47	27
New York	6.4	9.3	62.3	20.1	16.5	0.4	0.1	14.3	0.4	0.6	9.3	5.7	7.0	1.0	0.4	5.7	7.6	87.2	0.3	25	34	43	27	25	28	50	26	38	46	33	47	49	47	37	28	38	42	51
North Carolina	6.3	9.7	67.6	19.9	16.3	1.2	0.2	14.4	0.6	1.2	9.6	7.0	9.0	2.2	0.5	5.6	10.0	88.5	2.3	32	24	36	30	30	10	6	24	18	34	32	19	26	11	31	30	13	35	1
North Dakota	6.1	8.4	85.7	18.8	15.3	5.2	0.3	20.9	0.3	9.2	36.9	7.4	11.9	1.2	23.7	7.4	8.4	93.1	0.5	41	47	10	45	45	6	2	1	46	2	2	8	3	42	1	7	35	7	42
Ohio	6.7	9.9	80.5	20.9	17.0	0.2	0.2	16.4	1.0	1.0	23.4	5.6	7.4	1.8	0.4	4.8	9.6	90.8	0.9	12	18	21	18	19	44	6	12	6	38	9	48	46	21	37	44	19	25	25
Oklahoma	6.0	9.1	71.1	19.2	15.7	7.7	0.2	17.2	0.5	4.3	12.3	7.1	11.0	1.7	0.6	6.5	10.3	88.6	1.0	44	39	32	38	37	4	6	9	26	8	24	14	7	23	27	16	8	34	22
Oregon	6.7	10.7	82.6	21.6	17.6	1.1	0.2	11.4	1.0	3.1	17.3	6.5	8.9	2.8	3.4	7.1	8.7	91.1	1.2	12	10	16	11	12	13	6	47	6	13	16	32	29	8	9	9	34	21	13
Pennsylvania	6.9	10.3	79.4	22.3	18.3	0.2	0.2	15.2	1.2	1.3	22.8	6.0	8.0	1.4	0.3	5.0	9.0	91.0	1.1	6	13	22	8	9	44	6	17	3	31	10	43	40	35	45	40	27	23	16
Puerto Rico	6.6	11.2	60.0	24.3	20.5	0.2	0.2	12.4	null	1.3	null	5.6	9.1	null	null	10.0	12.4	null	null	15	7	46	2	2	44	6	39		31		48	24			1	1		
Rhode Island	6.9	9.8	79.0	21.2	17.3	0.4	0.2	13.3	0.3	0.5	5.0	6.1	7.5	1.7	0.3	4.9	7.8	89.2	0.5	6	21	23	13	15	28	6	34	46	47	50	39	45	23	45	43	37	33	42
South Carolina	6.6	10.8	66.5	21.6	17.7	0.3	0.2	13.7	0.5	0.9	9.3	6.9	9.2	2.2	0.4	5.5	10.2	88.3	2.2	15	9	39	11	11	32	6	31	26	42	33	22	22	11	37	32	10	37	2
South Dakota	6.6	9.7	83.6	20.7	16.7	8.5	0.3	19.8	0.5	6.4	35.7	7.1	10.8	1.2	12.7	7.9	10.0	92.2	0.6	15	24	14	22	24	3	2	2	26	3	3	14	9	42	3	5	13	13	38
Tennessee	6.4	9.8	76.7	20.1	16.4	0.3	0.2	14.3	0.6	1.0	9.0	6.6	8.7	2.1	0.4	6.8	10.2	88.2	2.1	25	21	25	27	27	32	6	26	18	38	37	29	36	14	37	11	10	38	3
Texas	5.3	7.6	69.2	15.6	12.5	0.5	0.2	13.0	0.4	2.8	8.5	8.6	10.5	1.3	0.5	6.8	8.9	84.4	0.9	50	50	35	49	49	24	6	37	38	15	39	1	12	40	31	11	30	50	25
Utah	4.6	6.7	85.1	13.7	11.1	1.1	0.2	14.2	1.9	1.5	10.4	7.2	8.8	4.2	2.3	4.8	7.2	93.0	0.8	52	52	12	52	52	13	6	28	1	27	27	11	31	3	12	44	41	9	27
Vermont	7.8	11.8	93.6	23.9	19.4	0.3	0.2	11.2	1.1	2.7	10.2	7.1	10.1	4.3	0.9	8.2	8.9	93.5	1.2	1	2	2	5	5	32	6	48	4	16	29	14	14	2	19	4	30	3	13
Virginia	6.2	9.2	66.3	18.9	15.4	0.3	0.2	13.1	0.7	0.8	10.3	6.6	8.0	2.0	0.6	4.8	7.1	90.3	1.4	39	36	40	44	41	32	6	35	17	44	28	29	40	16	27	44	43	29	7
Washington	6.3	9.4	73.5	19.2	15.4	1.2	0.2	12.1	0.9	2.5	15.7	7.0	9.4	2.7	4.7	5.8	6.9	91.7	1.1	32	33	30	38	41	10	6	43	9	18	19	19	20	9	6	27	45	16	16
West Virginia	7.3	11.8	92.5	24.3	19.9	0.2	0.1	17.0	0.9	3.6	15.6	6.5	10.9	2.0	0.3	4.2	10.8	87.6	1.8	4	2	3	2	4	44	50	10	9	12	20	32	8	16	45	52	4	41	4
Wisconsin	6.7	9.9	84.3	20.8	16.9	0.8	0.2	17.0	0.5	2.2	37.8	5.9	8.5	1.0	7.1	5.1	9.0	92.6	0.4	12	18	13	20	20	18	6	10	26	21	1	44	39	47	5	39	27	10	48
Wyoming	6.8	10.1	90.3	20.4	16.4	2.3	0.4	19.6	1.1	10.5	22.7	8.2	15.1	3.1	3.5	6.6	8.8	93.6	1.4	10	15	5	25	27	8	1	3	4	1	11	2	1	6	8	14	33	2	7
