name	rooms_6	rooms_7	rooms_8	age_85_over	rooms_median	class_private	housing_units	ancestry_irish	ancestry_swiss	ancestry_welsh	edu_highschool	ancestry_polish	ancestry_slovak	built_1940_1949	built_1950_1959	ancestry_italian	ancestry_russian	units_1_attached	ancestry_ukranian	ancestry_hungarian	built_1939_earlier	ancestry_lithuanian	rank_rooms_6	rank_rooms_7	rank_rooms_8	rank_age_85_over	rank_rooms_median	rank_class_private	rank_housing_units	rank_ancestry_irish	rank_ancestry_swiss	rank_ancestry_welsh	rank_edu_highschool	rank_ancestry_polish	rank_ancestry_slovak	rank_built_1940_1949	rank_built_1950_1959	rank_ancestry_italian	rank_ancestry_russian	rank_units_1_attached	rank_ancestry_ukranian	rank_ancestry_hungarian	rank_built_1939_earlier	rank_ancestry_lithuanian
Georgia	18.6	13.4	10.1	1.4	5.9	80.1	4329675	7.0	0.1	0.5	27.5	1.0	0.1	2.6	5.9	2.2	0.4	4.1	0.1	0.2	4.2	0.1	16	10	15	49	9	19	10	44	44	26	27	41	17	47	49	38	34	31	34	31	44	22
Hawaii	14.1	7.8	5.4	2.8	4.7	72.5	546571	4.4	0.1	0.3	27.3	0.9	0.0	3.5	8.5	2.1	0.4	9.0	0.1	0.2	3.5	0.1	48	50	50	1	51	47	43	51	44	46	28	44	40	39	33	41	34	8	34	31	46	22
Idaho	17.2	12.5	10.3	1.6	5.9	77.8	737411	9.1	0.7	1.4	26.7	1.3	0.0	3.8	6.1	3.1	0.5	3.3	0.3	0.2	8.3	0.1	29	22	12	45	9	36	41	34	3	2	30	36	40	35	47	31	31	41	16	31	31	22
Illinois	17.6	12.1	9.3	2.1	5.6	83.1	5373385	11.0	0.3	0.4	25.6	6.6	0.3	6.1	12.6	5.7	0.9	5.8	0.4	0.4	21.0	0.6	26	31	25	23	23	4	6	20	19	38	37	4	5	9	8	12	15	15	10	11	10	3
Indiana	19.4	13.7	9.8	2.0	5.8	84.5	2903720	10.4	0.6	0.6	33.2	3.0	0.3	5.7	10.9	2.7	0.3	3.7	0.1	0.5	16.8	0.1	10	6	17	26	13	1	17	24	5	18	5	16	5	12	14	35	42	37	34	7	17	22
Iowa	17.0	13.3	10.5	2.5	5.9	79.9	1407819	13.0	0.5	0.6	30.8	1.3	0.0	5.0	10.1	2.0	0.3	4.1	0.1	0.1	25.2	0.1	34	12	9	6	9	22	31	11	8	18	12	36	40	19	17	43	42	31	34	44	7	22
Kansas	17.1	13.5	10.5	2.3	6.0	77.8	1280376	11.3	0.4	0.8	25.8	1.3	0.0	5.5	12.6	2.1	0.6	4.7	0.1	0.2	16.2	0.1	32	8	9	11	5	36	34	17	10	12	35	36	40	13	8	41	27	22	34	31	18	22
Kentucky	18.5	12.8	8.7	1.8	5.6	80.3	1994554	11.2	0.2	0.6	32.6	0.9	0.1	4.3	9.1	2.0	0.2	2.6	0.1	0.2	9.6	0.1	18	16	33	34	23	16	26	18	24	18	7	44	17	29	25	43	47	46	34	31	29	22
Louisiana	19.6	12.3	7.7	1.7	5.4	78.4	2074664	6.5	0.1	0.3	33.3	0.5	0.0	4.0	9.3	4.3	0.2	2.7	0.0	0.1	6.7	0.0	8	25	39	40	37	31	25	46	44	46	4	50	40	33	24	18	47	44	50	44	37	46
Maine	17.8	12.1	8.3	2.6	5.4	77.9	746793	16.7	0.2	0.9	31.3	2.2	0.1	4.6	7.2	5.7	0.6	2.3	0.2	0.3	23.8	0.3	24	31	36	3	37	35	40	4	24	9	9	21	17	25	40	12	27	47	25	20	8	7
Maryland	16.6	13.5	11.4	2.0	6.2	73.1	2459650	9.8	0.2	0.6	24.2	2.9	0.2	5.2	11.3	4.8	1.1	21.3	0.3	0.4	11.6	0.3	36	8	3	26	3	46	20	30	24	18	41	17	7	16	13	16	9	2	16	11	25	7
Massachusetts	17.1	12.2	9.3	2.4	5.5	81.9	2913009	19.7	0.1	0.4	23.5	4.2	0.1	5.4	11.4	12.0	1.4	5.4	0.4	0.3	31.9	0.7	32	29	25	9	32	11	16	2	44	38	45	9	17	15	12	4	5	19	10	20	2	1
Michigan	19.4	13.2	9.5	2.2	5.8	84.2	4611913	10.2	0.2	0.5	28.5	8.0	0.2	7.5	14.7	4.5	0.6	4.6	0.4	0.8	14.6	0.3	10	13	19	16	13	2	9	25	24	26	20	2	7	3	1	17	27	25	10	5	21	7
Minnesota	14.6	12.7	11.0	2.2	6.1	82.3	2458030	10.0	0.4	0.4	24.2	4.3	0.1	4.5	9.7	2.2	0.7	7.4	0.3	0.2	16.1	0.1	45	19	5	16	4	8	21	29	10	38	41	8	17	26	21	38	24	9	16	31	19	22
Mississippi	20.6	13.9	8.6	1.7	5.6	75.7	1330867	6.8	0.0	0.3	30.1	0.4	0.0	3.2	7.4	1.8	0.1	1.2	0.0	0.1	4.5	0.0	2	4	34	40	23	43	33	45	51	46	17	51	40	42	37	45	49	52	50	44	42	46
Missouri	18.8	12.3	9.1	2.1	5.6	81.9	2804664	12.3	0.4	0.6	30.5	1.6	0.1	4.7	10.0	3.3	0.4	3.4	0.1	0.2	13.8	0.1	15	25	28	23	23	11	18	14	10	18	13	30	17	22	19	28	34	40	34	31	22	22
Montana	15.3	11.4	9.1	2.0	5.5	74.7	514956	13.6	0.5	1.0	28.1	1.9	0.1	4.7	9.0	3.6	0.8	3.9	0.3	0.3	13.6	0.1	42	41	28	26	32	45	44	9	8	6	24	24	17	22	26	24	19	35	16	20	23	22
Nebraska	15.8	13.1	10.7	2.2	6.0	79.5	844248	11.9	0.4	0.5	25.7	3.3	0.0	4.8	9.5	2.6	0.5	4.1	0.1	0.2	20.1	0.1	40	14	8	16	5	26	39	15	10	26	36	15	40	20	23	36	31	31	34	31	11	22
Nevada	17.9	11.1	7.6	1.5	5.2	82.4	1268533	8.1	0.3	0.5	27.9	1.8	0.1	1.1	2.8	5.2	0.8	4.7	0.2	0.4	1.1	0.1	23	44	42	48	45	7	35	39	19	26	26	26	17	52	52	14	19	22	25	11	52	22
New Hampshire	17.4	13.1	9.4	2.2	5.6	80.1	638611	20.6	0.2	0.8	27.3	4.0	0.1	3.7	6.9	10.1	0.9	5.5	0.4	0.3	19.8	0.5	28	14	21	16	23	19	42	1	24	12	28	11	17	37	42	7	15	18	10	20	13	4
New Jersey	15.8	12.3	10.4	2.3	5.7	81.6	3628732	13.3	0.2	0.3	26.7	5.3	0.4	7.1	14.7	15.0	1.7	9.7	0.7	1.0	18.1	0.3	40	25	11	11	19	13	11	10	24	46	30	6	4	6	1	3	3	7	3	2	15	7
New Mexico	19.3	12.0	7.1	2.0	5.3	70.7	943568	6.1	0.2	0.5	26.2	1.0	0.1	4.0	9.6	2.2	0.4	3.5	0.1	0.2	4.4	0.1	13	33	46	26	42	49	37	47	24	26	33	41	17	33	22	38	34	39	34	31	43	22
New York	14.8	10.1	7.5	2.4	5.0	78.4	8362971	11.1	0.2	0.4	25.5	4.4	0.2	8.0	14.6	11.9	1.8	5.3	0.7	0.7	31.7	0.2	44	48	43	9	48	31	4	19	24	38	38	7	7	2	4	5	2	20	3	6	3	14
North Carolina	18.2	12.3	8.4	1.8	5.5	80.3	4687122	8.0	0.2	0.6	25.5	1.4	0.1	3.4	6.9	3.2	0.4	4.3	0.2	0.3	5.1	0.1	20	25	35	34	32	16	8	40	24	18	38	35	17	41	42	29	34	28	25	20	39	22
North Dakota	13.5	10.9	9.4	2.3	5.6	76.2	376597	7.4	0.3	0.3	26.1	2.3	0.1	4.2	8.6	1.2	2.6	5.8	0.6	0.3	12.5	0.0	49	45	21	11	23	41	48	42	19	46	34	18	17	31	29	50	1	15	5	20	24	46
Ohio	19.6	14.3	10.3	2.2	5.9	82.8	5217090	12.7	0.6	1.0	32.8	3.6	0.9	6.1	14.0	6.1	0.6	4.6	0.4	1.5	20.0	0.2	8	3	12	16	9	5	7	13	5	6	6	12	2	9	5	10	27	25	10	1	12	14
Oklahoma	20.6	12.5	7.5	1.8	5.5	76.3	1740972	10.2	0.2	0.5	31.1	0.8	0.0	5.1	10.1	1.7	0.3	2.0	0.1	0.1	7.5	0.0	2	22	43	34	32	39	28	25	24	26	10	46	40	18	17	47	42	49	34	44	34	46
Oregon	17.2	11.7	8.2	2.1	5.4	78.9	1788855	11.0	0.7	1.0	22.7	1.6	0.1	5.2	7.9	3.7	1.0	4.7	0.5	0.4	11.2	0.1	29	39	37	23	37	28	27	20	3	6	47	30	17	16	35	23	13	22	7	11	26	22
Pennsylvania	20.9	14.5	11.1	2.6	6.0	84.1	5713345	15.5	0.6	1.2	34.2	6.0	1.4	7.2	13.5	11.2	1.3	18.6	0.8	0.9	25.9	0.5	1	2	4	3	5	3	5	6	5	3	2	5	1	4	6	6	7	3	1	3	5	4
Puerto Rico	14.5	4.3	2.1	2.5	4.8	68.9	1559976	null	null	null	null	null	null	3.5	8.6	null	null	11.5	null	null	2.0	null	47	52	52	6	49	51	29							39	29			5			49	
Rhode Island	18.5	11.8	7.7	2.5	5.3	82.0	469289	17.2	0.1	0.3	28.0	3.5	0.1	6.6	12.3	16.3	0.8	3.6	0.4	0.2	30.3	0.3	18	37	39	6	42	10	45	3	44	46	25	14	17	8	10	2	19	38	10	31	4	7
South Carolina	19.4	13.4	9.1	1.7	5.7	79.3	2319112	8.6	0.2	0.5	28.9	1.5	0.1	2.9	6.5	3.0	0.4	3.2	0.2	0.3	3.9	0.1	10	10	28	40	19	27	23	36	24	26	18	34	17	46	46	32	34	43	25	20	45	22
South Dakota	15.0	12.0	10.9	2.3	5.8	76.3	396817	10.1	0.4	0.5	30.2	1.6	0.1	4.1	8.7	1.2	1.1	3.8	0.2	0.1	17.4	0.0	43	33	6	11	13	39	47	27	10	26	16	30	17	32	27	50	9	36	25	44	16	46
Tennessee	19.2	12.8	9.0	1.8	5.7	79.7	2996127	9.3	0.2	0.6	31.8	1.1	0.1	4.5	8.7	2.3	0.3	3.3	0.1	0.2	5.8	0.1	14	16	31	34	19	24	15	33	24	18	8	40	17	26	27	37	42	41	34	31	38	22
Texas	18.0	11.4	8.0	1.4	5.4	79.7	11112975	6.1	0.1	0.4	24.7	1.0	0.0	3.2	7.7	1.8	0.3	2.7	0.1	0.1	3.5	0.1	22	41	38	49	37	24	2	47	44	38	40	41	40	42	36	45	42	44	34	44	46	22
Utah	12.9	11.7	11.7	1.1	6.4	80.4	1110369	5.9	1.1	1.9	22.8	0.8	0.0	3.2	6.8	2.8	0.4	6.7	0.1	0.2	6.8	0.1	51	39	2	51	1	15	36	49	1	1	46	46	40	42	44	33	34	13	34	31	36	22
Vermont	17.2	12.6	9.4	2.2	5.6	77.0	337214	16.5	0.3	1.1	28.3	3.6	0.2	3.0	6.0	7.3	1.1	4.2	0.3	0.5	25.5	0.4	29	21	21	16	23	38	49	5	19	4	22	12	7	45	48	9	9	29	16	7	6	6
Virginia	16.5	12.7	10.9	1.7	6.0	75.0	3537788	9.0	0.2	0.7	23.9	1.8	0.2	4.3	8.6	3.9	0.5	11.1	0.3	0.3	7.3	0.2	37	19	6	40	5	44	12	35	24	17	43	26	7	29	29	22	31	6	16	20	35	14
Washington	16.1	11.9	9.3	1.8	5.5	78.4	3150194	10.1	0.4	0.9	21.8	1.7	0.1	4.7	7.3	3.4	1.1	4.0	0.8	0.3	10.0	0.2	39	35	25	34	32	31	13	27	10	9	48	28	17	22	39	26	9	34	1	20	28	14
West Virginia	20.6	13.6	9.6	2.2	5.8	76.1	893615	12.9	0.2	0.9	40.0	1.6	0.2	7.2	10.6	4.3	0.4	2.2	0.1	0.5	15.8	0.1	2	7	18	16	13	42	38	12	24	9	1	30	7	4	16	18	34	48	34	7	20	22
Wisconsin	17.6	12.5	9.0	2.3	5.6	82.5	2709444	10.6	0.9	0.5	30.3	8.4	0.2	5.5	10.7	3.4	0.7	4.2	0.2	0.4	19.0	0.2	26	22	31	11	23	6	19	23	2	26	14	1	7	13	15	26	24	29	25	11	14	14
Wyoming	16.4	11.8	10.2	1.7	5.8	72.3	278495	11.5	0.4	1.1	28.6	1.7	0.1	4.8	8.6	3.2	0.8	4.6	0.2	0.3	11.2	0.1	38	37	14	40	13	48	52	16	10	4	19	28	17	20	29	29	19	25	25	20	26	22
