name	edu_9_12	age_10_14	age_15_19	age_35_44	age_45_54	race_black	in_information	rent_1000_1499	built_1990_1999	built_2000_2009	ancestry_american	in_transportation	rank_edu_9_12	rank_age_10_14	rank_age_15_19	rank_age_35_44	rank_age_45_54	rank_race_black	rank_in_information	rank_rent_1000_1499	rank_built_1990_1999	rank_built_2000_2009	rank_ancestry_american	rank_in_transportation
Michigan	6.0	6.2	6.6	11.7	12.9	13.6	1.3	28.1	13.3	9.9	5.0	4.4	24	35	16	46	15	16	49	25	31	44	23	42
Minnesota	3.9	6.6	6.4	12.7	12.4	6.4	1.6	31.2	13.5	13.7	3.0	4.7	51	16	31	15	30	30	25	18	29	26	47	38
Mississippi	10.0	7.0	7.0	12.5	12.3	37.7	1.2	21.8	17.3	16.8	10.7	6.5	1	4	4	21	33	2	51	46	11	12	4	5
Missouri	6.5	6.5	6.5	12.2	12.3	11.4	1.8	25.4	14.3	13.0	7.7	5.6	20	21	22	32	33	20	15	37	23	28	12	19
Montana	4.3	6.2	6.1	12.0	11.4	0.6	1.6	25.2	13.9	14.4	5.0	5.2	48	35	43	40	47	52	25	38	27	21	23	30
Nebraska	4.6	7.0	6.8	12.5	11.5	4.8	1.8	25.6	11.6	11.1	3.7	5.9	39	4	8	21	44	34	15	36	39	37	38	12
Nevada	7.7	6.6	6.0	13.3	13.0	9.3	1.5	41.0	26.7	26.6	3.5	6.2	10	16	45	7	13	25	36	2	1	1	42	9
New Hampshire	4.5	5.7	6.3	11.5	14.0	1.6	1.9	39.8	10.7	11.6	4.3	3.7	44	47	34	50	1	46	12	3	43	34	32	50
New Jersey	5.1	6.3	6.3	12.8	13.9	13.4	2.6	37.8	9.7	8.8	3.3	6.4	32	30	34	13	2	17	5	7	46	46	45	7
New Mexico	7.9	6.9	6.6	12.1	11.5	2.1	1.4	27.4	17.7	14.7	4.2	4.4	7	7	16	36	44	42	46	28	10	20	33	42
New York	6.8	5.9	6.1	12.4	13.1	15.4	2.8	26.5	6.3	6.1	4.9	5.5	19	43	43	25	11	13	3	31	51	51	25	21
North Carolina	7.2	6.4	6.6	12.6	13.2	21.4	1.7	31.4	19.7	18.8	10.4	4.8	14	23	16	17	8	9	20	17	4	6	6	35
North Dakota	4.2	6.3	6.3	11.9	10.6	3.2	1.2	22.3	10.1	11.0	2.6	5.4	49	30	34	43	51	40	51	45	45	38	49	27
Ohio	6.5	6.4	6.5	12.0	12.7	12.4	1.5	23.4	11.8	9.4	6.6	5.4	20	23	22	40	24	18	36	42	36	45	17	27
Oklahoma	7.6	6.9	6.7	12.5	11.7	7.3	1.6	23.2	11.7	13.2	7.3	5.5	12	7	12	21	42	28	25	43	38	27	16	21
Oregon	5.4	6.0	5.9	13.4	12.3	1.9	1.7	37.7	16.9	13.9	4.7	4.5	30	40	48	5	33	44	20	8	14	24	26	40
Pennsylvania	5.9	6.0	6.3	11.7	12.9	11.1	1.6	30.6	9.6	8.1	4.5	5.8	25	40	34	46	15	22	25	20	47	48	30	14
Puerto Rico	null	6.0	6.5	12.3	13.1	11.3	1.6	5.8	15.3	12.3	null	3.8		40	22	27	11	21	25	52	19	30		49
Rhode Island	6.1	5.6	6.8	11.7	13.2	6.5	1.5	34.7	7.8	5.9	3.4	4.2	22	49	8	46	8	29	36	13	48	52	44	46
South Carolina	8.0	6.3	6.5	12.1	12.7	26.4	1.5	29.9	19.1	18.8	10.2	5.3	6	30	22	36	24	7	36	23	5	6	7	29
South Dakota	5.0	6.8	6.6	11.9	11.0	2.1	1.5	18.7	12.8	13.9	4.0	4.3	34	10	16	43	49	42	36	49	33	24	34	44
Tennessee	7.6	6.4	6.3	12.5	13.0	16.7	1.6	28.2	17.8	16.1	12.3	6.8	12	23	34	21	13	11	25	24	8	13	3	2
Texas	7.8	7.4	7.1	13.6	12.4	12.1	1.7	36.5	15.1	18.7	5.4	6.0	8	2	2	4	30	19	20	11	20	8	22	11
Utah	4.6	8.3	7.9	13.7	10.3	1.2	2.0	37.4	17.2	19.4	4.6	5.2	39	1	1	3	52	49	9	9	12	5	28	30
Vermont	4.5	5.3	6.8	11.3	12.9	1.3	1.7	32.7	10.8	10.8	7.7	3.0	44	51	8	52	15	48	20	16	42	42	12	52
Virginia	5.8	6.3	6.5	13.0	13.2	19.0	1.9	30.1	15.8	14.9	9.4	4.5	26	30	22	10	8	10	12	22	18	18	10	40
Washington	4.8	6.1	6.0	13.4	12.4	3.9	2.2	31.1	16.7	15.0	3.8	5.5	36	38	45	5	30	37	7	19	17	17	35	21
West Virginia	8.3	5.9	6.0	12.0	12.9	3.6	1.5	16.1	13.5	11.3	10.6	5.8	4	43	45	40	15	39	36	51	29	35	5	14
Wisconsin	4.9	6.4	6.5	12.2	12.7	6.3	1.6	26.5	14.0	12.3	3.1	4.6	35	23	22	32	24	31	25	31	26	30	46	39
Wyoming	4.6	6.6	6.3	12.6	11.4	0.9	1.6	24.9	11.8	14.8	4.7	6.3	39	16	34	17	47	50	25	39	36	19	26	8
