name	rooms_5	rooms_6	race_mixed	race_native	rent_500_999	grapi_15_less	value_50000_less	units_boat_rv_van	value_50000_99999	income_35000_49999	value_100000_149000	rank_rooms_5	rank_rooms_6	rank_race_mixed	rank_race_native	rank_rent_500_999	rank_grapi_15_less	rank_value_50000_less	rank_units_boat_rv_van	rank_value_50000_99999	rank_income_35000_49999	rank_value_100000_149000
New York	16.2	14.8	4.7	0.4	22.7	14.3	4.3	0.0	9.3	10.4	10.4	43	44	20	28	44	26	36	30	29	43	32
North Carolina	22.3	18.2	3.6	1.2	47.0	14.4	7.5	0.1	14.2	13.6	16.6	8	20	34	10	24	24	23	13	19	8	16
North Dakota	15.5	13.5	3.1	5.2	57.0	20.9	9.7	0.0	11.7	11.8	12.2	46	49	41	6	9	1	13	30	25	34	27
Ohio	18.8	19.6	3.6	0.2	57.2	16.4	8.2	0.0	20.0	13.3	21.2	29	8	34	44	8	12	19	30	7	16	3
Oklahoma	24.6	20.6	8.7	7.7	58.5	17.2	11.8	0.2	21.2	14.1	19.9	2	2	4	4	4	9	5	3	5	2	8
Oregon	19.4	17.2	6.2	1.1	29.1	11.4	5.0	0.3	3.1	12.2	4.5	24	29	11	13	37	47	33	2	42	31	47
Pennsylvania	15.7	20.9	3.4	0.2	42.5	15.2	6.7	0.0	14.2	12.1	15.6	44	1	37	44	26	17	28	30	19	32	20
Puerto Rico	37.4	14.5	9.7	0.2	39.9	12.4	8.5	0.0	33.8	12.0	29.1	1	47	2	44	27	39	15	30	1	33	1
Rhode Island	20.2	18.5	4.9	0.4	31.2	13.3	2.2	0.0	1.5	10.8	5.2	19	18	14	28	36	34	48	30	49	40	44
South Carolina	22.7	19.4	3.0	0.3	48.3	13.7	10.7	0.1	15.4	13.5	16.0	7	10	42	32	23	31	11	13	15	11	18
South Dakota	16.3	15.0	3.4	8.5	57.8	19.8	11.2	0.1	12.9	13.6	15.3	41	43	37	3	7	2	8	13	22	8	22
Tennessee	21.1	19.2	2.9	0.3	48.6	14.3	7.4	0.1	15.5	13.9	16.6	13	14	44	32	22	26	24	13	14	5	16
Texas	20.3	18.0	7.0	0.5	36.6	13.0	8.3	0.2	14.7	12.3	14.7	17	22	9	24	32	37	18	3	17	28	24
Utah	14.3	12.9	4.2	1.1	35.8	14.2	3.2	0.1	2.0	11.8	5.5	50	51	23	13	33	28	44	13	47	34	43
Vermont	17.5	17.2	2.7	0.3	38.8	11.2	4.2	0.0	6.3	12.3	12.0	36	29	48	32	28	48	38	30	33	28	28
Virginia	16.9	16.5	4.8	0.3	26.0	13.1	4.2	0.0	6.3	10.8	9.1	39	37	15	32	41	35	38	30	33	40	36
Washington	16.5	16.1	7.1	1.2	22.3	12.1	3.4	0.2	2.7	10.8	4.6	40	39	8	10	45	43	42	3	46	40	46
West Virginia	21.9	20.6	2.4	0.2	59.1	17.0	16.2	0.1	24.3	14.2	18.1	12	2	50	44	2	10	1	13	2	1	11
Wisconsin	19.6	17.6	3.4	0.8	56.0	17.0	4.4	0.0	11.4	13.0	18.5	22	26	37	18	11	10	35	30	27	25	10
Wyoming	18.2	16.4	3.9	2.3	51.8	19.6	8.4	0.2	5.3	12.3	9.9	31	38	27	8	16	3	16	3	36	28	33
