name	rooms_7	rent_500_999	class_private	ancestry_swiss	ancestry_welsh	edu_highschool	ancestry_slovak	built_1950_1959	in_manufacturing	job_prod_transpo	value_50000_99999	ancestry_hungarian	value_100000_149000	rank_rooms_7	rank_rent_500_999	rank_class_private	rank_ancestry_swiss	rank_ancestry_welsh	rank_edu_highschool	rank_ancestry_slovak	rank_built_1950_1959	rank_in_manufacturing	rank_job_prod_transpo	rank_value_50000_99999	rank_ancestry_hungarian	rank_value_100000_149000
New York	10.1	22.7	78.4	0.2	0.4	25.5	0.2	14.6	6.0	9.8	9.3	0.7	10.4	48	44	31	24	38	38	7	4	43	48	29	6	32
North Carolina	12.3	47.0	80.3	0.2	0.6	25.5	0.1	6.9	12.1	14.4	14.2	0.3	16.6	25	24	16	24	18	38	17	42	15	16	19	20	16
North Dakota	10.9	57.0	76.2	0.3	0.3	26.1	0.1	8.6	6.7	12.8	11.7	0.3	12.2	45	9	41	19	46	34	17	29	42	26	25	20	27
Ohio	14.3	57.2	82.8	0.6	1.0	32.8	0.9	14.0	15.1	16.9	20.0	1.5	21.2	3	8	5	5	6	6	2	5	4	8	7	1	3
Oklahoma	12.5	58.5	76.3	0.2	0.5	31.1	0.0	10.1	9.6	14.3	21.2	0.1	19.9	22	4	39	24	26	10	40	17	27	17	5	44	8
Oregon	11.7	29.1	78.9	0.7	1.0	22.7	0.1	7.9	11.2	12.4	3.1	0.4	4.5	39	37	28	3	6	47	17	35	19	29	42	11	47
Pennsylvania	14.5	42.5	84.1	0.6	1.2	34.2	1.4	13.5	11.6	14.2	14.2	0.9	15.6	2	26	3	5	3	2	1	6	17	19	19	3	20
Puerto Rico	4.3	39.9	68.9	null	null	null	null	8.6	8.9	11.5	33.8	null	29.1	52	27	51					29	31	38	1		1
Rhode Island	11.8	31.2	82.0	0.1	0.3	28.0	0.1	12.3	10.6	11.9	1.5	0.2	5.2	37	36	10	44	46	25	17	10	20	34	49	31	44
South Carolina	13.4	48.3	79.3	0.2	0.5	28.9	0.1	6.5	13.4	15.7	15.4	0.3	16.0	10	23	27	24	26	18	17	46	8	11	15	20	18
South Dakota	12.0	57.8	76.3	0.4	0.5	30.2	0.1	8.7	10.0	13.8	12.9	0.1	15.3	33	7	39	10	26	16	17	27	25	21	22	44	22
Tennessee	12.8	48.6	79.7	0.2	0.6	31.8	0.1	8.7	12.9	16.7	15.5	0.2	16.6	16	22	24	24	18	8	17	27	12	9	14	31	16
Texas	11.4	36.6	79.7	0.1	0.4	24.7	0.0	7.7	8.4	12.8	14.7	0.1	14.7	41	32	24	44	38	40	40	36	34	26	17	44	24
Utah	11.7	35.8	80.4	1.1	1.9	22.8	0.0	6.8	10.0	12.9	2.0	0.2	5.5	39	33	15	1	1	46	40	44	25	25	47	31	43
Vermont	12.6	38.8	77.0	0.3	1.1	28.3	0.2	6.0	10.5	10.9	6.3	0.5	12.0	21	28	38	19	4	22	7	48	21	41	33	7	28
Virginia	12.7	26.0	75.0	0.2	0.7	23.9	0.2	8.6	7.1	10.5	6.3	0.3	9.1	19	41	44	24	17	43	7	29	39	43	33	20	36
Washington	11.9	22.3	78.4	0.4	0.9	21.8	0.1	7.3	9.5	11.9	2.7	0.3	4.6	35	45	31	10	9	48	17	39	29	34	46	20	46
West Virginia	13.6	59.1	76.1	0.2	0.9	40.0	0.2	10.6	8.0	14.3	24.3	0.5	18.1	7	2	42	24	9	1	7	16	36	17	2	7	11
Wisconsin	12.5	56.0	82.5	0.9	0.5	30.3	0.2	10.7	18.0	17.8	11.4	0.4	18.5	22	11	6	2	26	14	7	15	3	4	27	11	10
Wyoming	11.8	51.8	72.3	0.4	1.1	28.6	0.1	8.6	4.3	12.7	5.3	0.3	9.9	37	16	48	10	4	19	17	29	48	28	36	20	33
