name	age_5_9	rooms_9	employed	age_10_14	in_finance	age_5_under	age_under18	grapi_15_19	rooms_median	grapi_15_less	ancestry_czech	ancestry_danish	ancestry_german	ancestry_swedish	income_50000_74999	value_100000_149000	value_150000_199999	rank_age_5_9	rank_rooms_9	rank_employed	rank_age_10_14	rank_in_finance	rank_age_5_under	rank_age_under18	rank_grapi_15_19	rank_rooms_median	rank_grapi_15_less	rank_ancestry_czech	rank_ancestry_danish	rank_ancestry_german	rank_ancestry_swedish	rank_income_50000_74999	rank_value_100000_149000	rank_value_150000_199999
Georgia	6.5	15.3	59.2	7.0	6.4	6.2	23.8	13.5	5.9	13.5	0.1	0.1	6.4	0.4	17.6	15.1	17.1	11	14	33	4	22	14	9	26	9	32	44	40	46	46	31	23	15
Hawaii	5.9	6.1	58.7	5.9	6.6	6.2	21.3	10.8	4.7	11.1	0.1	0.2	5.8	0.6	16.1	1.5	1.9	36	51	36	43	19	14	38	51	51	49	44	28	48	34	43	51	51
Idaho	7.1	16.3	60.2	7.4	5.7	6.5	25.3	14.4	5.9	15.0	0.3	1.9	16.6	2.8	20.9	11.9	16.3	3	11	26	2	32	8	3	12	9	20	22	3	18	6	1	29	26
Illinois	6.0	13.0	61.2	6.5	7.3	5.9	22.5	13.9	5.6	14.6	0.8	0.3	17.1	1.9	16.7	14.4	15.6	27	22	18	21	9	30	23	16	23	22	7	22	17	16	40	26	30
Indiana	6.5	13.5	60.7	6.7	5.2	6.2	23.5	14.0	5.8	15.4	0.2	0.2	20.6	0.8	19.2	21.7	18.2	11	19	22	11	44	14	11	15	13	16	29	28	13	28	3	2	6
Iowa	6.4	16.0	64.3	6.6	7.8	6.2	23.1	14.5	5.9	17.5	1.6	1.6	32.3	2.5	19.1	20.4	17.2	15	12	8	16	6	14	17	9	9	6	3	5	5	10	5	4	14
Kansas	6.8	16.6	63.2	6.9	6.3	6.5	24.2	15.1	6.0	16.0	0.7	0.5	24.1	2.0	18.7	16.9	16.4	7	9	13	7	24	8	7	5	5	13	8	17	7	14	9	15	25
Kentucky	6.2	12.2	55.9	6.4	5.7	6.1	22.6	14.4	5.6	18.0	0.1	0.1	13.1	0.4	18.0	20.0	17.4	19	28	44	23	32	19	22	12	23	4	44	40	22	46	26	7	11
Louisiana	6.4	8.3	54.9	6.7	5.1	6.5	23.5	11.5	5.4	13.8	0.1	0.1	6.7	0.3	16.3	16.0	19.0	15	43	46	11	45	8	11	48	37	30	44	40	45	48	41	18	3
Maine	5.1	10.0	60.3	5.4	6.3	4.8	18.7	13.3	5.4	12.4	0.2	0.4	7.8	1.6	18.5	14.7	17.4	48	37	25	50	24	49	50	30	37	39	29	18	42	18	12	24	11
Maryland	6.1	20.7	63.5	6.3	6.1	6.0	22.2	12.9	6.2	11.8	0.3	0.2	12.1	0.5	15.2	5.8	9.2	24	2	12	30	28	25	27	38	3	46	22	28	25	40	47	42	44
Massachusetts	5.3	12.0	63.7	5.7	7.3	5.2	19.8	12.5	5.5	13.4	0.2	0.2	5.6	1.5	13.9	3.1	6.4	45	30	10	47	9	46	46	42	32	33	29	28	49	20	50	49	49
Michigan	5.9	13.5	57.7	6.2	5.6	5.7	21.7	13.3	5.8	14.2	0.4	0.4	18.5	1.3	18.2	17.5	17.1	36	19	40	35	36	38	36	30	13	28	14	18	14	23	22	14	15
Minnesota	6.5	19.8	66.5	6.6	7.3	6.3	23.2	13.7	6.1	14.4	1.5	1.2	31.3	7.3	17.4	10.9	16.6	11	3	3	16	9	12	15	20	4	24	4	7	6	1	35	31	19
Mississippi	6.4	9.2	52.7	7.0	4.5	6.2	23.7	11.9	5.6	14.9	0.1	0.1	4.8	0.3	17.0	17.6	16.2	15	39	50	4	49	14	10	46	23	21	44	40	51	48	39	13	27
Missouri	6.1	12.5	59.8	6.5	7.1	6.1	22.5	15.0	5.6	15.6	0.4	0.3	22.3	0.9	18.5	18.6	18.0	24	23	27	21	13	19	23	6	23	14	14	22	12	26	12	9	7
Montana	5.9	14.3	60.5	6.2	5.4	5.8	21.5	13.1	5.5	17.4	0.7	1.1	24.1	2.7	19.2	9.2	13.5	36	17	24	35	41	33	37	37	32	7	8	8	7	9	3	35	37
Nebraska	6.9	18.8	66.6	7.0	7.6	6.8	24.7	15.3	6.0	18.0	4.2	2.0	32.4	3.7	19.3	20.3	19.4	6	4	2	4	8	5	5	3	5	4	1	2	4	3	2	5	1
Nevada	6.2	7.8	58.9	6.6	5.6	6.1	22.7	13.2	5.2	12.0	0.3	0.6	10.0	1.1	18.5	6.2	10.5	19	46	35	16	36	19	21	34	45	45	22	15	30	25	12	41	40
New Hampshire	5.1	12.3	64.6	5.7	6.3	4.7	19.0	13.9	5.6	12.1	0.2	0.3	8.6	1.9	17.1	7.2	13.0	48	26	7	47	24	50	48	16	23	43	29	22	38	16	37	39	38
New Jersey	6.0	14.9	61.8	6.3	8.5	5.8	22.0	12.9	5.7	12.2	0.2	0.2	9.8	0.5	14.5	5.1	9.2	27	15	16	30	4	33	31	38	19	41	29	28	31	40	49	45	44
New Mexico	6.3	7.1	53.2	6.9	4.8	5.9	23.1	13.3	5.3	15.1	0.2	0.3	8.0	0.7	17.8	15.6	18.8	18	48	49	7	47	30	17	30	42	18	29	22	41	30	29	20	4
New York	5.6	9.8	59.3	5.9	8.1	5.8	20.9	11.9	5.0	14.3	0.2	0.2	9.3	0.6	15.1	10.4	9.5	41	38	32	43	5	33	40	46	48	26	29	28	33	34	48	32	43
North Carolina	6.0	11.7	57.9	6.4	6.7	5.8	22.2	13.7	5.5	14.4	0.2	0.2	9.6	0.6	18.0	16.6	16.6	27	32	38	23	17	33	27	20	32	24	29	28	32	34	26	16	19
North Dakota	6.6	17.9	66.9	6.3	5.7	7.0	23.4	16.4	5.6	20.9	1.4	0.9	36.9	3.9	18.7	12.2	16.5	10	6	1	30	32	3	13	1	23	1	6	10	2	2	9	27	24
Ohio	6.0	13.8	59.7	6.4	6.5	5.9	22.2	14.5	5.9	16.4	0.5	0.1	23.4	0.6	18.4	21.2	17.7	27	18	28	23	21	30	27	9	9	12	13	40	9	34	16	3	9
Oklahoma	6.7	8.3	57.4	6.9	5.5	6.6	24.2	14.5	5.5	17.2	0.4	0.2	12.3	0.6	18.5	19.9	17.6	8	43	41	7	39	7	7	9	32	9	14	28	24	34	12	8	10
Oregon	5.8	10.7	59.1	6.0	5.5	5.5	20.8	12.4	5.4	11.4	0.4	0.9	17.3	2.3	18.1	4.5	7.9	39	35	34	40	39	42	41	43	37	47	14	10	16	12	25	47	46
Pennsylvania	5.6	14.4	59.4	6.0	6.6	5.5	20.7	13.8	6.0	15.2	0.3	0.1	22.8	0.7	17.6	15.6	17.1	41	16	30	40	19	42	42	19	5	17	22	40	10	30	31	20	15
Puerto Rico	5.0	1.3	37.6	6.0	5.3	4.0	18.8	11.2	4.8	12.4	null	null	null	null	10.2	29.1	15.2	51	52	52	40	42	52	49	50	49	39					52	1	32
Rhode Island	5.2	9.0	60.9	5.6	6.7	5.2	19.4	13.4	5.3	13.3	0.1	0.1	5.0	1.5	15.8	5.2	13.9	47	41	21	49	17	46	47	29	42	34	44	40	50	20	44	44	36
South Carolina	6.0	11.3	56.2	6.3	5.7	5.7	21.8	13.2	5.7	13.7	0.2	0.1	9.3	0.5	18.2	16.0	16.6	27	34	42	30	32	38	35	34	19	31	29	40	33	40	22	18	19
South Dakota	7.0	17.3	65.2	6.8	7.3	6.8	24.5	15.6	5.8	19.8	2.1	1.8	35.7	3.0	19.1	15.3	18.4	4	8	5	10	9	5	6	2	13	2	2	4	3	5	5	22	5
Tennessee	6.0	12.3	57.9	6.4	5.9	6.0	22.3	13.5	5.7	14.3	0.1	0.1	9.0	0.5	18.4	16.6	16.8	27	26	38	23	31	25	25	26	19	26	44	40	37	40	16	16	18
Texas	7.0	10.2	61.0	7.4	6.8	7.0	25.8	13.6	5.4	13.0	0.7	0.2	8.5	0.5	17.6	14.7	15.8	4	36	19	2	16	3	2	24	37	37	8	28	39	40	31	24	29
Utah	8.3	25.4	66.1	8.3	7.1	7.9	29.4	15.2	6.4	14.2	0.2	4.6	10.4	3.4	19.1	5.5	10.1	1	1	4	1	13	1	1	4	1	28	29	1	27	4	5	43	42
Vermont	5.1	12.1	62.8	5.3	4.8	4.7	18.5	12.8	5.6	11.2	0.3	0.4	10.2	1.6	18.3	12.0	18.0	48	29	14	51	47	50	51	40	23	48	22	18	29	18	19	28	7
Virginia	6.0	18.4	61.0	6.3	6.3	6.0	22.0	13.9	6.0	13.1	0.3	0.2	10.3	0.6	16.3	9.1	12.3	27	5	19	30	24	25	31	16	5	35	22	28	28	34	41	36	39
Washington	6.2	13.3	60.6	6.1	5.3	6.1	22.0	13.7	5.5	12.1	0.4	0.9	15.7	2.8	17.1	4.6	7.1	19	21	23	38	42	19	31	20	32	43	14	10	19	6	37	46	47
West Virginia	5.5	11.5	50.1	5.9	4.2	5.3	20.2	12.7	5.8	17.0	0.2	0.1	15.6	0.3	17.9	18.1	16.0	43	33	51	43	51	44	44	41	13	10	29	40	20	48	28	11	28
Wisconsin	6.0	12.5	63.7	6.4	6.1	5.7	21.9	14.9	5.6	17.0	1.5	1.0	37.8	2.4	18.9	18.5	19.2	27	23	10	23	28	38	34	7	23	10	4	9	1	11	8	10	2
Wyoming	6.7	15.9	62.3	6.6	4.5	6.1	23.2	13.6	5.8	19.6	0.6	1.5	22.7	2.8	18.2	9.9	17.4	8	13	15	16	49	19	15	24	13	3	11	6	11	6	22	33	11
