name	age_5_9	rooms_1	rooms_2	rooms_3	rooms_4	age_25_34	units_3_4	class_govt	race_mixed	unemployed	age_5_under	age_under18	grapi_15_19	grapi_20_24	race_native	income_median	housing_vacant	rent_1500_1999	rent_2000_2499	built_1970_1979	built_1980_1989	in_public_admin	job_construction	in_transportation	units_boat_rv_van	value_200000_299999	value_300000_499999	edu_college_nodegree	income_100000_149999	income_150000_199999	edu_highschool_higher	rank_age_5_9	rank_rooms_1	rank_rooms_2	rank_rooms_3	rank_rooms_4	rank_age_25_34	rank_units_3_4	rank_class_govt	rank_race_mixed	rank_unemployed	rank_age_5_under	rank_age_under18	rank_grapi_15_19	rank_grapi_20_24	rank_race_native	rank_income_median	rank_housing_vacant	rank_rent_1500_1999	rank_rent_2000_2499	rank_built_1970_1979	rank_built_1980_1989	rank_in_public_admin	rank_job_construction	rank_in_transportation	rank_units_boat_rv_van	rank_value_200000_299999	rank_value_300000_499999	rank_edu_college_nodegree	rank_income_100000_149999	rank_income_150000_199999	rank_edu_highschool_higher
Idaho	7.1	1.8	2.4	6.1	14.4	13.1	4.3	14.6	4.3	2.6	6.5	25.3	14.4	13.6	1.3	58915	11.9	7.3	1.4	17.1	10.4	4.9	12.2	5.0	0.2	26.9	24.1	26.1	14.5	5.0	91.3	3	29	28	47	38	33	19	23	22	41	8	3	12	15	9	35	27	32	36	15	41	18	2	33	3	11	19	1	36	43	19
Illinois	6.0	2.6	2.5	8.3	15.5	13.9	6.4	12.2	4.2	3.9	5.9	22.5	13.9	13.3	0.3	68428	9.1	13.6	5.3	14.4	9.1	3.7	7.2	6.7	0.0	22.3	18.8	20.4	16.6	7.8	89.7	27	15	26	25	27	15	8	45	23	7	30	23	16	24	32	18	47	21	15	36	48	46	47	3	30	19	26	33	18	15	31
Indiana	6.5	1.4	1.7	6.5	13.7	13.1	3.5	10.8	3.3	3.0	6.2	23.5	14.0	12.9	0.2	58235	10.4	4.5	1.0	13.8	9.9	3.5	8.7	5.7	0.0	17.4	10.3	20.1	14.7	5.2	89.3	11	47	45	45	45	33	31	50	40	34	14	11	15	29	44	36	36	42	44	40	42	49	36	18	30	42	47	36	34	40	32
Iowa	6.4	1.4	2.2	7.6	14.7	12.6	3.4	13.5	3.0	2.6	6.2	23.1	14.5	14.1	0.3	61836	9.5	4.5	1.2	14.2	7.4	3.1	9.6	5.0	0.1	19.3	11.6	20.6	15.9	5.6	92.5	15	47	32	28	37	46	33	35	42	41	14	17	9	5	32	28	43	42	39	37	51	52	17	33	13	34	43	30	24	32	11
Kansas	6.8	2.1	2.2	6.9	13.6	13.1	3.6	15.8	4.8	2.7	6.5	24.2	15.1	14.1	0.8	61091	10.8	6.3	1.5	14.7	11.6	4.5	9.5	5.1	0.1	19.0	12.7	22.8	15.1	5.9	91.4	7	21	32	40	46	33	27	14	15	40	8	7	5	5	18	31	34	35	34	33	35	28	18	32	13	37	40	13	29	30	18
Kentucky	6.2	1.4	1.6	7.0	15.9	13.0	4.4	14.3	2.8	3.2	6.1	22.6	14.4	12.6	0.2	52238	12.4	3.4	0.7	16.3	12.5	4.3	9.0	6.5	0.1	17.0	10.4	20.9	13.0	4.5	87.2	19	47	47	37	22	39	16	26	46	28	19	22	12	39	44	45	24	47	50	18	29	33	26	5	13	43	46	24	46	48	42
Louisiana	6.4	1.5	2.1	7.4	17.0	14.3	4.0	15.2	2.7	3.9	6.5	23.5	11.5	10.8	0.6	50800	15.6	6.2	1.6	17.9	14.6	5.3	11.1	5.6	0.2	21.3	12.6	21.2	13.0	5.3	85.9	15	40	36	31	11	11	22	19	48	7	8	11	48	52	22	48	11	37	32	9	20	14	6	19	3	26	41	21	46	38	48
Maine	5.1	2.7	3.6	9.0	16.5	12.0	5.4	13.4	2.8	2.5	4.8	18.7	13.3	13.4	0.7	59489	23.7	7.8	1.6	13.8	14.3	4.4	10.8	4.1	0.0	24.7	17.5	19.2	15.0	5.5	93.2	48	13	10	17	16	50	11	36	46	45	49	50	30	22	21	33	1	31	32	40	22	30	9	47	30	16	28	38	31	35	6
Maryland	6.1	1.7	2.2	7.5	12.8	13.7	2.2	21.7	4.5	3.5	6.0	22.2	12.9	13.8	0.3	87063	9.3	27.1	10.8	14.1	15.1	10.9	7.8	4.8	0.0	23.7	34.3	18.7	19.3	10.8	90.6	24	35	32	30	50	22	50	4	21	16	25	27	38	12	32	2	45	1	6	39	14	3	44	35	30	18	6	41	2	1	26
Massachusetts	5.3	2.6	3.4	10.0	15.7	14.3	10.7	12.3	4.8	3.4	5.2	19.8	12.5	12.8	0.2	84385	9.1	20.2	11.4	11.5	10.8	3.8	6.6	4.0	0.0	17.9	35.6	15.3	18.0	10.6	91.1	45	15	14	10	26	11	2	42	15	20	46	46	42	35	44	4	47	9	4	49	40	45	51	48	30	40	4	50	10	2	21
Michigan	5.9	1.5	2.0	7.2	13.8	12.9	2.6	10.7	3.8	3.7	5.7	21.7	13.3	12.6	0.5	59234	13.7	6.6	1.8	15.4	9.9	3.5	7.9	4.4	0.0	19.6	13.5	23.2	14.6	5.9	91.3	36	40	40	33	42	41	48	51	31	11	38	36	30	39	24	34	21	34	31	26	42	49	43	42	30	33	38	10	35	30	19
Minnesota	6.5	2.1	3.1	8.8	13.5	13.6	2.0	12.2	3.9	2.6	6.3	23.2	13.7	14.0	1.0	73382	10.2	13.6	3.6	14.8	12.6	3.6	8.0	4.7	0.0	28.8	23.6	20.8	18.3	8.2	93.4	11	21	18	20	47	23	52	45	27	41	12	15	20	7	15	14	37	21	19	32	27	48	40	38	30	5	20	26	6	14	4
Mississippi	6.4	1.5	1.4	5.7	14.8	12.9	3.1	18.5	1.7	4.0	6.2	23.7	11.9	12.7	0.5	46511	16.1	3.4	0.6	18.2	14.3	5.3	10.4	6.5	0.1	15.7	7.3	22.2	11.2	4.1	85.3	15	40	49	49	36	41	38	10	52	5	14	10	46	38	24	51	9	47	51	7	22	14	13	5	13	45	51	15	51	49	49
Missouri	6.1	1.8	2.2	7.3	15.1	13.4	4.6	12.3	3.5	2.8	6.1	22.5	15.0	13.3	0.4	57290	13.0	4.9	1.2	15.3	12.0	4.3	8.8	5.6	0.1	19.8	12.8	22.0	14.2	5.3	90.6	24	29	32	32	33	26	14	42	36	38	19	23	6	24	28	39	23	41	39	28	33	33	31	19	13	32	39	17	38	38	26
Montana	5.9	3.0	3.4	8.8	16.3	12.9	4.4	16.4	3.8	2.6	5.8	21.5	13.1	12.9	6.2	56539	15.3	6.2	1.5	17.1	11.2	5.6	11.8	5.2	0.1	26.0	24.3	23.3	13.8	5.4	94.0	36	9	14	20	17	41	16	12	31	41	33	37	37	29	5	41	15	37	34	15	37	11	4	30	13	14	17	9	39	36	1
Nebraska	6.9	1.7	2.7	7.8	13.8	13.3	2.6	14.1	3.9	2.3	6.8	24.7	15.3	13.8	0.9	63015	9.2	5.6	1.1	15.8	9.4	4.2	9.9	5.9	0.0	20.5	12.6	22.7	15.9	6.1	91.6	6	35	23	27	42	28	48	28	27	50	5	5	3	12	16	26	46	40	42	22	47	36	16	12	30	30	41	14	24	26	17
Nevada	6.2	3.3	3.6	10.4	17.7	14.6	6.5	11.9	7.5	4.1	6.1	22.7	13.2	13.2	1.2	62043	10.9	17.9	4.0	12.9	15.1	4.2	9.0	6.2	0.2	28.6	33.3	25.1	15.4	6.2	86.9	19	8	10	6	7	10	7	48	7	4	19	21	34	28	10	27	32	14	18	45	14	36	26	9	3	7	7	5	28	24	45
New Hampshire	5.1	1.8	2.9	8.8	16.3	12.5	5.4	13.1	2.9	2.5	4.7	19.0	13.9	14.5	0.2	77923	15.6	17.0	4.3	14.9	19.6	4.1	8.7	3.7	0.0	29.8	30.7	18.0	18.9	9.2	93.3	48	29	19	20	17	47	11	39	44	45	50	48	16	2	44	8	11	16	16	30	3	39	36	50	30	3	10	43	5	9	5
New Jersey	6.0	2.5	2.4	10.1	15.2	12.9	6.3	13.7	4.8	3.8	5.8	22.0	12.9	12.8	0.3	85245	9.8	23.4	9.2	12.5	11.8	4.4	7.0	6.4	0.0	21.5	34.5	16.1	17.8	10.4	90.3	27	17	28	9	30	41	9	33	15	10	33	31	38	35	32	3	39	4	9	46	34	30	49	7	30	24	5	47	11	4	29
New Mexico	6.3	2.8	2.7	7.6	17.3	13.5	3.8	22.5	8.1	3.7	5.9	23.1	13.3	12.0	9.3	51243	16.0	6.7	1.4	17.5	17.0	7.6	10.8	4.4	0.2	21.8	14.2	23.4	12.8	4.7	86.5	18	12	23	28	8	24	26	3	5	11	30	17	30	46	2	47	10	33	36	12	5	7	9	42	3	22	37	8	48	47	47
New York	5.6	4.1	4.1	14.9	18.4	14.7	6.9	15.8	4.7	3.6	5.8	20.9	11.9	11.6	0.4	71117	11.3	19.3	9.8	9.9	7.6	4.8	7.0	5.5	0.0	13.5	22.3	15.5	16.0	8.4	87.2	41	4	6	2	6	8	6	14	20	13	33	40	46	50	28	15	31	11	8	51	50	21	49	21	30	48	22	49	23	13	42
North Carolina	6.0	1.6	1.8	7.2	16.6	13.4	2.7	13.9	3.6	3.3	5.8	22.2	13.7	13.5	1.2	56642	14.0	8.6	1.9	13.4	15.2	4.1	9.0	4.8	0.1	20.5	16.8	21.1	13.7	5.4	88.5	27	39	42	33	15	26	45	29	34	24	33	27	20	19	10	40	20	27	29	44	12	39	26	35	13	30	32	22	40	36	35
North Dakota	6.6	2.9	3.3	9.6	16.9	15.2	3.5	16.1	3.1	2.1	7.0	23.4	16.4	14.3	5.2	65315	14.8	6.3	1.1	17.7	11.1	4.7	11.9	5.4	0.0	26.5	17.6	22.2	17.0	6.3	93.1	10	11	16	14	13	6	31	13	41	52	3	13	1	3	6	20	17	35	42	11	38	23	3	27	30	12	27	15	16	22	7
Ohio	6.0	1.4	1.8	6.9	13.3	13.2	4.4	12.2	3.6	3.3	5.9	22.2	14.5	13.3	0.2	58116	9.6	4.5	1.2	14.2	9.0	3.9	7.4	5.4	0.0	18.2	10.9	20.3	14.4	5.6	90.8	27	47	42	40	49	30	16	45	34	24	30	27	9	24	44	37	41	42	39	37	49	44	46	27	30	39	45	34	37	32	25
Oklahoma	6.7	1.8	2.1	7.2	15.3	13.8	2.7	17.0	8.7	3.1	6.6	24.2	14.5	13.4	7.7	53840	14.2	4.5	0.9	18.5	14.6	6.2	11.0	5.5	0.2	16.2	9.3	23.1	13.3	4.8	88.6	8	29	36	33	29	19	45	11	4	31	7	7	9	22	4	44	19	42	45	6	20	9	7	21	3	44	48	11	43	46	34
Oregon	5.8	3.0	4.1	8.8	17.0	14.2	4.3	13.8	6.2	3.4	5.5	20.8	12.4	13.6	1.1	65667	8.2	18.1	5.8	18.6	11.0	4.6	8.9	4.5	0.3	21.5	36.7	25.0	16.2	7.0	91.1	39	9	6	20	11	14	19	31	11	20	42	41	43	15	13	19	50	13	14	5	39	25	29	40	2	24	2	6	22	19	21
Pennsylvania	5.6	2.0	2.1	7.2	12.1	13.2	4.0	10.7	3.4	3.4	5.5	20.7	13.8	12.9	0.2	63627	10.6	10.1	3.1	12.5	9.6	4.0	8.0	5.8	0.0	21.9	17.1	15.9	15.7	6.7	91.0	41	25	36	33	51	30	22	51	37	20	42	42	19	29	44	23	35	26	24	46	45	41	40	14	30	21	30	48	26	21	23
Puerto Rico	5.0	1.9	3.2	9.0	26.2	12.5	3.0	21.0	9.7	6.7	4.0	18.8	11.2	11.8	0.2	21058	22.7	1.2	0.5	22.8	16.9	8.7	9.1	3.8	0.0	8.5	3.3	null	2.9	0.9	null	51	28	17	17	1	47	40	5	2	1	52	49	50	47	44	52	2	52	52	3	6	6	24	49	30	50	52		52	52	
Rhode Island	5.2	2.4	2.9	10.4	17.1	13.9	12.0	12.9	4.9	3.6	5.2	19.4	13.4	12.8	0.4	70305	11.6	12.6	3.3	12.3	11.3	4.0	7.5	4.2	0.0	34.5	30.2	18.0	18.3	7.8	89.2	47	18	19	6	10	15	1	40	14	13	46	47	29	35	28	16	29	24	22	48	36	41	45	46	30	1	11	43	6	15	33
South Carolina	6.0	1.5	1.5	5.8	15.2	13.2	2.7	15.0	3.0	3.3	5.7	21.8	13.2	12.6	0.3	54864	15.4	8.1	2.0	14.5	15.7	4.5	9.2	5.3	0.1	19.2	14.4	20.6	13.4	5.2	88.3	27	40	48	48	30	30	45	22	42	24	38	35	34	39	32	42	13	30	27	34	10	28	22	29	13	35	36	30	42	40	37
South Dakota	7.0	1.8	2.9	8.0	15.8	13.1	3.6	15.5	3.4	2.4	6.8	24.5	15.6	14.2	8.5	59896	12.3	3.4	0.8	16.3	9.6	4.9	10.8	4.3	0.1	22.3	14.7	21.1	15.1	5.1	92.2	4	29	19	26	24	33	27	18	37	49	5	6	2	4	3	32	25	47	47	18	45	18	9	44	13	19	35	22	29	42	13
Tennessee	6.0	1.5	1.8	6.8	15.5	13.8	3.1	13.3	2.9	3.3	6.0	22.3	13.5	12.9	0.3	54833	11.9	8.2	2.0	15.1	13.9	4.2	8.7	6.8	0.1	20.8	15.4	20.7	13.3	4.9	88.2	27	40	42	42	27	19	38	37	44	24	25	25	26	29	32	43	27	29	27	29	25	36	36	2	13	29	34	29	43	44	38
Texas	7.0	2.2	3.5	10.2	16.2	14.7	3.3	13.3	7.0	3.4	7.0	25.8	13.6	13.6	0.5	63826	10.9	14.4	4.2	14.9	15.9	4.0	10.5	6.0	0.2	21.2	17.0	21.5	15.6	7.0	84.4	4	19	13	8	20	8	36	37	9	20	3	2	24	15	24	22	32	20	17	30	9	41	12	11	3	27	31	20	27	19	50
Utah	8.3	1.7	2.3	6.6	13.4	14.8	4.2	14.6	4.2	2.5	7.9	29.4	15.2	13.9	1.1	74197	9.6	15.2	3.5	15.8	12.1	4.7	8.8	5.2	0.1	28.0	35.8	25.5	19.2	7.8	93.0	1	35	31	44	48	7	21	23	23	45	1	1	4	9	13	13	41	18	21	22	32	23	31	30	13	9	3	3	4	15	9
Vermont	5.1	3.8	3.6	8.9	15.0	11.9	6.3	14.6	2.7	2.5	4.7	18.5	12.8	12.9	0.3	63477	22.1	12.1	3.3	15.7	15.6	5.0	10.1	3.0	0.0	28.4	23.0	16.7	16.4	6.1	93.5	48	6	10	19	34	51	9	23	48	45	50	51	40	29	32	24	3	25	22	24	11	16	14	52	30	8	21	46	19	26	3
Virginia	6.0	1.5	2.1	7.0	14.0	13.9	2.8	20.0	4.8	3.0	6.0	22.0	13.9	13.9	0.3	76398	10.0	20.8	9.2	15.4	16.3	8.8	8.0	4.5	0.0	21.6	25.4	19.1	17.2	9.0	90.3	27	40	36	37	40	15	43	8	15	34	25	31	16	9	32	11	38	7	9	26	8	4	40	40	30	23	16	39	14	10	29
Washington	6.2	3.4	4.3	9.4	15.8	15.3	3.6	15.6	7.1	3.1	6.1	22.0	13.7	13.9	1.2	77006	7.8	22.7	10.6	15.5	12.9	5.0	9.4	5.5	0.2	19.1	33.2	23.1	18.2	8.9	91.7	19	7	4	15	24	4	27	17	8	31	19	31	20	9	10	10	51	5	7	25	26	16	20	21	3	36	8	11	8	11	16
West Virginia	5.5	1.8	1.4	5.4	14.3	11.9	2.8	19.6	2.4	3.5	5.3	20.2	12.7	11.6	0.2	48037	17.8	3.0	0.8	16.2	12.2	6.9	10.9	5.8	0.1	15.2	8.0	18.7	11.9	3.9	87.6	43	29	49	51	39	51	43	9	50	16	44	44	41	50	44	50	5	50	47	20	31	8	8	14	13	47	50	41	49	51	41
Wisconsin	6.0	2.0	2.4	8.4	16.1	12.7	3.6	12.3	3.4	2.3	5.7	21.9	14.9	13.5	0.8	63293	12.2	5.7	1.3	14.5	9.8	3.5	8.5	4.6	0.0	24.6	16.5	20.5	16.3	6.1	92.6	27	25	28	24	21	45	27	42	37	50	38	34	7	19	18	25	26	39	38	34	44	49	39	39	30	17	33	32	21	26	10
Wyoming	6.7	1.7	2.5	7.0	16.3	13.5	4.6	20.6	3.9	2.9	6.1	23.2	13.6	13.6	2.3	65304	16.3	8.5	1.9	19.2	14.9	5.9	15.1	6.3	0.2	28.8	20.4	25.4	17.5	6.2	93.6	8	35	26	37	17	24	14	6	27	37	19	15	24	15	8	21	8	28	29	4	18	10	1	8	3	5	25	4	13	24	2
